L6_MAT1A_MAD_Hampel,Sediment_Y_mm,Core_Y_mm,strat_depth_cm,R570R630,R590R690,RMean,R850R950,RABD676
74,5.076219512,5.076219512,0.507621951,0.842185555,0.844706733,0.127773575,1.027020611,1.003494306
75,5.144817073,5.144817073,0.514481707,0.834833092,0.841090809,0.127340322,1.02815635,1.003706302
76,5.213414634,5.213414634,0.521341463,0.845803408,0.843067162,0.127606367,1.031470845,1.001249237
77,5.282012195,5.282012195,0.52820122,0.844479317,0.835729965,0.127406764,1.031561237,1.000897762
78,5.350609756,5.350609756,0.535060976,0.848908133,0.844243003,0.128130937,1.026432732,1.002130165
79,5.419207317,5.419207317,0.541920732,0.843024172,0.843535683,0.128779824,1.035418727,0.998913963
80,5.487804878,5.487804878,0.548780488,0.841125796,0.840041579,0.129225558,1.036760372,1.000115901
81,5.556402439,5.556402439,0.555640244,0.838879675,0.840223106,0.1292449,1.035486187,1.000320437
82,5.625,5.625,0.5625,0.846980749,0.83983593,0.130207146,1.038099904,0.998118847
83,5.693597561,5.693597561,0.569359756,0.847588007,0.840689962,0.129814473,1.032122035,1.00317321
84,5.762195122,5.762195122,0.576219512,0.84101339,0.841191071,0.128846545,1.034980786,1.002373597
85,5.830792683,5.830792683,0.583079268,0.838630694,0.839401492,0.12850961,1.031459843,1.002877208
86,5.899390244,5.899390244,0.589939024,0.835580204,0.842707048,0.128424129,1.035988744,0.999933695
87,5.967987805,5.967987805,0.59679878,0.835594761,0.839190512,0.128174706,1.034576455,1.00024505
88,6.036585366,6.036585366,0.603658537,0.842512546,0.842319808,0.128459763,1.035276609,1.002240011
89,6.105182927,6.105182927,0.610518293,0.845746787,0.844162119,0.128260588,1.037924091,1.003746022
90,6.173780488,6.173780488,0.617378049,0.840033768,0.839343991,0.127686189,1.040759701,1.001646622
91,6.242378049,6.242378049,0.624237805,0.842457542,0.847077101,0.12712047,1.04141999,1.000801503
92,6.31097561,6.31097561,0.631097561,0.843166396,0.84858145,0.126586945,1.038591709,1.003763213
93,6.379573171,6.379573171,0.637957317,0.853675055,0.8482706,0.125815298,1.036255444,1.001983437
94,6.448170732,6.448170732,0.644817073,0.855003507,0.845379408,0.125658201,1.032717552,1.00028542
95,6.516768293,6.516768293,0.651676829,0.853606285,0.848151439,0.125500803,1.034372374,1.001561228
96,6.585365854,6.585365854,0.658536585,0.844232218,0.844390637,0.124766016,1.033300369,1.001920327
97,6.653963415,6.653963415,0.665396341,0.843876522,0.844718527,0.124475257,1.027240569,1.002415051
98,6.722560976,6.722560976,0.672256098,0.843213647,0.848722528,0.123828325,1.030607498,1.005645131
99,6.791158537,6.791158537,0.679115854,0.838300516,0.845496397,0.123998457,1.029500022,1.000913859
100,6.859756098,6.859756098,0.68597561,0.843244246,0.839878121,0.124634914,1.029373218,1.004866798
101,6.928353659,6.928353659,0.692835366,0.844926699,0.840964644,0.126073326,1.028919233,1.004608867
102,6.99695122,6.99695122,0.699695122,0.840378431,0.840343281,0.127133541,1.037361101,1.001068111
103,7.06554878,7.06554878,0.706554878,0.848043035,0.841862222,0.127946547,1.030307619,1.003221256
104,7.134146341,7.134146341,0.713414634,0.846465886,0.843001302,0.128230166,1.029723042,1.002663945
105,7.202743902,7.202743902,0.72027439,0.845268606,0.841022286,0.127687268,1.030888299,0.999876626
106,7.271341463,7.271341463,0.727134146,0.83740809,0.842777954,0.126904845,1.038978296,1.000459679
107,7.339939024,7.339939024,0.733993902,0.843616289,0.837788696,0.125857414,1.031725286,1.00282349
108,7.408536585,7.408536585,0.740853659,0.838131175,0.838664211,0.124713572,1.024732098,0.99824648
109,7.477134146,7.477134146,0.747713415,0.845462721,0.84346216,0.124394384,1.0259324,1.002435044
110,7.545731707,7.545731707,0.754573171,0.840916062,0.846076108,0.123019797,1.027343887,1.001233844
111,7.614329268,7.614329268,0.761432927,0.84482345,0.843090209,0.122387119,1.027361386,1.000798709
112,7.682926829,7.682926829,0.768292683,0.845036967,0.845476065,0.122523841,1.02826651,1.004544883
113,7.75152439,7.75152439,0.775152439,0.857124126,0.84912787,0.124770722,1.031512542,1.001839654
114,7.820121951,7.820121951,0.782012195,0.856440857,0.849039937,0.128484987,1.028280902,0.998879013
115,7.888719512,7.888719512,0.788871951,0.8554109,0.847525962,0.131993342,1.029445793,1.003344896
116,7.957317073,7.957317073,0.795731707,0.859713112,0.849944796,0.137167924,1.030553459,0.999933708
117,8.025914634,8.025914634,0.802591463,0.86129496,0.852081396,0.142024463,1.031716279,1.001637116
118,8.094512195,8.094512195,0.80945122,0.856513941,0.855301359,0.147315652,1.039456596,1.000482922
119,8.163109756,8.163109756,0.816310976,0.850646805,0.852327933,0.152827871,1.039605074,1.0034773
120,8.231707317,8.231707317,0.823170732,0.853986069,0.848702144,0.156817818,1.03690406,1.000780354
121,8.300304878,8.300304878,0.830030488,0.846309124,0.85051893,0.159804112,1.04008959,1.000193161
122,8.368902439,8.368902439,0.836890244,0.847909933,0.846928898,0.161771917,1.037764993,1.001364429
123,8.4375,8.4375,0.84375,0.845061812,0.843043713,0.162372727,1.036654637,1.001746805
124,8.506097561,8.506097561,0.850609756,0.849623434,0.845685416,0.162034706,1.033252517,1.002863959
125,8.574695122,8.574695122,0.857469512,0.848211031,0.849353908,0.161512432,1.030175113,1.001642524
126,8.643292683,8.643292683,0.864329268,0.844117018,0.843853765,0.159455124,1.029345955,1.001736201
127,8.711890244,8.711890244,0.871189024,0.849681321,0.848935408,0.157970084,1.03492587,1.001611683
128,8.780487805,8.780487805,0.87804878,0.856167122,0.848580472,0.15494707,1.036908083,1.000736233
129,8.849085366,8.849085366,0.884908537,0.853897693,0.854778245,0.15212124,1.029728342,1.002825055
130,8.917682927,8.917682927,0.891768293,0.855162608,0.85926246,0.149108843,1.033185818,1.002600511
131,8.986280488,8.986280488,0.898628049,0.864545216,0.856483514,0.146780078,1.034770292,1.003113154
132,9.054878049,9.054878049,0.905487805,0.85885425,0.857084871,0.143299633,1.039107729,1.003287753
133,9.12347561,9.12347561,0.912347561,0.856920983,0.852615973,0.140367048,1.040237272,0.99923625
134,9.192073171,9.192073171,0.919207317,0.854698539,0.854654211,0.138172842,1.040949132,1.003109525
135,9.260670732,9.260670732,0.926067073,0.85315552,0.856370086,0.137505266,1.040698843,1.001368159
136,9.329268293,9.329268293,0.932926829,0.858495812,0.856338054,0.136542972,1.040405832,1.004014444
137,9.397865854,9.397865854,0.939786585,0.857582119,0.852888123,0.136501327,1.042198868,0.999947818
138,9.466463415,9.466463415,0.946646341,0.847197985,0.851675696,0.135165704,1.044235917,1.004479228
139,9.535060976,9.535060976,0.953506098,0.847958364,0.843875829,0.134005575,1.036642767,1.002109285
140,9.603658537,9.603658537,0.960365854,0.845439536,0.846960443,0.132463633,1.029990398,1.000956412
141,9.672256098,9.672256098,0.96722561,0.845011164,0.847883448,0.131516536,1.023128974,1.000619532
142,9.740853659,9.740853659,0.974085366,0.845825358,0.840905248,0.130481709,1.029029495,1.001126967
143,9.80945122,9.80945122,0.980945122,0.842804574,0.840676638,0.130581685,1.027585717,1.001124311
144,9.87804878,9.87804878,0.987804878,0.842161062,0.841198265,0.130367669,1.031774166,1.002909758
145,9.946646341,9.946646341,0.994664634,0.840205701,0.843557236,0.128835059,1.036597504,1.000953079
146,10.0152439,10.0152439,1.00152439,0.845866412,0.842588037,0.127753576,1.032015375,1.002593717
147,10.08384146,10.08384146,1.008384146,0.849395114,0.846407873,0.126519696,1.030007191,1.0064513
148,10.15243902,10.15243902,1.015243902,0.857132234,0.852935347,0.126741897,1.027966659,1.001430469
149,10.22103659,10.22103659,1.022103659,0.852820015,0.855688766,0.127318379,1.034513939,0.999349698
150,10.28963415,10.28963415,1.028963415,0.846555196,0.849294387,0.128426482,1.038458928,1.00453098
151,10.35823171,10.35823171,1.035823171,0.8482359,0.8448875,0.129232674,1.042510688,0.999683089
152,10.42682927,10.42682927,1.042682927,0.8468137,0.844071037,0.129529097,1.043350931,0.998654353
153,10.49542683,10.49542683,1.049542683,0.851015328,0.845001646,0.129373545,1.040119425,1.003992789
154,10.56402439,10.56402439,1.056402439,0.845513935,0.852120838,0.129272492,1.039698046,1.001726173
155,10.63262195,10.63262195,1.063262195,0.846809329,0.843660553,0.128601851,1.036639389,1.003035863
156,10.70121951,10.70121951,1.070121951,0.843621218,0.847492382,0.130044421,1.039577765,1.004041666
157,10.76981707,10.76981707,1.076981707,0.850763816,0.847685011,0.131230457,1.036991608,1.002881151
158,10.83841463,10.83841463,1.083841463,0.843434528,0.841798891,0.132026485,1.04245926,1.001825371
159,10.9070122,10.9070122,1.09070122,0.843091348,0.842990831,0.132894052,1.042211703,1.004451313
160,10.97560976,10.97560976,1.097560976,0.8511611,0.849770512,0.134420665,1.037223777,1.000782077
161,11.04420732,11.04420732,1.104420732,0.845327322,0.843079492,0.13396434,1.040942334,1.001647497
162,11.11280488,11.11280488,1.111280488,0.851800757,0.848573971,0.134484441,1.038706914,1.002196375
163,11.18140244,11.18140244,1.118140244,0.850366377,0.841770267,0.134663759,1.039735046,1.002283461
164,11.25,11.25,1.125,0.839950347,0.84604768,0.135128533,1.04723254,1.002438403
165,11.31859756,11.31859756,1.131859756,0.846133457,0.849975443,0.135135366,1.041002706,1.001873761
166,11.38719512,11.38719512,1.138719512,0.853310403,0.846375905,0.135115465,1.044947374,1.002665703
167,11.45579268,11.45579268,1.145579268,0.851696229,0.845556678,0.135378827,1.038553069,1.001242074
168,11.52439024,11.52439024,1.152439024,0.855541754,0.848751436,0.136423659,1.044080894,1.002361044
169,11.5929878,11.5929878,1.15929878,0.842842195,0.849741607,0.136735072,1.039524113,1.002215543
170,11.66158537,11.66158537,1.166158537,0.847756772,0.843905658,0.135962414,1.045670429,1.001873761
171,11.73018293,11.73018293,1.173018293,0.845808161,0.846684503,0.135685358,1.046955798,1.000723708
172,11.79878049,11.79878049,1.179878049,0.846468726,0.847170306,0.135102768,1.043805695,0.999705396
173,11.86737805,11.86737805,1.186737805,0.846640639,0.84649024,0.13495283,1.039820172,1.00169045
174,11.93597561,11.93597561,1.193597561,0.844603921,0.8446566,0.134105135,1.036808441,1.001110077
175,12.00457317,12.00457317,1.200457317,0.846347369,0.847757057,0.134625011,1.036975255,1.003399088
176,12.07317073,12.07317073,1.207317073,0.84750013,0.845848892,0.135092902,1.036244937,1.001872132
177,12.14176829,12.14176829,1.214176829,0.843631971,0.844566428,0.135903565,1.036039273,1.001734185
178,12.21036585,12.21036585,1.221036585,0.843409474,0.842119077,0.136253201,1.040267147,0.998793345
179,12.27896341,12.27896341,1.227896341,0.83832025,0.842518071,0.136266376,1.036765378,1.000210819
180,12.34756098,12.34756098,1.234756098,0.84307059,0.84289277,0.137130898,1.033916906,0.998952373
181,12.41615854,12.41615854,1.241615854,0.845551847,0.840739109,0.137000291,1.036103331,1.002453294
182,12.4847561,12.4847561,1.24847561,0.838080638,0.842712626,0.137019589,1.03615601,1.003913413
183,12.55335366,12.55335366,1.255335366,0.847610118,0.839613936,0.137211092,1.031082324,1.002184619
184,12.62195122,12.62195122,1.262195122,0.848661595,0.84967177,0.136986042,1.029428039,1.003317718
185,12.69054878,12.69054878,1.269054878,0.845469894,0.845192393,0.138079562,1.035647627,1.002200645
186,12.75914634,12.75914634,1.275914634,0.8561596,0.849588024,0.139312951,1.036879189,1.001887618
187,12.8277439,12.8277439,1.28277439,0.85893669,0.848944696,0.14071178,1.04007991,1.001108104
188,12.89634146,12.89634146,1.289634146,0.854507418,0.851398335,0.141214378,1.03897257,1.003429072
189,12.96493902,12.96493902,1.296493902,0.851945857,0.855547078,0.140844438,1.039355703,1.002403792
190,13.03353659,13.03353659,1.303353659,0.862111447,0.860948836,0.141494086,1.034742433,1.003441454
191,13.10213415,13.10213415,1.310213415,0.865268625,0.860187635,0.14147406,1.036462662,1.001796159
192,13.17073171,13.17073171,1.317073171,0.859552979,0.861338856,0.141480785,1.039843285,1.002328687
193,13.23932927,13.23932927,1.323932927,0.857570384,0.859410576,0.142038962,1.035334752,1.004420439
194,13.30792683,13.30792683,1.330792683,0.865040805,0.856250622,0.14320596,1.03990511,1.000030638
195,13.37652439,13.37652439,1.337652439,0.859055989,0.856569791,0.145284387,1.038823665,1.001314234
196,13.44512195,13.44512195,1.344512195,0.858929148,0.85280702,0.140844438,1.034171422,1.001650696
197,13.51371951,13.51371951,1.351371951,0.858813339,0.853905986,0.140844438,1.038156203,1.000921233
198,13.58231707,13.58231707,1.358231707,0.856460825,0.847780704,0.14085923,1.035428092,1.00249942
199,13.65091463,13.65091463,1.365091463,0.852164695,0.853069718,0.144846419,1.036597499,1.003032971
200,13.7195122,13.7195122,1.37195122,0.843988386,0.856674721,0.143543113,1.039521896,1.001887618
201,13.78810976,13.78810976,1.378810976,0.84720895,0.849187185,0.142353291,1.038561552,0.99895914
202,13.85670732,13.85670732,1.385670732,0.850722989,0.845912253,0.141490852,1.03626846,1.003534814
203,13.92530488,13.92530488,1.392530488,0.84959397,0.845518838,0.140636105,1.040676895,1.001187979
204,13.99390244,13.99390244,1.399390244,0.848701871,0.842684983,0.140458389,1.035177,1.001580588
205,14.0625,14.0625,1.40625,0.843925582,0.84684363,0.14002049,1.040494859,0.999891399
206,14.13109756,14.13109756,1.413109756,0.850012267,0.84688195,0.140327862,1.036876982,1.00047545
207,14.19969512,14.19969512,1.419969512,0.842796572,0.85038517,0.139680612,1.037370977,1.000891777
208,14.26829268,14.26829268,1.426829268,0.848539319,0.850209734,0.139923749,1.036180896,1.001912688
209,14.33689024,14.33689024,1.433689024,0.846143121,0.852528006,0.139586998,1.036810943,1.003619959
210,14.4054878,14.4054878,1.44054878,0.84607214,0.84814432,0.140101546,1.038146452,1.004071774
211,14.47408537,14.47408537,1.447408537,0.845261962,0.848447464,0.140021362,1.038118828,1.002307373
212,14.54268293,14.54268293,1.454268293,0.84920494,0.848213764,0.14085923,1.037079304,1.004061565
213,14.61128049,14.61128049,1.461128049,0.846037552,0.840982687,0.139714111,1.039065857,1.001912688
214,14.67987805,14.67987805,1.467987805,0.839999152,0.846360363,0.139454278,1.041916067,1.002221739
215,14.74847561,14.74847561,1.474847561,0.841288642,0.847171312,0.139735901,1.034919103,1.003941046
216,14.81707317,14.81707317,1.481707317,0.843230173,0.842156874,0.139430429,1.036660011,1.002187972
217,14.88567073,14.88567073,1.488567073,0.834910564,0.841134835,0.139006185,1.037486659,1.001916837
218,14.95426829,14.95426829,1.495426829,0.836828232,0.837817665,0.137692428,1.036523133,1.001243999
219,15.02286585,15.02286585,1.502286585,0.837731868,0.840832608,0.136187273,1.035698176,1.002859017
220,15.09146341,15.09146341,1.509146341,0.846951498,0.847452824,0.135104272,1.031532344,1.000620239
221,15.16006098,15.16006098,1.516006098,0.847124246,0.841624919,0.13376505,1.03151433,1.000970422
222,15.22865854,15.22865854,1.522865854,0.847138278,0.843600611,0.13404354,1.032543585,1.002453073
223,15.2972561,15.2972561,1.52972561,0.856145843,0.84829987,0.135710493,1.034049461,1.001551726
224,15.36585366,15.36585366,1.536585366,0.857382161,0.849462394,0.136892593,1.035214854,1.001224147
225,15.43445122,15.43445122,1.543445122,0.856162357,0.849324643,0.139195,1.042762352,1.002086063
226,15.50304878,15.50304878,1.550304878,0.859053183,0.849374116,0.141493581,1.040187521,1.001302943
227,15.57164634,15.57164634,1.557164634,0.858772807,0.845317096,0.14262059,1.041540791,1.001692781
228,15.6402439,15.6402439,1.56402439,0.853631999,0.845378736,0.142819774,1.045220555,1.003082987
229,15.70884146,15.70884146,1.570884146,0.851325647,0.850921645,0.143066843,1.043740921,1.00312904
230,15.77743902,15.77743902,1.577743902,0.852394724,0.848563332,0.142533943,1.040911948,1.002735809
231,15.84603659,15.84603659,1.584603659,0.85190335,0.847084692,0.142190123,1.039276223,0.998908084
232,15.91463415,15.91463415,1.591463415,0.853469284,0.853232021,0.143043193,1.035321312,1.001318889
233,15.98323171,15.98323171,1.598323171,0.853825317,0.846749677,0.143508058,1.038969526,1.004201544
234,16.05182927,16.05182927,1.605182927,0.844254785,0.850090505,0.144465615,1.042423514,0.999821669
235,16.12042683,16.12042683,1.612042683,0.855319339,0.847436898,0.145694216,1.043315026,1.002771892
236,16.18902439,16.18902439,1.618902439,0.848305522,0.850830799,0.144423034,1.039847444,1.003948612
237,16.25762195,16.25762195,1.625762195,0.850541531,0.846994462,0.144014483,1.039330643,0.999162232
238,16.32621951,16.32621951,1.632621951,0.845191239,0.849115103,0.143331257,1.035882231,1.001568989
239,16.39481707,16.39481707,1.639481707,0.845383354,0.844856715,0.142024744,1.038959841,1.001991261
240,16.46341463,16.46341463,1.646341463,0.843549379,0.846492993,0.141034723,1.040070043,1.001804536
241,16.5320122,16.5320122,1.65320122,0.846370027,0.846568756,0.140408264,1.040389389,0.999787899
242,16.60060976,16.60060976,1.660060976,0.84790265,0.849433004,0.139971226,1.040070043,1.000542182
243,16.66920732,16.66920732,1.666920732,0.848984874,0.844306767,0.141096344,1.036029944,1.002266024
244,16.73780488,16.73780488,1.673780488,0.846988382,0.845835228,0.142351312,1.037722273,1.001046436
245,16.80640244,16.80640244,1.680640244,0.842573522,0.844547993,0.143753664,1.043652269,1.000155423
246,16.875,16.875,1.6875,0.841487354,0.844128467,0.144960968,1.039477894,1.001035828
247,16.94359756,16.94359756,1.694359756,0.845465929,0.846194889,0.146244186,1.040389389,1.004595731
248,17.01219512,17.01219512,1.701219512,0.841609955,0.848375104,0.146034949,1.04208067,0.998477427
249,17.08079268,17.08079268,1.708079268,0.842337203,0.847211315,0.145017273,1.041286105,0.999686549
250,17.14939024,17.14939024,1.714939024,0.850001123,0.855369697,0.144444609,1.039337522,1.000095455
251,17.2179878,17.2179878,1.72179878,0.851291636,0.856846958,0.14351428,1.040597544,1.001323175
252,17.28658537,17.28658537,1.728658537,0.850589168,0.856503621,0.14310947,1.041842562,1.003106198
253,17.35518293,17.35518293,1.735518293,0.850225437,0.850735837,0.144371699,1.041370517,1.003574406
254,17.42378049,17.42378049,1.742378049,0.848887393,0.854573549,0.145581271,1.040737836,1.004051478
255,17.49237805,17.49237805,1.749237805,0.846337446,0.848706697,0.146391031,1.041221549,1.001870722
256,17.56097561,17.56097561,1.756097561,0.845438428,0.846658938,0.147921306,1.038220546,1.004384811
257,17.62957317,17.62957317,1.762957317,0.844568246,0.848081471,0.148477593,1.043920841,1.002806615
258,17.69817073,17.69817073,1.769817073,0.844865572,0.846573057,0.148674607,1.041944072,0.998703636
259,17.76676829,17.76676829,1.776676829,0.848709728,0.85227079,0.14741052,1.042553195,1.003046613
260,17.83536585,17.83536585,1.783536585,0.848688782,0.855771552,0.14618203,1.040233568,1.002136931
261,17.90396341,17.90396341,1.790396341,0.851172065,0.856393123,0.144104701,1.039869726,0.99996517
262,17.97256098,17.97256098,1.797256098,0.852859933,0.852246852,0.142082315,1.040103155,0.999225651
263,18.04115854,18.04115854,1.804115854,0.849596172,0.852492039,0.1411327,1.037371435,1.000710584
264,18.1097561,18.1097561,1.81097561,0.854398181,0.84413612,0.138776176,1.03916885,1.000132046
265,18.17835366,18.17835366,1.817835366,0.854921472,0.853002701,0.137174452,1.036263995,1.000143137
266,18.24695122,18.24695122,1.824695122,0.853916569,0.852145671,0.136886952,1.033727908,1.002486689
267,18.31554878,18.31554878,1.831554878,0.855115119,0.843209615,0.136304519,1.04028351,1.001778922
268,18.38414634,18.38414634,1.838414634,0.849244615,0.839155075,0.136587178,1.036245529,1.000712552
269,18.4527439,18.4527439,1.84527439,0.845030702,0.849115082,0.136939481,1.041674721,1.000424538
270,18.52134146,18.52134146,1.852134146,0.845003068,0.845730163,0.136553512,1.035985379,0.999306044
271,18.58993902,18.58993902,1.858993902,0.847354821,0.841508252,0.13521459,1.039409667,0.999771453
272,18.65853659,18.65853659,1.865853659,0.850347895,0.844333259,0.134524127,1.037512385,1.00041758
273,18.72713415,18.72713415,1.872713415,0.84574818,0.845460668,0.133847573,1.038478319,1.003354795
274,18.79573171,18.79573171,1.879573171,0.846142971,0.846654013,0.132850051,1.038735196,1.002565615
275,18.86432927,18.86432927,1.886432927,0.842703649,0.841426303,0.13249317,1.035202375,1.002571412
276,18.93292683,18.93292683,1.893292683,0.835960455,0.843555635,0.132721765,1.032850524,1.002031675
