"LabID","CRA","Error","calCurves","resOffsets","resErrors","Material","Species","SiteName","Country","Longitude","Latitude","Region","Location","ID","MedianBP","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","OneSigma_BP_4","OneSigma_BP_5","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3","TwoSigma_BP_4","TwoSigma_BP_5"
"AA-4679819",855,32,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.920196,-62.172898,"King George Island ","Fildes Peninsula ","VNI2",719,"737 to 714","712 to 680","NA to NA","NA to NA","NA to NA","787 to 784","769 to 673","NA to NA","NA to NA","NA to NA"
"AA-4680920",713,37,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.918044,-62.173597,"King George Island ","Fildes Peninsula ","VNI3",616,"661 to 633","593 to 567","NA to NA","NA to NA","NA to NA","672 to 623","614 to 558","NA to NA","NA to NA","NA to NA"
"AA-4680221",677,45,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.920196,-62.172898,"King George Island ","Fildes Peninsula ","VNI2",605,"652 to 624","610 to 583","573 to 558","NA to NA","NA to NA","664 to 550","NA to NA","NA to NA","NA to NA","NA to NA"
"AA-4427622",264,37,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.921535,-62.172431,"King George Island ","Fildes Peninsula ","VNI1",220,"308 to 277","211 to 194","187 to 176","171 to 152","NA to NA","439 to 401","389 to 373","326 to 258","222 to 142","0 to 0"
"AA-46810",1948,40,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VK","South Shetland Islands",-58.9,-62.18,"King George Island ","Fildes Peninsula ","VK",1850,"1920 to 1910","1892 to 1816","1768 to 1751","NA to NA","NA to NA","1989 to 1970","1929 to 1740","NA to NA","NA to NA","NA to NA"
"AA-43571",1453,38,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VK","South Shetland Islands",-58.9,-62.18,"King George Island ","Fildes Peninsula ","VK",1313,"1350 to 1330","1318 to 1288","NA to NA","NA to NA","NA to NA","1372 to 1271","1196 to 1183","NA to NA","NA to NA","NA to NA"
"AA-46811",1403,41,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VK","South Shetland Islands",-58.9,-62.18,"King George Island ","Fildes Peninsula ","VK",1277,"1305 to 1269","1202 to 1182","NA to NA","NA to NA","NA to NA","1347 to 1334","1315 to 1259","1251 to 1179","NA to NA","NA to NA"
"AA-44275",1338,42,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VK","South Shetland Islands",-58.9,-62.18,"King George Island ","Fildes Peninsula ","VK",1220,"1273 to 1259","1251 to 1178","NA to NA","NA to NA","NA to NA","1297 to 1176","1164 to 1153","1142 to 1089","NA to NA","NA to NA"
"AA-43570",1116,48,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VK","South Shetland Islands",-58.9,-62.18,"King George Island ","Fildes Peninsula ","VK",979,"1052 to 1023","986 to 954","952 to 929","NA to NA","NA to NA","1174 to 1170","1068 to 904","862 to 844","828 to 818","NA to NA"
"Beta-441409",1380,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART03","South Shetland Islands",-58.89954,-62.1795,"King George Island ","Fildes Peninsula ","ART03",1251,"1292 to 1268","1204 to 1181","NA to NA","NA to NA","NA to NA","1304 to 1260","1250 to 1225","1215 to 1179","NA to NA","NA to NA"
"Beta-441410",1380,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART03","South Shetland Islands",-58.89954,-62.1795,"King George Island ","Fildes Peninsula ","ART03",1251,"1292 to 1268","1204 to 1181","NA to NA","NA to NA","NA to NA","1304 to 1260","1250 to 1225","1215 to 1179","NA to NA","NA to NA"
"Beta-441405",1980,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART01","South Shetland Islands",-58.89954,-62.1795,"King George Island ","Fildes Peninsula ","ART01",1888,"1925 to 1867","1853 to 1835","NA to NA","NA to NA","NA to NA","1993 to 1954","1933 to 1824","1764 to 1756","NA to NA","NA to NA"
"Beta-441406",1950,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART01","South Shetland Islands",-58.89954,-62.1795,"King George Island ","Fildes Peninsula ","ART01",1853,"1888 to 1824","1764 to 1755","NA to NA","NA to NA","NA to NA","1980 to 1980","1926 to 1782","1773 to 1748","NA to NA","NA to NA"
"Beta-441407",1920,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART01","South Shetland Islands",-58.89954,-62.1795,"King George Island ","Fildes Peninsula ","ART01",1812,"1870 to 1851","1837 to 1810","1799 to 1785","1772 to 1748","NA to NA","1886 to 1732","NA to NA","NA to NA","NA to NA","NA to NA"
"Beta-441408",1940,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART01","South Shetland Islands",-58.89954,-62.1795,"King George Island ","Fildes Peninsula ","ART01",1842,"1884 to 1821","1766 to 1753","NA to NA","NA to NA","NA to NA","1922 to 1902","1893 to 1746","NA to NA","NA to NA","NA to NA"
"Beta-441411",2030,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART08","South Shetland Islands",-58.86221,-62.18181,"King George Island ","Fildes Peninsula ","ART08",1949,"1997 to 1948","1935 to 1921","1906 to 1893","NA to NA","NA to NA","2006 to 1878","1846 to 1842","NA to NA","NA to NA","NA to NA"
"Beta-441412",2050,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART08","South Shetland Islands",-58.86221,-62.18181,"King George Island ","Fildes Peninsula ","ART08",1959,"2002 to 1983","1975 to 1927","NA to NA","NA to NA","NA to NA","2041 to 2030","2015 to 1885","NA to NA","NA to NA","NA to NA"
"Beta-441413",1870,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART08","South Shetland Islands",-58.86221,-62.18181,"King George Island ","Fildes Peninsula ","ART08",1768,"1816 to 1769","1750 to 1722","1713 to 1710","NA to NA","NA to NA","1862 to 1858","1832 to 1700","1646 to 1636","NA to NA","NA to NA"
"Beta-441414",1900,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART08","South Shetland Islands",-58.86221,-62.18181,"King George Island ","Fildes Peninsula ","ART08",1789,"1827 to 1746","NA to NA","NA to NA","NA to NA","NA to NA","1873 to 1850","1838 to 1708","NA to NA","NA to NA","NA to NA"
"Beta-441415",2050,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART02","South Shetland Islands",-58.88949,-62.18224,"King George Island ","Fildes Peninsula ","ART02",1959,"2002 to 1983","1975 to 1927","NA to NA","NA to NA","NA to NA","2041 to 2030","2015 to 1885","NA to NA","NA to NA","NA to NA"
"Beta-441417",2010,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART02","South Shetland Islands",-58.88949,-62.18224,"King George Island ","Fildes Peninsula ","ART02",1923,"1993 to 1965","1932 to 1885","NA to NA","NA to NA","NA to NA","1999 to 1869","1850 to 1837","NA to NA","NA to NA","NA to NA"
"Beta-441418",1980,30,"shcal20",0,0,"Terrestrial moss in moraine","Moss","ART02","South Shetland Islands",-58.88949,-62.18224,"King George Island ","Fildes Peninsula ","ART02",1888,"1925 to 1867","1853 to 1835","NA to NA","NA to NA","NA to NA","1993 to 1954","1933 to 1824","1764 to 1756","NA to NA","NA to NA"
"ETH-69688",7045,85,"marine20",666,76,"Laternula sp. bivalve shells in moraine","Laternula sp.","ART07","South Shetland Islands",-58.86095833,-62.18103611,"King George Island ","Fildes Peninsula ","ART07",6633,"6779 to 6480","NA to NA","NA to NA","NA to NA","NA to NA","6931 to 6340","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-69689",6590,70,"marine20",666,76,"Laternula sp. bivalve shells in moraine","Laternula sp.","ART07","South Shetland Islands",-58.86095833,-62.18103611,"King George Island ","Fildes Peninsula ","ART07",6141,"6268 to 6010","NA to NA","NA to NA","NA to NA","NA to NA","6393 to 5889","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-69690",6730,75,"marine20",666,76,"Laternula sp. bivalve shells in moraine","Laternula sp.","ART07","South Shetland Islands",-58.86095833,-62.18103611,"King George Island ","Fildes Peninsula ","ART07",6295,"6433 to 6169","NA to NA","NA to NA","NA to NA","NA to NA","6560 to 6004","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-69691",6265,75,"marine20",666,76,"Laternula sp. bivalve shells in moraine","Laternula sp.","ART09","South Shetland Islands",-58.86129444,-62.18071944,"King George Island ","Fildes Peninsula ","ART09",5790,"5915 to 5648","NA to NA","NA to NA","NA to NA","NA to NA","6088 to 5537","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-69692",5895,70,"marine20",666,76,"Laternula sp. bivalve shells in moraine","Laternula sp.","ART09","South Shetland Islands",-58.86129444,-62.18071944,"King George Island ","Fildes Peninsula ","ART09",5395,"5540 to 5283","NA to NA","NA to NA","NA to NA","NA to NA","5651 to 5089","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-69693",6235,70,"marine20",666,76,"Laternula sp. bivalve shells in moraine","Laternula sp.","ART10","South Shetland Islands",-58.85968889,-62.18028889,"King George Island ","Fildes Peninsula ","ART10",5759,"5888 to 5630","NA to NA","NA to NA","NA to NA","NA to NA","6013 to 5486","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-69694",5925,70,"marine20",666,76,"Laternula sp. bivalve shells in moraine","Laternula sp.","ART10","South Shetland Islands",-58.85968889,-62.18028889,"King George Island ","Fildes Peninsula ","ART10",5427,"5558 to 5308","NA to NA","NA to NA","NA to NA","NA to NA","5694 to 5139","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-69695",6520,75,"marine20",666,76,"Laternula sp. bivalve shells in moraine","Laternula sp.","ART10","South Shetland Islands",-58.85968889,-62.18028889,"King George Island ","Fildes Peninsula ","ART10",6070,"6196 to 5933","NA to NA","NA to NA","NA to NA","NA to NA","6319 to 5786","NA to NA","NA to NA","NA to NA","NA to NA"
"Birm-23",7683,86,"marine20",666,76,"Bivalve shells","Unknown","PC-SJ-1973","South Shetland Islands",-58.6728,-62.2389,"King George Island ","Potter Peninsula ","S&J",7325,"7452 to 7201","NA to NA","NA to NA","NA to NA","NA to NA","7570 to 7057","NA to NA","NA to NA","NA to NA","NA to NA"
"Birm-48a",9670,230,"marine20",666,76,"Bivalve shells","Unknown","PC-SJ-1973","South Shetland Islands",-58.6728,-62.2389,"King George Island ","Potter Peninsula ","S&J",9550,"9888 to 9239","NA to NA","NA to NA","NA to NA","NA to NA","10197 to 8947","NA to NA","NA to NA","NA to NA","NA to NA"
"Beta-441402",7860,40,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7489,"7589 to 7397","NA to NA","NA to NA","NA to NA","NA to NA","7678 to 7285","NA to NA","NA to NA","NA to NA","NA to NA"
"Beta-441403",7890,40,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7516,"7609 to 7418","NA to NA","NA to NA","NA to NA","NA to NA","7712 to 7312","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67269",8010,85,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7630,"7753 to 7502","NA to NA","NA to NA","NA to NA","NA to NA","7900 to 7403","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67267",7805,85,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7439,"7560 to 7321","NA to NA","NA to NA","NA to NA","NA to NA","7671 to 7184","NA to NA","NA to NA","NA to NA","NA to NA"
"Beta - 431964",7780,30,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7417,"7510 to 7317","NA to NA","NA to NA","NA to NA","NA to NA","7605 to 7224","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67270",8170,85,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7782,"7914 to 7661","NA to NA","NA to NA","NA to NA","NA to NA","8027 to 7526","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67272",8115,80,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7730,"7849 to 7602","NA to NA","NA to NA","NA to NA","NA to NA","7970 to 7489","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-71994",7920,20,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7542,"7631 to 7446","NA to NA","NA to NA","NA to NA","NA to NA","7734 to 7350","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67268",7705,80,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7346,"7472 to 7233","NA to NA","NA to NA","NA to NA","NA to NA","7581 to 7091","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67273",8005,85,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7625,"7748 to 7497","NA to NA","NA to NA","NA to NA","NA to NA","7893 to 7394","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67275",7950,70,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7572,"7677 to 7452","NA to NA","NA to NA","NA to NA","NA to NA","7811 to 7344","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67274",8020,90,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7640,"7766 to 7508","NA to NA","NA to NA","NA to NA","NA to NA","7912 to 7407","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67276",8145,70,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7758,"7875 to 7637","NA to NA","NA to NA","NA to NA","NA to NA","7990 to 7530","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-72000",8015,20,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7632,"7731 to 7535","NA to NA","NA to NA","NA to NA","NA to NA","7829 to 7440","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67277",8300,75,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7910,"8029 to 7773","NA to NA","NA to NA","NA to NA","NA to NA","8168 to 7663","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-71996",8005,20,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7622,"7714 to 7519","NA to NA","NA to NA","NA to NA","NA to NA","7819 to 7431","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-71997",7995,20,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7613,"7702 to 7509","NA to NA","NA to NA","NA to NA","NA to NA","7810 to 7425","NA to NA","NA to NA","NA to NA","NA to NA"
"Beta - 441404",8100,40,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7715,"7818 to 7608","NA to NA","NA to NA","NA to NA","NA to NA","7923 to 7515","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-67278",8090,75,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7706,"7823 to 7583","NA to NA","NA to NA","NA to NA","NA to NA","7942 to 7473","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-72001",7995,65,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7615,"7724 to 7497","NA to NA","NA to NA","NA to NA","NA to NA","7853 to 7402","NA to NA","NA to NA","NA to NA","NA to NA"
"ETH-71995",8195,25,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7804,"7911 to 7708","NA to NA","NA to NA","NA to NA","NA to NA","7996 to 7605","NA to NA","NA to NA","NA to NA","NA to NA"
"SUERC-14413",7831,39,"marine20",666,76,"Bivalve shells","Unknown","PC-RiverSection","South Shetland Islands",-58.67113,-62.23895,"King George Island ","Potter Peninsula ","PC",7463,"7563 to 7368","NA to NA","NA to NA","NA to NA","NA to NA","7654 to 7265","NA to NA","NA to NA","NA to NA","NA to NA"
"SUERC-14414",7883,39,"marine20",666,76,"Bivalve shells","Unknown","PC-RiverSection","South Shetland Islands",-58.67113,-62.23895,"King George Island ","Potter Peninsula ","PC",7509,"7605 to 7415","NA to NA","NA to NA","NA to NA","NA to NA","7703 to 7306","NA to NA","NA to NA","NA to NA","NA to NA"
"SUERC-14416",7853,38,"marine20",666,76,"Bivalve shells","Unknown","PC-RiverSection","South Shetland Islands",-58.67113,-62.23895,"King George Island ","Potter Peninsula ","PC",7483,"7582 to 7390","NA to NA","NA to NA","NA to NA","NA to NA","7670 to 7281","NA to NA","NA to NA","NA to NA","NA to NA"
"SUERC-14417",7842,37,"marine20",666,76,"Bivalve shells","Unknown","PC-RiverSection","South Shetland Islands",-58.67113,-62.23895,"King George Island ","Potter Peninsula ","PC",7473,"7572 to 7380","NA to NA","NA to NA","NA to NA","NA to NA","7661 to 7274","NA to NA","NA to NA","NA to NA","NA to NA"
"Beta-441400",1880,30,"shcal20",0,0,"Terrestrial moss","Unknown","PC-InlandMoraine","South Shetland Islands",-58.6466,-62.2473,"King George Island ","Potter Peninsula ","IM",1776,"1821 to 1766","1752 to 1728","NA to NA","NA to NA","NA to NA","1865 to 1855","1834 to 1703","NA to NA","NA to NA","NA to NA"
"Beta-441401",1850,30,"shcal20",0,0,"Terrestrial moss","Unknown","PC-InlandMoraine","South Shetland Islands",-58.6466,-62.2473,"King George Island ","Potter Peninsula ","IM",1735,"1811 to 1795","1788 to 1772","1748 to 1702","NA to NA","NA to NA","1826 to 1761","1757 to 1697","1654 to 1616","NA to NA","NA to NA"
