L15_H2_MAD_Hampel,Sediment_Y_mm,Strat_depth_Y cm,RABD660670,R660R670,RMean,RABA400560,RABD660670RMean,RABD850
26,1.783536585,1.178353659,1.259277669,1.033661467,0.136651372,104.8447515,9.265409331,0.982010836
27,1.852134146,1.185213415,1.263285489,1.025746107,0.136085644,105.8566861,9.378205353,0.980831816
28,1.920731707,1.192073171,1.255218785,1.032661422,0.135311917,105.9339421,9.399864489,0.980690722
29,1.989329268,1.198932927,1.258707218,1.025717897,0.134835457,106.6962321,9.448537104,0.980419685
30,2.057926829,1.205792683,1.253199718,1.02443518,0.134583303,105.9004723,9.381202605,0.981516793
31,2.12652439,1.212652439,1.248061667,1.021212088,0.135305088,104.5457387,9.279451186,0.982395192
32,2.195121951,1.219512195,1.240010256,1.030483795,0.135969267,104.4572908,9.202389517,0.983277645
33,2.263719512,1.226371951,1.238113719,1.025272617,0.136097484,103.2143227,9.220581985,0.984026773
34,2.332317073,1.233231707,1.238320551,1.017914508,0.136127829,101.3557373,9.247488037,0.985138582
35,2.400914634,1.240091463,1.226395924,1.025565118,0.134826676,105.154249,9.272920339,0.987773805
36,2.469512195,1.24695122,1.219695593,1.027194245,0.134450958,106.6891801,9.246758046,0.988256062
37,2.538109756,1.253810976,1.217355219,1.031579052,0.135260237,105.5413607,9.149132936,0.988169356
38,2.606707317,1.260670732,1.212970372,1.039873119,0.135705505,105.5882176,9.077177586,0.987196331
39,2.675304878,1.267530488,1.204211193,1.045743472,0.135684159,106.2777843,9.073719078,0.988048632
40,2.743902439,1.274390244,1.202704212,1.043274826,0.135364962,105.7425361,9.147740649,0.986390876
41,2.8125,1.28125,1.19872194,1.046899029,0.135760578,104.4965255,9.082439061,0.989039436
42,2.881097561,1.288109756,1.207943213,1.053956704,0.137547535,102.4934381,8.967911051,0.984748649
43,2.949695122,1.294969512,1.21597182,1.070186145,0.140578331,100.4556352,8.771235028,0.983324544
44,3.018292683,1.301829268,1.228565537,1.07032502,0.143202215,98.22210041,8.69773544,0.9829087
45,3.086890244,1.308689024,1.231711959,1.076077743,0.143416351,99.9525368,8.746062179,0.982836677
46,3.155487805,1.31554878,1.23896221,1.06691135,0.141324907,102.9339694,8.958123146,0.982604333
47,3.224085366,1.322408537,1.236137094,1.061082307,0.139088594,102.8623427,9.092370356,0.982724392
48,3.292682927,1.329268293,1.229927746,1.058808199,0.135817377,106.1692763,9.29072407,0.987384614
49,3.361280488,1.336128049,1.223021257,1.05436944,0.133551879,108.7364847,9.408457933,0.98753952
50,3.429878049,1.342987805,1.235583065,1.034794305,0.13367488,105.4106981,9.481183752,0.98654832
51,3.49847561,1.349847561,1.248874236,1.02990343,0.135228732,101.6310651,9.415598762,0.983646289
52,3.567073171,1.356707317,1.262981657,1.020646717,0.1384704,100.2387982,9.245700367,0.983904579
53,3.635670732,1.363567073,1.264781892,1.024197041,0.141666423,98.81984145,9.02271756,0.984532577
54,3.704268293,1.370426829,1.276492436,1.018988542,0.146116502,94.9037056,8.843793231,0.983510543
55,3.772865854,1.377286585,1.266162013,1.031395326,0.148639219,93.46286417,8.63300688,0.984202351
56,3.841463415,1.384146341,1.269000549,1.031634782,0.149639509,92.81075379,8.598160644,0.983797433
57,3.910060976,1.391006098,1.269956993,1.028491177,0.148172137,94.46216952,8.68557184,0.982040891
58,3.978658537,1.397865854,1.252938136,1.028059471,0.143206949,98.9692656,8.867178217,0.983056292
59,4.047256098,1.40472561,1.249761489,1.016907552,0.136190362,104.9781943,9.341435748,0.985201362
60,4.115853659,1.411585366,1.24101172,1.022891016,0.131371326,109.4893503,9.630442619,0.982868411
61,4.18445122,1.418445122,1.246930876,1.017574842,0.127712445,112.99583,9.928735187,0.981076339
62,4.25304878,1.425304878,1.268989563,1.006728188,0.125295367,116.5433784,10.26839627,0.983288403
63,4.321646341,1.432164634,1.263820673,1.019778043,0.126212244,116.5010529,10.15563956,0.980669248
64,4.390243902,1.43902439,1.263553535,1.02258079,0.128339191,113.5473922,9.997841312,0.984565092
65,4.458841463,1.445884146,1.258374997,1.032847963,0.130872828,110.8993098,9.771530974,0.984386197
66,4.527439024,1.452743902,1.257952288,1.029023559,0.1315463,110.29369,9.728860394,0.986254175
67,4.596036585,1.459603659,1.255612504,1.021257786,0.131862338,105.8580551,9.697510227,0.985955412
68,4.664634146,1.466463415,1.251546762,1.02062448,0.129304707,108.9850971,9.88164721,0.985830153
69,4.733231707,1.473323171,1.245737314,1.014584354,0.128250341,109.3538193,9.980001865,0.98713636
70,4.801829268,1.480182927,1.240053719,1.015821124,0.128655798,108.8117147,9.978539936,0.988720425
71,4.870426829,1.487042683,1.244315049,1.018249014,0.130317516,108.5501617,9.919673389,0.986532812
72,4.93902439,1.493902439,1.251779326,1.020219425,0.133491836,106.3761896,9.724276127,0.984552039
73,5.007621951,1.500762195,1.255277887,1.021798166,0.135738073,103.9482978,9.572230985,0.984148804
74,5.076219512,1.507621951,1.247179789,1.022418409,0.136997013,101.8460339,9.403485921,0.986567768
75,5.144817073,1.514481707,1.242015739,1.01947424,0.138175946,101.3213703,9.271191028,0.989373568
76,5.213414634,1.521341463,1.238496982,1.021779117,0.14120012,99.98003597,9.034442809,0.988765004
77,5.282012195,1.52820122,1.245193032,1.027475824,0.145634894,96.8568968,8.7869277,0.9856949
78,5.350609756,1.535060976,1.249928846,1.039229026,0.150821546,94.10830701,8.495012983,0.987901075
79,5.419207317,1.541920732,1.260275487,1.034352049,0.153081587,94.30438479,8.444567465,0.986091582
80,5.487804878,1.548780488,1.261986394,1.027423589,0.152038438,97.24223894,8.5706967,0.987124052
81,5.556402439,1.555640244,1.264023854,1.015230317,0.147162324,106.3642154,8.942371768,0.988270179
82,5.625,1.5625,1.252663305,1.017229295,0.141818937,112.429577,9.258468782,0.989292065
83,5.693597561,1.569359756,1.254974444,1.007703271,0.138424871,114.4017658,9.521164486,0.991507359
84,5.762195122,1.576219512,1.251566327,1.014785933,0.137561844,111.5087976,9.510731289,0.987995055
85,5.830792683,1.583079268,1.239104042,1.029579275,0.138208739,108.2301517,9.365084617,0.991230942
86,5.899390244,1.589939024,1.232972012,1.035852351,0.140756369,103.354954,9.146699736,0.987783307
87,5.967987805,1.59679878,1.233587948,1.037529143,0.145550764,96.22912991,8.80313065,0.987893248
88,6.036585366,1.603658537,1.234325959,1.042813673,0.14922403,93.94485966,8.552206932,0.988587016
89,6.105182927,1.610518293,1.241277737,1.035506913,0.152128234,92.52586174,8.418054096,0.987031743
90,6.173780488,1.617378049,1.25058749,1.028230536,0.153273147,92.51278207,8.404383429,0.990644731
91,6.242378049,1.624237805,1.253566273,1.03330078,0.15451679,91.54734513,8.318745444,0.98850406
92,6.31097561,1.631097561,1.256982352,1.033252336,0.154702633,90.97763646,8.29178874,0.98926387
93,6.379573171,1.637957317,1.251740579,1.041156943,0.153648982,91.24105896,8.274901244,0.986179688
94,6.448170732,1.644817073,1.253671675,1.035797965,0.150865236,91.03278855,8.409154738,0.986769202
95,6.516768293,1.651676829,1.243505066,1.031667763,0.145692552,94.321744,8.620879781,0.985935334
96,6.585365854,1.658536585,1.229755061,1.031385576,0.140202805,98.76668616,8.866763646,0.989710071
97,6.653963415,1.665396341,1.226194553,1.01809574,0.135734219,102.4223915,9.142662525,0.987808576
98,6.722560976,1.672256098,1.228835925,1.019230786,0.133387586,105.38746,9.327815033,0.985650593
99,6.791158537,1.679115854,1.230104581,1.021373153,0.133075839,106.8382707,9.3655219,0.98366567
100,6.859756098,1.68597561,1.2299335,1.025041613,0.133750421,105.5528775,9.338826126,0.988035085
101,6.928353659,1.692835366,1.221749188,1.040640029,0.133476372,105.8195883,9.330364396,0.984047706
102,6.99695122,1.699695122,1.219863048,1.036830635,0.132567015,107.4041582,9.394891693,0.987688801
103,7.06554878,1.706554878,1.215166196,1.032783959,0.130134703,112.2023174,9.52210041,0.987048666
104,7.134146341,1.713414634,1.202642996,1.046024002,0.12840076,115.5970639,9.524347498,0.98691493
105,7.202743902,1.72027439,1.207829249,1.031994201,0.1275281,118.0336461,9.610440516,0.984745535
106,7.271341463,1.727134146,1.207274397,1.03745096,0.126591266,121.1857424,9.677241241,0.982298635
107,7.339939024,1.733993902,1.199203116,1.038700344,0.127306199,119.7196702,9.58510698,0.985516238
108,7.408536585,1.740853659,1.197631542,1.039355938,0.127601736,119.1765698,9.56901568,0.982683759
109,7.477134146,1.747713415,1.201054573,1.034817408,0.128440683,117.1899303,9.531258875,0.985032209
110,7.545731707,1.754573171,1.200297381,1.04140013,0.128323045,120.0462745,9.528056898,0.984570411
111,7.614329268,1.761432927,1.198016682,1.039877276,0.128826113,118.2490147,9.466755813,0.985563634
112,7.682926829,1.768292683,1.19457666,1.041984508,0.126940382,120.7538964,9.593468474,0.985953299
113,7.75152439,1.775152439,1.190078187,1.040377799,0.125277348,121.3887217,9.695757197,0.985682123
114,7.820121951,1.782012195,1.194885848,1.033602298,0.124124675,120.4512063,9.780876844,0.985314391
115,7.888719512,1.788871951,1.203886094,1.030316154,0.123638392,121.3180714,9.848809881,0.983629577
116,7.957317073,1.795731707,1.194286118,1.03153235,0.123901435,120.7249608,9.746001005,0.979790776
117,8.025914634,1.802591463,1.201185519,1.020403676,0.124761191,122.6580188,9.74709024,0.980495937
118,8.094512195,1.80945122,1.200435294,1.02302271,0.127177347,118.4501476,9.577625175,0.982988471
119,8.163109756,1.816310976,1.200380562,1.030805284,0.130806369,112.4814575,9.336805467,0.984800533
120,8.231707317,1.823170732,1.202210422,1.039528126,0.133393516,110.8109681,9.173671884,0.988335236
121,8.300304878,1.830030488,1.205191849,1.049160317,0.135681497,107.8458864,9.023365259,0.985912962
122,8.368902439,1.836890244,1.199498211,1.061126605,0.138124316,118.3234312,8.814586609,0.984737485
123,8.4375,1.84375,1.190850016,1.065304434,0.13752031,118.2490147,8.821835533,0.987161911
124,8.506097561,1.850609756,1.182228542,1.066959157,0.134567608,109.8590103,8.98339773,0.990850576
125,8.574695122,1.857469512,1.174200104,1.056901782,0.129658247,115.7321705,9.2836836,0.986533505
126,8.643292683,1.864329268,1.181040029,1.036885003,0.124470826,120.4287239,9.704138379,0.989381224
127,8.711890244,1.871189024,1.18670393,1.031379987,0.120525813,124.2635622,10.04292041,0.989874644
128,8.780487805,1.87804878,1.191291849,1.032563597,0.120275103,124.7150672,10.09750089,0.98800998
129,8.849085366,1.884908537,1.192233336,1.045343038,0.122122228,124.4488733,9.985822347,0.987311717
130,8.917682927,1.891768293,1.191012496,1.050131724,0.12543726,118.0729662,9.750974148,0.985286788
131,8.986280488,1.898628049,1.186522238,1.055834564,0.128203657,115.6437286,9.546910532,0.984133751
132,9.054878049,1.905487805,1.184449507,1.049993244,0.130622776,115.2596278,9.35267946,0.985551683
133,9.12347561,1.912347561,1.186054118,1.043633917,0.13161305,114.0883408,9.256280861,0.985851348
134,9.192073171,1.919207317,1.192833731,1.040971857,0.13026618,117.2403054,9.367569416,0.986759002
135,9.260670732,1.926067073,1.201965634,1.039089026,0.128546426,118.3234312,9.524412447,0.988320315
136,9.329268293,1.932926829,1.221077038,1.021234929,0.128043948,119.4196968,9.673531625,0.987289584
137,9.397865854,1.939786585,1.225663185,1.032231698,0.128804095,118.0726631,9.641148659,0.986316726
138,9.466463415,1.946646341,1.237838264,1.03090128,0.130058595,117.696104,9.658542472,0.987089486
139,9.535060976,1.953506098,1.255276024,1.024650823,0.131105888,115.4869893,9.73172567,0.984899041
140,9.603658537,1.960365854,1.261867394,1.027377936,0.130335369,115.4537901,9.830437253,0.985409312
141,9.672256098,1.96722561,1.270521708,1.015613923,0.127418848,118.8225582,10.11835157,0.984867738
142,9.740853659,1.974085366,1.279685672,0.998312227,0.125413927,120.3394214,10.38451107,0.986111181
143,9.80945122,1.980945122,1.27906403,0.995571509,0.124334215,123.6607937,10.47846926,0.986646427
144,9.87804878,1.987804878,1.284269214,0.99135893,0.12733752,118.0953983,10.22034394,0.983460637
145,9.946646341,1.994664634,1.281111112,1.006135972,0.131573971,115.8108196,9.865494159,0.982174436
146,10.0152439,2.00152439,1.273921215,1.011760043,0.134983887,112.5287419,9.668052596,0.982873173
147,10.08384146,2.008384146,1.256662344,1.022292163,0.133705797,115.2024183,9.735610331,0.984233315
148,10.15243902,2.015243902,1.23837455,1.019030544,0.130792759,117.543397,9.831949926,0.984364326
149,10.22103659,2.022103659,1.236838206,1.009202155,0.127709704,118.7965013,10.03447971,0.986908341
150,10.28963415,2.028963415,1.227838916,1.015257672,0.126360556,120.4436362,10.03295968,0.988469544
151,10.35823171,2.035823171,1.229871577,1.012564132,0.126614859,119.7098776,10.00365167,0.988585183
152,10.42682927,2.042682927,1.240170396,1.012549634,0.12738173,118.7892586,10.03291505,0.985617766
153,10.49542683,2.049542683,1.244369814,1.007178315,0.126821369,118.7790072,10.12815455,0.989652234
154,10.56402439,2.056402439,1.259050581,0.991219301,0.124842463,120.9755282,10.42246661,0.98750446
155,10.63262195,2.063262195,1.27070082,0.983737332,0.124032731,120.4693978,10.5156797,0.986852457
156,10.70121951,2.070121951,1.282576292,0.986549946,0.125505737,118.2078202,10.41610799,0.984536891
157,10.76981707,2.076981707,1.284393422,1.006478463,0.129365234,113.823681,10.06185293,0.979834218
158,10.83841463,2.083841463,1.2965569,1.00743851,0.133853055,107.5022877,9.815733502,0.983783864
159,10.9070122,2.09070122,1.305299809,0.991820921,0.134775732,108.6871345,9.826542254,0.985810347
160,10.97560976,2.097560976,1.315751689,0.978969073,0.134297544,108.0540956,9.98637544,0.986075176
161,11.04420732,2.104420732,1.327307661,0.971265749,0.134692433,108.0538536,10.07218975,0.987687322
162,11.11280488,2.111280488,1.346862841,0.960716874,0.135945416,106.7330833,10.10664332,0.98387315
163,11.18140244,2.118140244,1.358960613,0.962777009,0.137684064,103.8602481,10.05027334,0.984516604
164,11.25,2.125,1.367857045,0.957189872,0.139070542,103.2667845,10.00598978,0.985430004
165,11.31859756,2.131859756,1.368276952,0.955595173,0.140245373,102.7345849,9.900346494,0.989123844
166,11.38719512,2.138719512,1.367396316,0.954413323,0.142513718,99.07487968,9.706606603,0.989010017
167,11.45579268,2.145579268,1.382264854,0.943595326,0.14453568,97.02476108,9.63489937,0.990578685
168,11.52439024,2.152439024,1.369381851,0.958326748,0.146095525,94.89366211,9.414557534,0.985455249
169,11.5929878,2.15929878,1.366055091,0.953776859,0.146308844,94.2185637,9.380618188,0.988090328
170,11.66158537,2.166158537,1.350791591,0.963893523,0.145834051,95.39640525,9.324085174,0.988142082
171,11.73018293,2.173018293,1.350139764,0.963476219,0.146027068,97.02993602,9.328421385,0.985221918
172,11.79878049,2.179878049,1.353467034,0.966603907,0.147368374,94.53705179,9.266487429,0.988141547
173,11.86737805,2.186737805,1.34805573,0.975021654,0.147620366,96.46198888,9.201294961,0.986266552
174,11.93597561,2.193597561,1.336259031,0.983119718,0.148523985,95.35786143,9.048651495,0.989970308
175,12.00457317,2.200457317,1.322173907,0.987099549,0.14835879,94.72786503,8.963100926,0.989430132
176,12.07317073,2.207317073,1.308395472,0.987533236,0.148439778,93.57557309,8.867373105,0.987748145
177,12.14176829,2.214176829,1.303278289,0.988045182,0.146973858,95.08854552,8.943924127,0.988477384
178,12.21036585,2.221036585,1.302244088,0.97627719,0.144824594,98.18228555,9.127927234,0.988520945
179,12.27896341,2.227896341,1.304788432,0.972461442,0.142947784,99.29834489,9.324929453,0.989104811
180,12.34756098,2.234756098,1.312859799,0.9735924,0.141427158,100.3599767,9.487743324,0.985818371
181,12.41615854,2.241615854,1.316576314,0.982308003,0.140873119,99.66510656,9.508138926,0.986002908
182,12.4847561,2.24847561,1.320953613,0.978853199,0.138227813,102.0074538,9.695388071,0.983669433
183,12.55335366,2.255335366,1.324825981,0.974217527,0.134674396,105.7388589,9.97616994,0.984633471
184,12.62195122,2.262195122,1.342352285,0.963511915,0.133319214,108.2433373,10.21105706,0.983359249
185,12.69054878,2.269054878,1.365657403,0.969586693,0.136429211,106.4202316,10.11407535,0.980801022
186,12.75914634,2.275914634,1.386514691,0.974897302,0.142378367,100.5509699,9.821564121,0.978767557
187,12.8277439,2.28277439,1.390182303,0.985407345,0.147411149,95.03021314,9.524039945,0.979883915
188,12.89634146,2.289634146,1.38706159,0.98513262,0.147721565,93.63994475,9.491067486,0.978934401
189,12.96493902,2.296493902,1.37478034,0.976272004,0.144556855,94.71542531,9.594713688,0.979916962
190,13.03353659,2.303353659,1.345680266,0.975871099,0.139725326,94.83078803,9.696644137,0.982967249
191,13.10213415,2.310213415,1.306828341,0.990444416,0.136600583,97.17877013,9.627539558,0.981646933
192,13.17073171,2.317073171,1.290810204,0.990958526,0.137176937,97.54837614,9.463858374,0.983036448
193,13.23932927,2.323932927,1.280613205,1.001795669,0.138555304,98.17483213,9.291412061,0.980460295
194,13.30792683,2.330792683,1.276652005,1.000657411,0.139199712,99.71561727,9.220960663,0.979761827
195,13.37652439,2.337652439,1.273934576,0.995629357,0.139525943,102.6656641,9.174975295,0.981183598
196,13.44512195,2.344512195,1.266309531,1.004127454,0.140090865,103.6457283,9.105643011,0.983831016
197,13.51371951,2.351371951,1.258652256,1.004539737,0.140906266,103.8120066,9.052142097,0.983099397
198,13.58231707,2.358231707,1.259426182,1.001265151,0.140784258,104.2817074,9.104786665,0.986448964
199,13.65091463,2.365091463,1.255343587,1.003821263,0.138736241,107.3374608,9.191864098,0.982996918
200,13.7195122,2.37195122,1.264321318,0.999101307,0.13629969,106.5032922,9.403424632,0.981152008
201,13.78810976,2.378810976,1.272442575,0.995674098,0.134001623,107.9312749,9.62350793,0.980228464
202,13.85670732,2.385670732,1.270772469,1.007071086,0.131525658,110.8165187,9.80653156,0.979442821
203,13.92530488,2.392530488,1.266292843,1.012317085,0.128884331,113.5932346,9.995030265,0.980790003
204,13.99390244,2.399390244,1.259651571,1.008379407,0.124126846,117.5270083,10.38589911,0.980322234
205,14.0625,2.40625,1.253820021,1.002616779,0.12001076,121.4049641,10.75222487,0.983285702
206,14.13109756,2.413109756,1.246382638,1.005992833,0.117102209,127.0136498,10.97451258,0.983784946
207,14.19969512,2.419969512,1.247485707,1.001455766,0.117199625,127.5835416,10.95603987,0.984227381
208,14.26829268,2.426829268,1.246655082,1.011205243,0.118182557,125.6068354,10.79238968,0.98518252
209,14.33689024,2.433689024,1.250300417,1.010757873,0.120924317,122.6621676,10.49721642,0.985123721
210,14.4054878,2.44054878,1.262406911,1.007999195,0.125032767,117.5924427,10.20940995,0.981529309
211,14.47408537,2.447408537,1.262610985,1.014400637,0.129439241,111.5274091,9.854729214,0.983979144
212,14.54268293,2.454268293,1.264430038,1.012136404,0.131654435,108.5123052,9.704654024,0.98040471
213,14.61128049,2.461128049,1.261472592,1.015235337,0.132880143,107.8895947,9.58986037,0.981944648
214,14.67987805,2.467987805,1.260536373,1.013407193,0.133405392,106.0073626,9.517491195,0.983668835
215,14.74847561,2.474847561,1.258688454,1.014444443,0.133962757,105.5580373,9.454997801,0.980676893
216,14.81707317,2.481707317,1.26494,1.008144334,0.133658494,106.0533648,9.55568409,0.979973615
217,14.88567073,2.488567073,1.266692763,0.999486765,0.132469735,109.0837801,9.707862485,0.983527092
218,14.95426829,2.495426829,1.275168196,1.013407193,0.13091768,112.32496,9.930328192,0.980557316
219,15.02286585,2.502286585,1.277274816,0.995378097,0.13092633,113.45784,9.96257852,0.985928012
220,15.09146341,2.509146341,1.283782503,0.99563892,0.132198885,112.6985135,9.92982093,0.983890951
221,15.16006098,2.516006098,1.287377648,1.007126847,0.134117939,110.6542742,9.817518934,0.982258778
222,15.22865854,2.522865854,1.287678701,1.01487408,0.134818669,112.0847974,9.785210102,0.981806336
223,15.2972561,2.52972561,1.277522374,1.027256432,0.133728332,113.1538779,9.843400732,0.982675945
224,15.36585366,2.536585366,1.272793351,1.021953934,0.131992356,115.7105646,9.987277908,0.985246505
225,15.43445122,2.543445122,1.267268171,1.022765813,0.131390654,115.847152,9.980143547,0.98280196
226,15.50304878,2.550304878,1.281638632,1.01418343,0.131840036,115.4957334,10.01299714,0.979510587
227,15.57164634,2.557164634,1.287341579,1.014527097,0.132878967,112.1723269,9.927978416,0.978332586
228,15.6402439,2.56402439,1.291772987,1.013871958,0.133093912,112.6070259,9.902754545,0.976841552
229,15.70884146,2.570884146,1.291733503,1.017055901,0.133844995,111.4674008,9.811457742,0.976572582
230,15.77743902,2.577743902,1.293622603,1.019349641,0.134262297,110.8960485,9.783174622,0.973480297
231,15.84603659,2.584603659,1.305950886,1.016173812,0.13553013,109.8677057,9.757660973,0.973776266
232,15.91463415,2.591463415,1.311485621,1.025377064,0.1372362,108.9455755,9.645386134,0.975064192
233,15.98323171,2.598323171,1.324575322,1.02411885,0.140516152,106.118716,9.494649526,0.975225387
234,16.05182927,2.605182927,1.331201609,1.036519033,0.143260403,104.5569867,9.352135112,0.973820194
235,16.12042683,2.612042683,1.329538609,1.036262746,0.144515631,101.5274068,9.269649567,0.972569588
236,16.18902439,2.618902439,1.321672838,1.03716326,0.141929889,104.6524048,9.400707652,0.973471871
237,16.25762195,2.625762195,1.311490605,1.03595482,0.138475124,105.7686427,9.571827935,0.974689617
238,16.32621951,2.632621951,1.302925658,1.03446198,0.135217745,106.6845986,9.733243042,0.97616352
239,16.39481707,2.639481707,1.311149393,1.028975116,0.13565929,104.6026029,9.765824656,0.972708879
240,16.46341463,2.646341463,1.318633231,1.023101066,0.137814041,101.4029187,9.659099748,0.975263596
241,16.5320122,2.65320122,1.326182754,1.009846398,0.13888122,99.90079068,9.633587084,0.972696045
242,16.60060976,2.660060976,1.330690309,1.003276167,0.140337499,98.81862296,9.573960996,0.976214762
243,16.66920732,2.666920732,1.34464481,0.992012132,0.14132775,99.54520699,9.612165736,0.974785071
244,16.73780488,2.673780488,1.346848607,0.991138437,0.141985329,100.8575355,9.583744995,0.976945192
245,16.80640244,2.680640244,1.343682547,0.990560482,0.1420661,101.6144782,9.575157073,0.977843126
246,16.875,2.6875,1.331538414,1.028783026,0.140526016,102.6178947,9.637775798,0.97851849
247,16.94359756,2.694359756,1.320599962,1.028975116,0.138086948,103.6979422,9.783677924,0.977695256
248,17.01219512,2.701219512,1.308213836,1.02930533,0.135168225,104.3745387,9.945185377,0.981471223
249,17.08079268,2.708079268,1.29695229,1.006434792,0.134886737,105.0003946,9.904363025,0.977785337
250,17.14939024,2.714939024,1.302308198,1.019073907,0.136015121,103.2932048,9.832249365,0.978083012
251,17.2179878,2.72179878,1.309291299,1.030924616,0.13791124,101.0548748,9.709935334,0.974667768
252,17.28658537,2.728658537,1.324640353,1.03349186,0.139316887,101.418002,9.666684581,0.974881163
253,17.35518293,2.735518293,1.333997746,1.03639047,0.140105451,101.0142641,9.647495093,0.975293384
254,17.42378049,2.742378049,1.346764749,1.02930533,0.139932532,101.0452317,9.745270214,0.97160828
255,17.49237805,2.749237805,1.348888345,1.032674615,0.137504754,106.0422318,9.964103245,0.973554497
256,17.56097561,2.756097561,1.350342677,1.025786177,0.135983601,109.7272987,10.13648427,0.973867629
257,17.62957317,2.762957317,1.346164192,1.03270224,0.135143855,101.418002,10.18989027,0.975359632
258,17.69817073,2.769817073,1.357586734,1.028783026,0.136668753,110.8590148,10.11730827,0.973008008
259,17.76676829,2.776676829,1.371296406,1.035009932,0.13920119,107.9417347,9.948096783,0.970525556
260,17.83536585,2.783536585,1.391552219,1.039435881,0.142535238,104.9764159,9.802250447,0.967319613
261,17.90396341,2.790396341,1.397111804,1.045469684,0.144983615,103.2030851,9.660473854,0.966939197
262,17.97256098,2.797256098,1.396179143,1.050829677,0.14702048,100.6581084,9.525721811,0.965090168
263,18.04115854,2.804115854,1.385750219,1.053908962,0.148175424,98.27621854,9.389842849,0.965621184
264,18.1097561,2.81097561,1.37909835,1.065567879,0.149110599,98.36455388,9.306889526,0.966779745
265,18.17835366,2.817835366,1.36753945,1.08086621,0.149510664,98.88512199,9.233162249,0.966863621
266,18.24695122,2.824695122,1.362980068,1.092366804,0.149398507,99.85302784,9.221974073,0.968998064
267,18.31554878,2.831554878,1.365792782,1.100526832,0.148949801,99.48412557,9.249982695,0.964679422
268,18.38414634,2.838414634,1.357191499,1.12550115,0.148424572,99.17743621,9.1865617,0.96319894
269,18.4527439,2.84527439,1.356808445,1.12574108,0.147184887,97.42172007,9.240577928,0.963529252
270,18.52134146,2.852134146,1.36212483,1.1369765,0.143568534,100.6503573,9.518653254,0.96328412
271,18.58993902,2.858993902,1.371560518,1.113971953,0.140159379,103.0685588,9.843276762,0.963225442
272,18.65853659,2.865853659,1.375584845,1.098917037,0.135917693,107.2486465,10.21383367,0.967291631
273,18.72713415,2.872713415,1.361720575,1.087760015,0.131889998,108.9039132,10.44125615,0.966514785
274,18.79573171,2.879573171,1.37529188,1.045871192,0.12843665,110.7872515,10.84953633,0.969351275
275,18.86432927,2.886432927,1.366084364,1.040010852,0.125511775,110.9331772,11.03137288,0.970216797
276,18.93292683,2.893292683,1.36936083,1.023079386,0.124777202,112.2923153,11.1249797,0.968816831
