L15_H16_MAD_Hampel,Sediment_Y_mm,strat_depth_Y_mm,R570R630,RABD660670,R660R670,RMean,RABD660670RMean
65,4.458841463,4.458841463,0.957583634,1.048440883,1.010211143,0.119207724,10.01316387
66,4.527439024,4.527439024,0.98536231,1.056541677,1.010459008,0.122871391,9.879804842
67,4.596036585,4.596036585,0.97716579,1.063821289,1.004447003,0.129346482,9.206880616
68,4.664634146,4.664634146,0.955319522,1.056697065,1.012504095,0.132724833,8.727125179
69,4.733231707,4.733231707,0.957295727,1.05466502,1.015653357,0.1349833,8.432384053
70,4.801829268,4.801829268,0.947542121,1.052472391,1.016727493,0.136943012,8.150336712
71,4.870426829,4.870426829,0.933379527,1.057427744,1.008983061,0.138352589,8.024792394
72,4.93902439,4.93902439,0.932497666,1.061000733,1.012455421,0.136697348,8.087515585
73,5.007621951,5.007621951,0.940431635,1.060192872,1.017728815,0.133858053,8.226555901
74,5.076219512,5.076219512,0.931421001,1.061708693,1.01811942,0.12778217,8.620034956
75,5.144817073,5.144817073,0.946241277,1.061501767,1.01533765,0.120102811,9.194446594
76,5.213414634,5.213414634,0.963732682,1.054297116,1.015566236,0.113129975,9.988976833
77,5.282012195,5.282012195,0.979329646,1.045767065,1.010717894,0.108306408,8.735774125
78,5.350609756,5.350609756,1.017728359,1.030463082,1.009329642,0.10667907,8.735774125
79,5.419207317,5.419207317,1.003711685,1.020815743,1.019880675,0.11027761,8.735774125
80,5.487804878,5.487804878,1.004891299,1.029354136,1.017564412,0.114853615,8.735774125
81,5.556402439,5.556402439,0.982685388,1.033555344,1.020393175,0.121393119,9.893466495
82,5.625,5.625,0.9559136,1.037636062,1.02544654,0.12882189,8.898938587
83,5.693597561,5.693597561,0.942243692,1.033085068,1.028473018,0.130715813,8.498562482
84,5.762195122,5.762195122,0.93769066,1.036810385,1.028428791,0.132073988,8.316176122
85,5.830792683,5.830792683,0.938316237,1.041077082,1.023067203,0.132188765,8.315488823
86,5.899390244,5.899390244,0.939187245,1.044674304,1.021837886,0.131845317,8.382831635
87,5.967987805,5.967987805,0.944604097,1.044915251,1.018719201,0.131164462,8.478787168
88,6.036585366,6.036585366,0.953783419,1.041009851,1.020608806,0.129892686,8.594216516
89,6.105182927,6.105182927,0.966639251,1.04134357,1.016327242,0.128791655,8.669694631
90,6.173780488,6.173780488,0.951330037,1.039836133,1.016656256,0.126657664,8.735774125
91,6.242378049,6.242378049,0.953548897,1.044892613,1.013393557,0.123831112,8.892189764
92,6.31097561,6.31097561,0.950173676,1.041946563,1.016759975,0.121028352,9.001801852
93,6.379573171,6.379573171,0.947122812,1.041892846,1.019504498,0.1196185,9.070379457
94,6.448170732,6.448170732,0.951254248,1.04027655,1.014898119,0.12150531,8.884719649
95,6.516768293,6.516768293,0.956126201,1.037852658,1.021049393,0.12491109,8.604223398
96,6.585365854,6.585365854,0.950978296,1.032975111,1.025344737,0.127980261,8.351733723
97,6.653963415,6.653963415,0.941528419,1.037436907,1.019647652,0.129674052,8.299585588
98,6.722560976,6.722560976,0.950473606,1.035034334,1.020532761,0.132538363,8.142700795
99,6.791158537,6.791158537,0.958009933,1.035637177,1.018045971,0.133424031,8.106347226
100,6.859756098,6.859756098,0.947902047,1.034809801,1.016224978,0.133389885,8.024475571
101,6.928353659,6.928353659,0.958929261,1.036199336,1.018845888,0.1297559,8.134801842
102,6.99695122,6.99695122,0.951617238,1.032551866,1.01916545,0.125450119,8.287435709
103,7.06554878,7.06554878,0.964185887,1.029025434,1.020825126,0.122494113,8.424007685
104,7.134146341,7.134146341,0.961194905,1.024602266,1.023495255,0.122033472,8.41395452
105,7.202743902,7.202743902,0.955218682,1.028009477,1.017702994,0.122625282,8.40162048
106,7.271341463,7.271341463,0.952294907,1.027249165,1.022810995,0.123737764,8.322496876
107,7.339939024,7.339939024,0.956165758,1.022541912,1.02513057,0.124527988,8.229709864
108,7.408536585,7.408536585,0.954498081,1.026261864,1.020448984,0.124445305,8.262520605
109,7.477134146,7.477134146,0.956072341,1.025163446,1.024689222,0.123531399,8.313357738
110,7.545731707,7.545731707,0.957382278,1.023659461,1.021331795,0.122860766,8.348050671
111,7.614329268,7.614329268,0.952383347,1.024416897,1.019480692,0.121478355,8.455560369
112,7.682926829,7.682926829,0.96316831,1.027416137,1.015854759,0.120667655,8.540835296
113,7.75152439,7.75152439,0.96136203,1.027397874,1.017927603,0.119979189,8.594673803
114,7.820121951,7.820121951,0.965581473,1.022597694,1.025580117,0.118672157,8.647266657
115,7.888719512,7.888719512,0.964021848,1.026587589,1.015782794,0.117771855,8.754539374
116,7.957317073,7.957317073,0.95771694,1.024133786,1.018389703,0.117782612,8.738986715
117,8.025914634,8.025914634,0.963529189,1.022428077,1.018956505,0.117026812,8.790757272
118,8.094512195,8.094512195,0.971699034,1.020816159,1.020598334,0.116502423,8.827119112
119,8.163109756,8.163109756,0.973488079,1.021536155,1.018268926,0.117119666,8.786876502
120,8.231707317,8.231707317,0.971249523,1.023396566,1.014571106,0.116942194,8.817839522
121,8.300304878,8.300304878,0.961484729,1.021102803,1.019613943,0.116343372,8.836926283
122,8.368902439,8.368902439,0.955084819,1.019991781,1.021945531,0.117767779,8.70588541
123,8.4375,8.4375,0.957884341,1.024651914,1.018360193,0.118350979,8.689795686
124,8.506097561,8.506097561,0.956197231,1.025683677,1.020319075,0.117906568,8.730806404
125,8.574695122,8.574695122,0.94717135,1.025121866,1.021564884,0.117165667,8.785293425
126,8.643292683,8.643292683,0.958474487,1.025465084,1.021796028,0.117129368,8.791547406
127,8.711890244,8.711890244,0.947968239,1.028590431,1.020302299,0.116056204,8.898751428
128,8.780487805,8.780487805,0.951535334,1.02885904,1.020139799,0.115322102,8.954548036
129,8.849085366,8.849085366,0.955438552,1.022995584,1.026345023,0.114211793,8.987544383
130,8.917682927,8.917682927,0.961418075,1.025860824,1.020140523,0.114135626,9.017913726
131,8.986280488,8.986280488,0.956638916,1.023856177,1.019014867,0.114337306,8.981996198
132,9.054878049,9.054878049,0.951786089,1.027779771,1.014973021,0.114425318,9.007617712
133,9.12347561,9.12347561,0.946236629,1.02395202,1.02194906,0.115458527,8.893255857
134,9.192073171,9.192073171,0.942420018,1.022699814,1.025331955,0.117061635,8.759950799
135,9.260670732,9.260670732,0.939352184,1.023814604,1.024158303,0.11725862,8.753668431
136,9.329268293,9.329268293,0.942206051,1.024901925,1.023156622,0.116904895,8.788034893
137,9.397865854,9.397865854,0.941524462,1.025138662,1.023401612,0.114907217,8.952704645
138,9.466463415,9.466463415,0.953066134,1.027417089,1.02223172,0.112660064,9.16422091
139,9.535060976,9.535060976,0.962545865,1.022458128,1.020580767,0.112279681,9.16122465
140,9.603658537,9.603658537,0.956236873,1.02207174,1.0222556,0.111603885,9.226805995
141,9.672256098,9.672256098,0.956515627,1.02387638,1.019095154,0.112339206,9.181972181
142,9.740853659,9.740853659,0.958416534,1.026055197,1.016091428,0.111483063,9.262118847
143,9.80945122,9.80945122,0.968004802,1.022771594,1.018798203,0.110659322,9.293597575
144,9.87804878,9.87804878,0.962590228,1.022965921,1.015098612,0.111220825,9.246876132
145,9.946646341,9.946646341,0.953887531,1.023383207,1.015053902,0.111710537,9.216796737
146,10.0152439,10.0152439,0.953066134,1.019728788,1.01692935,0.113379548,9.061318636
147,10.08384146,10.08384146,0.959395656,1.02395202,1.023524178,0.114423421,8.958901567
148,10.15243902,10.15243902,0.955151295,1.02827924,1.016473013,0.114693464,9.0300114
149,10.22103659,10.22103659,0.956373492,1.022739258,1.01986207,0.115895551,8.889184752
150,10.28963415,10.28963415,0.962995128,1.024066143,1.020697275,0.11666435,8.838105394
151,10.35823171,10.35823171,0.951730063,1.024690783,1.021467812,0.117525784,8.77970201
152,10.42682927,10.42682927,0.948822965,1.023179528,1.020802324,0.117381056,8.780186915
153,10.49542683,10.49542683,0.949451361,1.025028474,1.017934103,0.117697322,8.777498453
154,10.56402439,10.56402439,0.953887531,1.023060467,1.022702512,0.116542384,8.868345299
155,10.63262195,10.63262195,0.95062494,1.024979154,1.021034227,0.117232861,8.847895784
156,10.70121951,10.70121951,0.946792048,1.025073639,1.018568823,0.117745511,8.813379472
157,10.76981707,10.76981707,0.952459296,1.027833786,1.017694458,0.118446769,8.768459635
158,10.83841463,10.83841463,0.952572999,1.024794802,1.021573381,0.119955943,8.604557437
159,10.9070122,10.9070122,0.955780017,1.025754555,1.018787431,0.121667244,8.465861674
160,10.97560976,10.97560976,0.948590837,1.023191845,1.021405963,0.122401321,8.381921376
161,11.04420732,11.04420732,0.947131223,1.025980839,1.018294389,0.122625011,8.38739249
162,11.11280488,11.11280488,0.948350414,1.024080401,1.01981583,0.123613139,8.305031838
163,11.18140244,11.18140244,0.949835876,1.025185804,1.01839162,0.123349243,8.341534738
164,11.25,11.25,0.947727921,1.017982223,1.023251422,0.122420937,8.364260089
165,11.31859756,11.31859756,0.95387549,1.023241574,1.019896204,0.121343077,8.501842629
166,11.38719512,11.38719512,0.952700267,1.022068943,1.021198375,0.120108515,8.594996229
167,11.45579268,11.45579268,0.952422387,1.021976685,1.019232969,0.119770749,8.624580529
168,11.52439024,11.52439024,0.950219461,1.021865794,1.019235986,0.119360132,8.657925429
169,11.5929878,11.5929878,0.948170818,1.023063808,1.021316995,0.118660388,8.723688649
170,11.66158537,11.66158537,0.959743163,1.021145423,1.018440782,0.119363362,8.649313311
171,11.73018293,11.73018293,0.956587996,1.022941342,1.021820134,0.118745813,8.705918751
172,11.79878049,11.79878049,0.959163673,1.020528303,1.021383526,0.11797983,8.745999621
173,11.86737805,11.86737805,0.959556505,1.024753564,1.017986371,0.11575214,8.95716228
174,11.93597561,11.93597561,0.953600864,1.023374874,1.021153856,0.113861186,9.094867537
175,12.00457317,12.00457317,0.959476974,1.020116645,1.019074053,0.112176326,9.217514323
176,12.07317073,12.07317073,0.95951162,1.021760395,1.017828453,0.109950466,9.436940209
177,12.14176829,12.14176829,0.969494797,1.020538946,1.021935473,0.109135764,9.511900094
178,12.21036585,12.21036585,0.969987292,1.024724435,1.01790477,0.108781777,9.589480508
179,12.27896341,12.27896341,0.973868117,1.021944998,1.021514237,0.108610754,9.558861548
180,12.34756098,12.34756098,0.959944795,1.026832694,1.016665014,0.108349955,9.612599627
181,12.41615854,12.41615854,0.964894321,1.02453378,1.017996019,0.109231827,9.502002316
182,12.4847561,12.4847561,0.966236337,1.022395592,1.020250359,0.110520746,9.36993912
183,12.55335366,12.55335366,0.962771398,1.028467248,1.01231616,0.111495136,9.3564715
184,12.62195122,12.62195122,0.962706239,1.024217496,1.019831659,0.112180216,9.298013256
185,12.69054878,12.69054878,0.959609062,1.025606464,1.016736339,0.111102911,9.453368887
186,12.75914634,12.75914634,0.953525586,1.021703845,1.019060218,0.11076444,9.495489543
187,12.8277439,12.8277439,0.962953632,1.01870868,1.024600389,0.110563311,9.500290824
188,12.89634146,12.89634146,0.961616428,1.018845269,1.027617254,0.112705601,9.292103929
189,12.96493902,12.96493902,0.962417987,1.020061264,1.026425548,0.113193651,9.228122904
190,13.03353659,13.03353659,0.953982383,1.023312463,1.021138715,0.109609612,9.131108953
191,13.10213415,13.10213415,0.951018847,1.025784707,1.019304802,0.113869868,9.185962946
192,13.17073171,13.17073171,0.952636908,1.026198883,1.020013513,0.111536103,9.458791917
193,13.23932927,13.23932927,0.96849893,1.021480982,1.022523762,0.109245049,9.746004005
194,13.30792683,13.30792683,0.955487467,1.023757453,1.014816321,0.106654775,9.500290824
195,13.37652439,13.37652439,0.957792111,1.020500737,1.023371698,0.106296428,9.993643314
196,13.44512195,13.44512195,0.971384206,1.026270361,1.021344596,0.107438885,9.772052719
197,13.51371951,13.51371951,0.940934492,1.025114477,1.026519804,0.108124924,9.61939308
198,13.58231707,13.58231707,0.94446288,1.02491689,1.024199087,0.108816253,9.522351419
199,13.65091463,13.65091463,0.959911164,1.022870077,1.029495597,0.108779289,9.49044776
200,13.7195122,13.7195122,0.956521303,1.026864764,1.026713772,0.108682738,9.537247842
201,13.78810976,13.78810976,0.964861083,1.03044302,1.018380217,0.109241833,9.538131406
202,13.85670732,13.85670732,0.961350587,1.025361449,1.018791058,0.109609612,9.466002672
203,13.92530488,13.92530488,0.947052591,1.021867743,1.024232171,0.110027588,9.398658429
204,13.99390244,13.99390244,0.953259798,1.02561431,1.017836383,0.109779267,9.44230558
205,14.0625,14.0625,0.957736515,1.024848952,1.013131493,0.108672579,9.551203735
206,14.13109756,14.13109756,0.948140897,1.01909631,1.017595606,0.107448922,9.656170868
207,14.19969512,14.19969512,0.948333854,1.026463308,1.015363675,0.107298739,9.827295888
208,14.26829268,14.26829268,0.952587411,1.022933132,1.018819939,0.107694566,9.804442083
209,14.33689024,14.33689024,0.965580513,1.022111278,1.021236232,0.107690337,9.816943807
210,14.4054878,14.4054878,0.964026779,1.024900815,1.017616689,0.109213544,9.72722205
211,14.47408537,14.47408537,0.962109333,1.025671815,1.019357656,0.110253234,9.66925971
212,14.54268293,14.54268293,0.978831431,1.020934404,1.024867069,0.11115256,9.578554753
213,14.61128049,14.61128049,0.973291112,1.024870091,1.020855204,0.111721149,9.591967829
214,14.67987805,14.67987805,0.965830312,1.021333935,1.022827816,0.109786733,9.729864443
215,14.74847561,14.74847561,0.975274702,1.017783942,1.024677537,0.106604407,9.923110931
216,14.81707317,14.81707317,0.973093814,1.021264714,1.024425404,0.10401108,10.0665423
217,14.88567073,14.88567073,0.976846585,1.022341274,1.021545084,0.103404015,10.07105973
218,14.95426829,14.95426829,0.972950924,1.023912701,1.01873413,0.104405639,9.969733069
219,15.02286585,15.02286585,0.981538325,1.026537476,1.016995834,0.105816878,9.845367086
220,15.09146341,15.09146341,0.969140746,1.022898606,1.020280159,0.106992493,9.687367878
221,15.16006098,15.16006098,0.967835631,1.025375556,1.016478032,0.109328262,9.504543989
222,15.22865854,15.22865854,0.9704661,1.025583387,1.015920899,0.110294245,9.452868854
223,15.2972561,15.2972561,0.967279572,1.025580574,1.017861459,0.113433767,9.194416738
224,15.36585366,15.36585366,0.97591629,1.024922993,1.0154141,0.114091876,9.103477532
225,15.43445122,15.43445122,0.958401914,1.02612264,1.016401738,0.114843131,9.014930617
226,15.50304878,15.50304878,0.96114083,1.024811116,1.018284819,0.115304556,8.930048097
227,15.57164634,15.57164634,0.953154647,1.02715137,1.015153794,0.114553171,8.982909741
228,15.6402439,15.6402439,0.959115786,1.025464041,1.015309852,0.115890302,8.861398335
229,15.70884146,15.70884146,0.963332301,1.022226805,1.014693135,0.116385916,8.796437702
230,15.77743902,15.77743902,0.964988294,1.021401647,1.0148332,0.11734456,8.727920302
231,15.84603659,15.84603659,0.961833487,1.021829137,1.01808975,0.118371117,8.670948013
232,15.91463415,15.91463415,0.970244288,1.021332054,1.015286399,0.118758949,8.648455374
233,15.98323171,15.98323171,0.954335816,1.018856539,1.021423322,0.119322891,8.584357839
234,16.05182927,16.05182927,0.955964517,1.02092372,1.020901399,0.119128788,8.611747426
235,16.12042683,16.12042683,0.960169827,1.022384383,1.01925349,0.118898597,8.63491486
236,16.18902439,16.18902439,0.970038168,1.018612316,1.024488957,0.118737223,8.607463145
237,16.25762195,16.25762195,0.960804101,1.022590155,1.022222677,0.117941859,8.69546075
238,16.32621951,16.32621951,0.954982239,1.023682215,1.01916847,0.118589852,8.656954358
239,16.39481707,16.39481707,0.957299238,1.022091301,1.023489629,0.118777731,8.636920029
240,16.46341463,16.46341463,0.9543205,1.025751067,1.020544535,0.117727331,8.754266231
241,16.5320122,16.5320122,0.957465521,1.026410284,1.018102124,0.117502814,8.791229756
242,16.60060976,16.60060976,0.948920097,1.018740183,1.028339002,0.117435509,8.734015473
243,16.66920732,16.66920732,0.960393526,1.025814643,1.017587029,0.117118589,8.814821128
244,16.73780488,16.73780488,0.961611256,1.019782548,1.025285168,0.116292752,8.818098514
245,16.80640244,16.80640244,0.960785936,1.02458912,1.016376834,0.114180981,9.016922651
246,16.875,16.875,0.95986064,1.020784854,1.020153942,0.114217345,8.972456078
247,16.94359756,16.94359756,0.957190135,1.022050014,1.019101966,0.113747674,9.018555226
248,17.01219512,17.01219512,0.964608547,1.026003347,1.017052561,0.113243547,9.094736284
249,17.08079268,17.08079268,0.968430899,1.023034247,1.018635911,0.113804113,9.024983421
250,17.14939024,17.14939024,0.963802931,1.019106004,1.019402247,0.113369216,9.030762949
251,17.2179878,17.2179878,0.958723041,1.021048725,1.021018408,0.113396765,9.051416851
252,17.28658537,17.28658537,0.963778651,1.022837628,1.016826095,0.112548329,9.148561278
253,17.35518293,17.35518293,0.963932641,1.025692539,1.015131389,0.112462603,9.19482891
254,17.42378049,17.42378049,0.970929142,1.019874333,1.01995039,0.112902171,9.114096265
255,17.49237805,17.49237805,0.952378941,1.024142473,1.015960309,0.112712884,9.179494073
256,17.56097561,17.56097561,0.958190641,1.017521495,1.019170593,0.113337613,9.083296784
257,17.62957317,17.62957317,0.959946656,1.021093206,1.017746651,0.11321268,9.162563832
258,17.69817073,17.69817073,0.962746535,1.024349452,1.013700403,0.112963892,9.235218948
259,17.76676829,17.76676829,0.956966719,1.025078408,1.016488293,0.112156463,9.292499604
260,17.83536585,17.83536585,0.9637016,1.022071179,1.018947168,0.111698351,9.268218125
261,17.90396341,17.90396341,0.968030412,1.022502667,1.013580598,0.110300108,9.390204507
262,17.97256098,17.97256098,0.96149749,1.02112989,1.017384458,0.10961214,9.467652636
263,18.04115854,18.04115854,0.956429727,1.019551722,1.016332701,0.109785112,9.469523238
264,18.1097561,18.1097561,0.958280803,1.018740696,1.021501815,0.110559484,9.391617337
265,18.17835366,18.17835366,0.959209986,1.019525371,1.018814734,0.111201288,9.330754465
266,18.24695122,18.24695122,0.953521207,1.019366362,1.018974757,0.111492577,9.292663197
267,18.31554878,18.31554878,0.964598864,1.022437969,1.015375523,0.111254979,9.332676741
268,18.38414634,18.38414634,0.962493649,1.020054289,1.015993767,0.110591621,9.355844698
269,18.4527439,18.4527439,0.967953282,1.018722811,1.015081684,0.111034473,9.288000391
270,18.52134146,18.52134146,0.968231592,1.020548266,1.012800064,0.111349837,9.254580521
271,18.58993902,18.58993902,0.970303906,1.017876997,1.014783586,0.112798526,9.100767712
272,18.65853659,18.65853659,0.966766932,1.02086072,1.015178814,0.113773041,9.045648798
273,18.72713415,18.72713415,0.955532886,1.023038614,1.013565326,0.114253899,9.021973979
274,18.79573171,18.79573171,0.969200715,1.018624044,1.017630775,0.114385362,8.966895403
275,18.86432927,18.86432927,0.959801538,1.017606966,1.018461157,0.112403417,9.096074527
276,18.93292683,18.93292683,0.964517542,1.0215765,1.015298911,0.110864398,9.254521478
277,19.00152439,19.00152439,0.948123117,1.021276498,1.020212024,0.108648881,9.472731959
278,19.07012195,19.07012195,0.967088103,1.023923134,1.014150456,0.108629626,9.558616561
279,19.13871951,19.13871951,0.961138582,1.020001799,1.016128713,0.109066812,9.514285472
280,19.20731707,19.20731707,0.95812072,1.017230915,1.019858512,0.108915418,9.493031425
281,19.27591463,19.27591463,0.969041941,1.02473478,1.012547426,0.1091567,9.506326845
282,19.3445122,19.3445122,0.965356372,1.026714733,1.013071843,0.109811901,9.454092795
283,19.41310976,19.41310976,0.956302008,1.024005049,1.019018887,0.109420554,9.471191852
284,19.48170732,19.48170732,0.957892416,1.024587849,1.017822913,0.108856002,9.550815075
285,19.55030488,19.55030488,0.964294564,1.023209044,1.018997138,0.107070743,9.74822875
286,19.61890244,19.61890244,0.965835525,1.026038053,1.015720017,0.106274845,9.941283426
287,19.6875,19.6875,0.973772434,1.016370601,1.02050857,0.104665376,10.03575117
288,19.75609756,19.75609756,0.970180175,1.020969415,1.0147764,0.105921644,9.918100073
289,19.82469512,19.82469512,0.96432147,1.023295223,1.01602307,0.108424856,9.616120185
290,19.89329268,19.89329268,0.964974954,1.022611809,1.019168609,0.111196012,9.314380561
291,19.96189024,19.96189024,0.966961313,1.024624921,1.016583985,0.112903931,9.175906004
292,20.0304878,20.0304878,0.965852307,1.019494734,1.018797384,0.114283444,9.023373527
293,20.09908537,20.09908537,0.950125754,1.022814577,1.016007172,0.115015276,9.010371454
294,20.16768293,20.16768293,0.95488689,1.017966998,1.018312476,0.115993755,8.889544779
295,20.23628049,20.23628049,0.95803522,1.020230057,1.016475647,0.117437599,8.774304505
296,20.30487805,20.30487805,0.966995277,1.020371151,1.021407199,0.119428649,8.604791611
297,20.37347561,20.37347561,0.959344303,1.025346121,1.013609169,0.120211552,8.574950534
298,20.44207317,20.44207317,0.945457546,1.022364327,1.01929229,0.119193619,8.617433725
299,20.51067073,20.51067073,0.952310721,1.022849354,1.014252335,0.118618643,8.65800353
300,20.57926829,20.57926829,0.967985045,1.021928786,1.017635207,0.119793336,8.558157044
301,20.64786585,20.64786585,0.952128413,1.021707449,1.019482413,0.119944813,8.547312913
302,20.71646341,20.71646341,0.953148378,1.023319075,1.020273162,0.12073747,8.505582271
303,20.78506098,20.78506098,0.953858144,1.02212304,1.017693598,0.120635282,8.509833205
304,20.85365854,20.85365854,0.959434616,1.023132607,1.015108192,0.120187356,8.563595672
305,20.9222561,20.9222561,0.961797214,1.023793909,1.016411203,0.119744138,8.605028714
306,20.99085366,20.99085366,0.961985427,1.021081987,1.018687919,0.119771575,8.574334483
307,21.05945122,21.05945122,0.94752368,1.023622467,1.016273851,0.120265612,8.548811859
308,21.12804878,21.12804878,0.951989954,1.022364327,1.010067844,0.120604976,8.558777717
309,21.19664634,21.19664634,0.958760173,1.027113464,1.013449573,0.121732869,8.466548243
310,21.2652439,21.2652439,0.953117464,1.023365297,1.016077162,0.122113346,8.410002108
311,21.33384146,21.33384146,0.958036516,1.025646661,1.015098733,0.122593477,8.39425187
312,21.40243902,21.40243902,0.951136801,1.02091388,1.020227031,0.123388044,8.299845034
313,21.47103659,21.47103659,0.947110333,1.02314287,1.019023314,0.123390758,8.316956597
314,21.53963415,21.53963415,0.946565089,1.02063707,1.0188558,0.12406472,8.252094492
