L5_GEOTEK_MSCL_SATURATED_CALIBRATION,,,,,,,,,,,,,,,
RECORD,SB_DEPTH,SECT_NUM,SECT_DEPTH,FIELD_DEPTH_[0_=_0-0.5_cm],STRAT_DEPTH_ITRAX,CoreThickness,PWAmp,PWVel,Den1_SAT_calibration,MS1,χhf_DCMS1,Imp_SAT_calibration,FP_SAT_calibration,RES_SAT_calibration,CONDUCTIVTY
L5-L2B,168.8,5,35.2,14.6,14.6,1.774,0.108,1279.019,2.1455,827.8,385.8315,2744.132,0.3454,1.5051,0.664
L5-L2B,169,5,35.4,14.8,14.8,1.769,0.148,1279.103,2.1259,868,408.2933,2719.275,0.3566,1.6215,0.617
L5-L2B,169.2,5,35.6,15,15,1.769,0.1604,1282.814,2.1349,859.6,402.6472,2738.642,0.3515,1.5046,0.665
L5-L2B,169.4,5,35.8,15.2,15.2,1.769,0.1421,1296.921,2.1278,839.7,394.6329,2759.588,0.3555,1.5704,0.637
L5-L2B,169.6,5,36,15.4,15.4,1.767,0.0816,1307.92,2.1416,830.6,387.8484,2800.987,0.3477,1.5667,0.638
L5-L2B,169.8,5,36.2,15.6,15.6,1.764,0.0701,1322.339,2.1179,832.3,392.9774,2800.626,0.3612,1.4838,0.674
L5-L2B,170,5,36.4,15.8,15.8,1.764,0.0392,1323.331,2.1776,854.1,392.2177,2881.708,0.3271,1.5612,0.641
L5-L2B,170.2,5,36.6,16,16,1.764,0.0513,1319.372,2.1742,878.2,403.9221,2868.554,0.329,1.5618,0.64
L5-L2B,170.4,5,36.8,16.2,16.2,1.769,0.0383,1339.137,2.1449,873.2,407.1143,2872.251,0.3458,1.5341,0.652
L5-L2B,170.6,5,37,16.4,16.4,1.769,0.0417,1345.247,2.1482,886.3,412.5778,2889.861,0.3439,1.4691,0.681
L5-L2B,170.8,5,37.2,16.6,16.6,1.774,0.0411,1351.104,2.2027,907,411.7693,2976.064,0.3127,1.5642,0.639
L5-L2B,171,5,37.4,16.8,16.8,1.774,0.0443,1358.346,2.1522,919.1,427.0455,2923.473,0.3416,1.4488,0.69
L5-L2B,171.2,5,37.6,17,17,1.779,0.0146,1373.745,2.1824,920.3,421.6856,2998.105,0.3243,1.5091,0.663
L5-L2B,171.4,5,37.8,17.2,17.2,1.785,0.0101,1382.649,2.1998,908.9,413.1807,3041.502,0.3144,1.4789,0.676
L5-L2B,171.6,5,38,17.4,17.4,1.79,0.0052,1088.808,2.1967,907.7,413.2154,2391.757,0.3162,1.4209,0.704
L5-L2B,171.8,5,38.2,17.6,17.6,1.795,0.0039,882.9316,2.164,913.9,422.3262,1910.635,0.3349,1.4178,0.705
L5-L2B,172,5,38.4,17.8,17.8,1.8,0.0062,1293.104,2.1694,910.8,419.8446,2805.225,0.3318,1.3696,0.73
L5-L2B,172.2,5,38.6,18,18,1.806,0.0127,1303.971,2.1818,876.9,401.9206,2844.971,0.3247,1.4259,0.701
L5-L2B,172.4,5,38.8,18.2,18.2,1.813,0.0249,1312.817,2.1866,837.4,382.9693,2870.603,0.3219,1.4038,0.712
L5-L2B,172.6,5,39,18.4,18.4,1.821,0.0295,1320.522,2.2145,802.9,362.5614,2924.325,0.306,1.4023,0.713
L5-L2B,172.8,5,39.2,18.6,18.6,1.825,0.0398,1331.145,2.2145,757.6,342.1153,2947.765,0.306,1.4626,0.684
L5-L2B,173,5,39.4,18.8,18.8,1.832,0.0227,1345.081,2.2007,743.3,337.7568,2960.114,0.3139,1.5496,0.645
L5-L2B,173.2,5,39.6,19,19,1.836,0.0143,1349.008,2.2582,753.8,333.8126,3046.267,0.2811,1.5312,0.653
L5-L2B,173.4,5,39.8,19.2,19.2,1.842,0.0074,1355.409,2.2673,776.7,342.5633,3073.142,0.2758,1.5563,0.643
L5-L2B,173.6,5,40,19.4,19.4,1.848,0.0061,1056,2.2457,810.3,360.8161,2371.503,0.2881,1.6525,0.605
L5-L2B,173.8,5,40.2,19.6,19.6,1.857,0.0075,782.8837,2.3026,860.8,373.8311,1802.703,0.2556,1.7906,0.558
L5-L2B,174,5,40.4,19.8,19.8,1.862,0.0096,1225,2.3467,881.3,375.5525,2874.678,0.2305,1.7505,0.571
L5-L2B,174.2,5,40.6,20,20,1.867,0.0078,1239.708,2.3365,865.6,370.4656,2896.601,0.2363,1.8945,0.528
L5-L2B,174.4,5,40.8,20.2,20.2,1.873,0.0132,1302.504,2.3679,843.8,356.3505,3084.19,0.2183,2.0379,0.491
L5-L2B,174.6,5,41,20.4,20.4,1.878,0.029,1331.915,2.4105,829.9,344.288,3210.557,0.194,2.2522,0.444
L5-L2B,174.8,5,41.2,20.6,20.6,1.883,0.0331,1340.214,2.4458,804,328.7272,3277.89,0.1738,2.2036,0.454
L5-L2B,175,5,41.4,20.8,20.8,1.888,0.0164,1332.392,2.3807,774.3,325.2471,3171.962,0.2111,2.1226,0.471
L5-L2B,175.2,5,41.6,21,21,1.899,0.0101,1325.192,2.4461,758.9,310.2447,3241.596,0.1736,2.4397,0.41
L5-L2B,175.4,5,41.8,21.2,21.2,1.904,0.0051,1307.692,2.5187,758.1,300.9834,3293.741,0.1321,2.6057,0.384
L5-L2B,175.6,5,42,21.4,21.4,1.915,0,19.5574,2.6085,775.3,297.2252,51.0147,0.0809,2.6721,0.374
L5-L2B,175.8,5,42.2,21.6,21.6,1.935,0,19.7616,2.672,804.5,301.0863,52.8029,0.0446,3.1495,0.318
L5-L2B,176,5,42.4,21.8,21.8,1.971,0,20.1293,2.441,827.1,338.8326,49.1362,0.1766,3.5102,0.285
L5-L2B,176.2,5,42.6,22,22,1.971,0,20.1293,2.4572,846.6,344.5371,49.4619,0.1673,3.6821,0.272
L5-L2B,176.4,5,42.8,22.2,22.2,1.976,0,20.1804,2.427,859.9,354.3105,48.9771,0.1846,3.9059,0.256
L5-L2B,176.6,5,43,22.4,22.4,2.03,0,20.7318,2.3557,873.3,370.7207,48.8376,0.2253,5.8849,0.17
L5-L2B,176.8,5,43.2,22.6,22.6,2.046,0.0016,638.7761,2.3331,869.4,372.632,1490.35,0.2382,13.2802,0.075
L5-L2B,177,5,43.4,22.8,22.8,2.046,0.0013,574.2352,2.4095,846,351.1162,1383.596,0.1946,17.247,0.058
L5-L2B,177.2,5,43.6,23,23,2.045,0.0012,521.5507,2.4204,815.6,336.971,1262.354,0.1884,14.8107,0.068
L5-L2B,177.4,5,43.8,23.2,23.2,2.041,0.0015,471.2538,2.5191,785,311.6155,1187.149,0.1319,7.6032,0.132
L5-L2B,177.6,5,44,23.4,23.4,2.036,0.0028,803.4728,2.486,778.5,313.1535,1997.434,0.1509,4.7599,0.21
L5-L2B,177.8,5,44.2,23.6,23.6,2.031,0.0025,616.3885,2.4787,809.2,326.4555,1527.87,0.155,3.3907,0.295
L5-L2B,178,5,44.4,23.8,23.8,2.027,0.0016,512.3862,2.3014,894.4,388.6404,1179.183,0.2564,2.7029,0.37
L5-L2B,178.2,5,44.6,24,24,2.023,0.0047,1132.699,2.0123,503.7,250.3116,2279.321,0.4215,2.4219,0.413
L5-L2B,178.4,5,44.8,24.2,24.2,2.002,0.0116,1139.442,1.7643,588.5,333.5677,2010.271,0.5633,2.2963,0.435
L5-L2B,178.6,5,45,24.4,24.4,1.956,0.0148,1456.441,1.526,661.5,433.4778,2222.573,0.6994,2.1091,0.474
L5-L2B,178.8,5,45.2,24.6,24.6,1.935,0.008,1446.189,1.3051,723.9,554.6736,1887.409,0.8257,2.1362,0.468
L5-L2B,179,5,45.4,24.8,24.8,1.909,0.0048,1428.892,1.1096,730.8,658.6195,1585.49,0.9374,2.2496,0.445
L5-L2B,179.2,5,45.6,25,25,1.811,0.0053,1113.776,1.0132,659.6,650.9775,1128.529,0.9924,2.4073,0.415
L5-L2B,179.4,5,45.8,25.2,25.2,1.723,0.009,1427.506,0.9204,466.9,507.2627,1313.92,1.0455,2.5588,0.391
L5-L2B,179.6,5,46,25.4,25.4,1.627,0.0123,1418.483,0.9092,318.6,350.4294,1289.643,1.0519,2.9295,0.341
L5-L2B,179.8,5,46.2,25.6,25.6,1.452,0.0138,1364.662,0.9927,226.1,227.7699,1354.657,1.0042,3.6285,0.276
L5-L2B,180,5,46.4,25.8,25.8,1.215,0.0111,1293.93,1.1588,157,135.4799,1499.463,0.9092,5.5643,0.18
