Age_BP,T_anomaly,T_lower_err,T_upper_err,err1,err2,ave_err,age1,wmean,lower,upper,plot_at,JRI_warmth_age,definition,age2,age3,age4,age5,age6,age7,age8,age9,warmphase_plot,RRR,MCA,HH,EHWP
6000,-0.158228223,-0.131514367,-0.198560907,-0.026713856,-0.040332684,0.03352327,,,,,,,,,,,,,,,,,,,,
6100,0.195000474,0.162078316,0.244706477,0.032922158,0.049706003,0.041314081,,,,,,,,,,,,,,,,,,,,
6200,0.053105891,0.044139962,0.066642687,0.008965929,0.013536796,0.011251363,,,,,,,,,,,,,,,,,,,,
6300,0.135437469,0.112571403,0.169960745,0.022866066,0.034523276,0.028694671,,,,,,,,,,,,,,,,,,,,
6400,0.15551707,0.129260942,0.195158677,0.026256128,0.039641607,0.032948868,,,,,,,,,,,,,,,,,,,,
6500,0.126962263,0.105527076,0.159325193,0.021435187,0.03236293,0.026899059,,,,,,,,,,,,,,,,,,,,
6600,0.227637514,0.189205207,0.285662763,0.038432307,0.058025249,0.048228778,,,,,,,,,,,,,,,,,,,,
6700,-0.025683517,-0.021347339,-0.032230296,-0.004336178,-0.006546779,0.005441479,,,,,,,,,,,,,,,,,,,,
6800,0.27530996,0.228829057,0.345487008,0.046480903,0.070177048,0.058328976,,,,,,,,,,,,,,,,,,,,
6900,0.042733566,0.035518808,0.053626436,0.007214758,0.01089287,0.009053814,,,,,,,,,,,,,,,,,,,,
7000,0.004248178,0.003530953,0.005331047,0.000717225,0.001082869,0.000900047,,,,,,,,,,,,,,,,,,,,
7100,0.281511635,0.233983696,0.353269502,0.047527939,0.071757867,0.059642903,,,,,,,,,,,,,,,,,,,,
7200,0.060116701,0.049967128,0.075440566,0.010149573,0.015323865,0.012736719,,,,,,,,,,,,,,,,,,,,
7300,-0.002633571,-0.002188942,-0.003304873,-0.000444629,-0.000671302,0.000557966,,,,,,,,,,,,,,,,,,,,
7400,0.377219326,0.313532946,0.473373272,0.06368638,0.096153946,0.079920163,,,,,,,,,,,,,,,,,,,,
7500,0.280978456,0.233540535,0.352600415,0.047437921,0.071621959,0.05952994,,,,,,,,,,,,,,,,,,,,
7600,0.039839178,0.033113083,0.049994262,0.006726095,0.010155084,0.00844059,,,,,,,,,,,,,,,,,,,,
7700,0.21657164,0.180007596,0.271776175,0.036564044,0.055204535,0.04588429,,,,,,,,,,,,,,,,,,,,
7800,-0.058517632,-0.048638032,-0.073433891,-0.0098796,-0.014916259,0.01239793,,,,,,,,,,,,,,,,,,,,
7900,0.193709967,0.161005687,0.243087018,0.03270428,0.049377051,0.041040666,,,,,,,,,,,,,,,,,,,,
8000,0.212776787,0.176853433,0.267014007,0.035923354,0.05423722,0.045080287,,,,,,,,,,,,,,,,,,,,
8100,0.384566063,0.319639325,0.482592707,0.064926738,0.098026644,0.081476691,,,,,,,,,,,,,,,,,,,,
8200,0.265422359,0.220610792,0.333079039,0.044811567,0.06765668,0.056234124,,,,,,,,,,,,,,,,,,,,
8300,0.112342035,0.093375198,0.14097824,0.018966837,0.028636205,0.023801521,,,,,,,,,,,,,,,,,,,,
8400,0.118708674,0.09866695,0.148967747,0.020041724,0.030259073,0.025150399,,,,,,,,,,,,,,,,,,,,
8500,0.12961917,0.107735414,0.16265935,0.021883756,0.03304018,0.027461968,,,,,,,,,,,,,,,,,,,,
8600,0.058062096,0.048259405,0.072862239,0.009802691,0.014800143,0.012301417,,,,,,,,,,,,,,,,,,,,
8700,0.390269692,0.324380004,0.489750202,0.065889688,0.09948051,0.082685099,,,,,,,,,,,,,,,,,,,,
8800,0.361586951,0.300539804,0.453756174,0.061047147,0.092169223,0.076608185,,,,,,,,,,,,,,,,,,,,
8900,0.366522055,0.304641708,0.459949246,0.061880347,0.093427191,0.077653769,,,,,,,,,,,,,,,,,,,,
9000,0.361578062,0.300532415,0.453745019,0.061045647,0.092166957,0.076606302,,,,,,,,,,,,,,,,,,,,
9100,0.028904195,0.024024266,0.036271931,0.004879929,0.007367736,0.006123833,,,,,,,,,,,,,,,,,,,,
9200,0.073692692,0.061251069,0.092477103,0.012441623,0.018784411,0.015613017,,,,,,,,,,,,,,,,,,,,
9300,0.577947327,0.480371804,0.725267233,0.097575523,0.147319906,0.122447715,,,,,,,,,,,,,,,,,,,,
9400,0.604588835,0.502515395,0.758699714,0.10207344,0.154110879,0.12809216,,,,,,,,,,,,,,,,,,,,
9500,0.922106573,0.766426242,1.157153346,0.155680331,0.235046773,0.195363552,,,,,,,,,,,,,,,,,,,,
9600,0.782352396,0.650266927,0.981775556,0.132085469,0.19942316,0.165754315,,,,,,,,,,,,,,,,,,,,
9700,0.994688724,0.826754264,1.24823683,0.16793446,0.253548106,0.210741283,,,,,,,,,,,,,,,,,,,,
9800,0.807285249,0.670990337,1.013063842,0.136294912,0.205778593,0.171036753,,,,,,,,,,,,,,,,,,,,
9900,0.799669514,0.664660375,1.003506841,0.135009139,0.203837327,0.169423233,,,,,,,,,,,,,,,,,,,,
10000,0.552402779,0.459139972,0.69321133,0.093262807,0.140808551,0.117035679,,,,,,,,,,,,,,,,,,,,
10100,0.469806213,0.390488281,0.589560738,0.079317932,0.119754525,0.099536229,,,,,,,,,,,,,,,,,,,,
10200,0.426770587,0.35471841,0.535555247,0.072052177,0.10878466,0.090418419,,,,,,,,,,,,,,,,,,,,
10300,0.973887048,0.809464559,1.222132766,0.164422489,0.248245718,0.206334104,,,,,,,,,,,,,,,,,,,,
10400,1.119625723,0.930598003,1.405020515,0.18902772,0.285394792,0.237211256,,,,,,,,,,,,,,,,,,,,
10500,0.898704419,0.746975101,1.127785937,0.151729318,0.229081518,0.190405418,,,,,,,,,,,,,,,,,,,,
10600,0.794605718,0.660451506,0.997152273,0.134154212,0.202546555,0.168350384,,,,,,,,,,,,,,,,,,,,
10700,0.818619715,0.680411192,1.027287486,0.138208523,0.208667771,0.173438147,,,,,,,,,,,,,,,,,,,,
10800,0.783824985,0.651490897,0.983623511,0.132334088,0.199798526,0.166066307,,,,,,,,,,,,,,,,,,,,
10900,0.943350428,0.784083473,1.183812302,0.159266955,0.240461874,0.199864415,,,,,,,,,,,,,,,,,,,,
11000,1.164128311,0.967587168,1.460866901,0.196541143,0.29673859,0.246639867,,,,,,,,,,,,,,,,,,,,
11100,1.253435806,1.041816774,1.572939051,0.211619032,0.319503245,0.265561139,,,,,,,,,,,,,,,,,,,,
11200,1.517383841,1.261202153,1.904167957,0.256181688,0.386784116,0.321482902,,,,,,,,,,,,,,,,,,,,
11300,1.245999022,1.035635551,1.563606616,0.210363471,0.317607594,0.263985533,,,,,,,,,,,,,,,,,,,,
11400,0.956263463,0.794816385,1.200016895,0.161447078,0.243753432,0.202600255,,,,,,,,,,,,,,,,,,,,
11500,1.284137946,1.067335436,1.611467227,0.21680251,0.327329281,0.272065896,,,,,,,,,,,,,,,,,,,,
11600,1.496667428,1.243983317,1.87817089,0.252684111,0.381503462,0.317093787,,,,,,,,,,,,,,,,,,,,
11700,1.326621352,1.102646319,1.664779736,0.223975033,0.338158384,0.281066709,,,,,,,,,,,,,,,,,,,,
11800,1.626593951,1.351974193,2.041215938,0.274619758,0.414621987,0.344620873,,,,,,,,,,,,,,,,,,,,
11900,0.780433912,0.648672343,0.979368047,0.131761569,0.198934135,0.165347852,,,,,,,,,,,,,,,,,,,,
12000,1.253615123,1.041965816,1.573164076,0.211649307,0.319548953,0.26559913,,,,,,,,,,,,,,,,,,,,
12100,1.056375598,0.878026471,1.325647809,0.178349127,0.269272211,0.223810669,,,,,,,,,,,,,,,,,,,,
12200,0.946683846,0.786854106,1.187995415,0.15982974,0.241311569,0.200570655,,,,,,,,,,,,,,,,,,,,
12300,0.850741028,0.707109426,1.067596584,0.143631602,0.216855556,0.180243579,,,,,,,,,,,,,,,,,,,,
12400,0.840587432,0.698670073,1.054854817,0.141917359,0.214267385,0.178092372,,,,,,,,,,,,,,,,,,,,
12500,0.775958608,0.644952609,0.973751979,0.131005999,0.197793371,0.164399685,,,,,,,,,,,,,,,,,,,,
12600,0.460420145,0.382686874,0.577782143,0.077733271,0.117361998,0.097547635,,,,,,,,,,,,,,,,,,,,
12700,0.224479874,0.186580674,0.281700234,0.0378992,0.05722036,0.04755978,,,,,,,,,,,,,,,,,,,,
12800,-0.275618528,-0.229085529,-0.345874231,-0.046532999,-0.070255703,0.058394351,,,,,,,,,,,,,,,,,,,,
12900,-0.498496966,-0.41433514,-0.62556482,-0.084161826,-0.127067854,0.10561484,,,,,,,,,,,,,,,,,,,,
13000,-0.562978907,-0.46793052,-0.706483334,-0.095048387,-0.143504427,0.119276407,,,,,,,,,,,,,,,,,,,,
13100,-0.65427967,-0.543816869,-0.821056841,-0.110462801,-0.166777171,0.138619986,,,,,,,,,,,,,,,,,,,,
13200,-0.896718367,-0.745324357,-1.125293637,-0.15139401,-0.22857527,0.18998464,,,,,,,,,,,,,,,,,,,,
13300,-0.880224503,-0.731615171,-1.104595454,-0.148609332,-0.224370951,0.186490142,,,,,,,,,,,,,,,,,,,,
13400,-0.82980018,-0.689704046,-1.041317873,-0.140096134,-0.211517693,0.175806914,,,,,,,,,,,,,,,,,,,,
13500,-0.834832777,-0.693886984,-1.047633289,-0.140945793,-0.212800512,0.176873153,,,,,,,,,,,,,,,,,,,,
13600,-0.486688045,-0.404519934,-0.610745782,-0.082168111,-0.124057737,0.103112924,,,,,,,,,,,,,,,,,,,,
13700,-0.521655558,-0.433583841,-0.654626583,-0.088071717,-0.132971025,0.110521371,,,,,,,,,,,,,,,,,,,,
13800,-0.702960449,-0.584278815,-0.882146446,-0.118681634,-0.179185997,0.148933816,,,,,,,,,,,,,,,,,,,,
13900,-0.775646323,-0.644693048,-0.973360092,-0.130953275,-0.197713769,0.164333522,,,,,,,,,,,,,,,,,,,,
14000,-0.541535266,-0.450107234,-0.679573667,-0.091428032,-0.138038401,0.114733217,,,,,,,,,,,,,,,,,,,,
14100,-0.38613212,-0.320940983,-0.484557954,-0.065191137,-0.098425834,0.081808486,,,,,,,,,,,,,,,,,,,,
14200,-0.241365421,-0.200615415,-0.30288994,-0.040750006,-0.061524519,0.051137263,,,,,,,,,,,,,,,,,,,,
