Age_Sh20,R850_R900,LOESS_100_age,LOESS_100_R850_R900,Predicted,Residuals,age,mean
-56.1,0.990464607,8200,0.968384664,0.99261117,-0.002146563,,
-56,0.993308073,8300,0.956706126,0.992622911,0.000685162,,
-55.9,0.98986615,8400,0.96182407,0.992634628,-0.002768478,,
-55.8,0.987458024,8500,0.976878235,0.992646384,-0.00518836,,
-55.7,0.980542584,8600,0.984324647,0.992657996,-0.012115412,,
-55.5,0.972172571,8700,0.99190987,0.992680913,-0.020508342,,
-55.4,0.968621139,8800,1.00082615,0.992692105,-0.024070966,,
-55.3,0.974290607,8900,0.996141844,0.992703286,-0.018412679,,
-55.2,0.984804451,9000,0.984273338,0.99271449,-0.007910039,,
-55,0.988457203,9100,0.973160203,0.992736493,-0.00427929,,
-54.9,0.993596036,9200,0.962454381,0.992747281,0.000848755,,
-54.8,0.985717617,9300,0.946128634,0.992758067,-0.00704045,,
-54.7,0.978953214,9400,0.939596715,0.992768804,-0.01381559,,
-54.6,0.976298877,9500,0.932035207,0.992779364,-0.016480487,,
-54.5,0.976991612,9600,0.924626919,0.992789849,-0.015798237,,
-54.5,0.98181429,9700,0.921812001,0.992789849,-0.010975559,,
-54.4,0.983946114,9800,0.923352963,0.992800327,-0.008854213,,
-54.4,0.990722484,9900,0.926716729,0.992800327,-0.002077843,,
-54.3,0.987862342,10000,0.925935695,0.992810589,-0.004948247,,
-54.3,0.982482501,10100,0.921095163,0.992810589,-0.010328088,,
-54.2,0.971173058,10200,0.913958221,0.992820821,-0.021647763,,
-54.2,0.962777752,10300,0.903381146,0.992820821,-0.030043069,,
-54.1,0.970252485,10400,0.892054384,0.992830971,-0.022578486,,
-54.1,0.977093047,10500,0.880261,0.992830971,-0.015737924,,
-54.1,0.981619116,10600,0.868404487,0.992830971,-0.011211855,,
-54,0.982285773,10700,0.856178009,0.992841123,-0.01055535,,
-54,0.97962534,10800,0.847919764,0.992841123,-0.013215783,,
-53.9,0.966257548,10900,0.858087669,0.992851028,-0.02659348,,
-53.7,0.959520141,11000,0.891626325,0.992870651,-0.03335051,,
-53.6,0.955288203,11100,0.940238769,0.992880337,-0.037592134,,
-53.5,0.952042656,11200,0.996187807,0.99289005,-0.040847394,,
-53.4,0.960216559,11300,1.028980533,0.992899496,-0.032682937,,
-53.3,0.968316481,11400,1.033428046,0.99290896,-0.024592479,,
-53.2,0.975034884,11500,1.033019019,0.992918345,-0.017883461,,
-53.1,0.978727922,11600,1.03642032,0.992927533,-0.014199611,,
-52.9,0.974463222,11700,1.037052352,0.992945891,-0.018482669,,
-52.8,0.972486272,11800,1.035699633,0.992954899,-0.020468627,,
-52.6,0.964661915,11900,1.032632331,0.992972584,-0.028310669,,
-52.5,0.955764396,12000,1.028039313,0.992981383,-0.037216987,,
-52.2,0.956842336,,,0.993006995,-0.036164659,,
-52.1,0.95554001,,,0.993015456,-0.037475446,,
-51.9,0.959344038,,,0.99303179,-0.033687752,,
-51.8,0.963036792,,,0.993039963,-0.030003171,,
-51.8,0.967336529,,,0.993039963,-0.025703434,,
-51.7,0.961207028,,,0.993048066,-0.031841038,,
-51.6,0.953534747,,,0.993055972,-0.039521225,,
-51.6,0.95144991,,,0.993055972,-0.041606062,,
-51.5,0.950309969,,,0.993063894,-0.042753925,,
-51.5,0.948666618,,,0.993063894,-0.044397276,,
-51.4,0.950889372,,,0.993071566,-0.042182194,,
-51.4,0.948519421,,,0.993071566,-0.044552145,,
-51.3,0.942328938,,,0.99307929,-0.050750352,,
-51.3,0.939637682,,,0.99307929,-0.053441608,,
-51.2,0.935440838,,,0.993086923,-0.057646085,,
-51.2,0.94754661,,,0.993086923,-0.045540313,,
-51.1,0.958372741,,,0.993094474,-0.034721733,,
-51.1,0.968082422,,,0.993094474,-0.025012052,,
-51.1,0.965820426,,,0.993094474,-0.027274048,,
-51,0.962278526,,,0.993101886,-0.03082336,,
-50.9,0.964637682,,,0.993109182,-0.0284715,,
-50.9,0.979178605,,,0.993109182,-0.013930577,,
-50.8,0.991185365,,,0.993116487,-0.001931122,,
-50.8,1.008304849,,,0.993116487,0.015188362,,
-50.7,0.998209678,,,0.993123642,0.005086036,,
-50.6,0.995831259,,,0.993130781,0.002700478,,
-50.6,0.990023847,,,0.993130781,-0.003106934,,
-50.4,0.994091595,,,0.993144662,0.000946933,,
-50.4,1.006614882,,,0.993144662,0.01347022,,
-50.3,1.001954928,,,0.993151456,0.008803472,,
-50.2,0.995368738,,,0.993158194,0.002210544,,
-50.1,0.987325613,,,0.993164887,-0.005839274,,
-50,0.984945513,,,0.993171414,-0.008225901,,
-49.9,0.987910748,,,0.993177901,-0.005267153,,
-49.8,0.996490222,,,0.993184291,0.003305931,,
-49.8,0.99476247,,,0.993184291,0.001578179,,
-49.7,0.990828415,,,0.993190646,-0.002362231,,
-49.6,0.9851179,,,0.993196878,-0.008078978,,
-49.5,0.975526162,,,0.993203045,-0.017676883,,
-49.4,0.977733961,,,0.99320912,-0.015475159,,
-49.5,0.966145074,,,0.993203045,-0.027057971,,
-49.4,0.944326236,,,0.99320912,-0.048882884,,
-49.4,0.929433033,,,0.99320912,-0.063776087,,
-49.2,0.922384114,,,0.99322099,-0.070836876,,
-49.2,0.933733196,,,0.99322099,-0.059487794,,
-49,0.946837427,,,0.993232506,-0.046395079,,
-49,0.953033564,,,0.993232506,-0.040198942,,
-48.9,0.951753733,,,0.993238087,-0.041484354,,
-48.8,0.945910892,,,0.993243711,-0.047332819,,
-48.7,0.945932954,,,0.993249181,-0.047316227,,
-48.6,0.946311455,,,0.993254553,-0.046943098,,
-48.6,0.956554859,,,0.993254553,-0.036699694,,
-48.5,0.964120739,,,0.99325988,-0.029139141,,
-48.4,0.968921589,,,0.993265071,-0.024343482,,
-48.3,0.977175879,,,0.993270141,-0.016094262,,
-48.2,0.979132182,,,0.993275263,-0.014143081,,
-48.1,0.979684051,,,0.993280244,-0.013596193,,
-48,0.981551851,,,0.993285136,-0.011733285,,
-47.9,0.98297746,,,0.99328987,-0.01031241,,
-47.9,0.976139323,,,0.99328987,-0.017150547,,
-47.8,0.979259904,,,0.9932946,-0.014034696,,
-47.7,0.977552825,,,0.993299242,-0.015746417,,
-47.6,0.980787144,,,0.993303825,-0.012516681,,
-47.5,0.98467871,,,0.993308312,-0.008629602,,
-47.4,0.985214786,,,0.993312651,-0.008097865,,
-47.3,0.984278286,,,0.993316999,-0.009038713,,
-47.2,0.986145657,,,0.993321234,-0.007175577,,
-47.2,0.997071233,,,0.993321234,0.003749999,,
-47.1,1.007610551,,,0.993325433,0.014285118,,
-47,1.001655725,,,0.993329416,0.008326309,,
-46.9,0.994704656,,,0.993333389,0.001371267,,
-46.9,0.979999402,,,0.993333389,-0.013333987,,
-46.9,0.972195547,,,0.993333389,-0.021137842,,
-46.8,0.975561076,,,0.993337298,-0.017776222,,
-46.8,0.980434185,,,0.993337298,-0.012903113,,
