filename,position_mm,Section_depth_cm,Strat_depth_cm,sample_surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ac,Th,U,S1,D1,D2,D3,D4,D6,S2,Cra_+_Cra,Cra_+_Fea,Fex1,Fex2,Fex3,W_La_el,W_Lb1_el,W_Lb2_el,W_La_inel,W_Lb1_inel,W_Lb2_inel,Cr_inc,Cr_coh,inc&coh,inc_coh,coh_inc
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000057.spe,426,11.4,11.4,7.17,1,0.018547,-0.012284,0.010935,0.119708,7964,1.45,0,0,381,0,0,0,408,1719,9884,0,5342,129,195,15050,99,0,98,40,8,0,13,101,18,532,58,216,112,0,252,142,0,72,459,123,0,71,0,31,0,293,56,134,37,8,24,728,128,102,12,0,0,271,0,0,268,144,500,171,98,49,0,0,23,2615,8318,10933,0.239184121,3.180879541
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000058.spe,428,11.6,11.6,7.16,1,0.018544,-0.012284,0.0109,0.119708,7994,1.37,0,14,406,0,0,0,429,1626,10236,85,5705,79,0,14829,28,0,101,0,19,0,0,0,88,456,39,183,150,0,92,0,125,153,424,111,0,93,11,65,0,202,9,99,9,42,23,756,76,87,9,7,0,471,35,36,286,95,465,99,87,5,7,25,5,2564,8119,10683,0.240007489,3.166536661
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000059.spe,430,11.8,11.8,7.16,1,0.018546,-0.012284,0.010937,0.119708,8093,1.46,0,0,379,0,0,0,419,1808,9934,149,5427,292,0,15262,79,0,19,95,0,0,53,0,53,507,22,156,112,0,319,143,0,0,233,179,0,0,0,0,0,221,124,103,41,22,0,989,87,0,0,13,0,464,8,61,304,88,500,135,118,64,0,5,31,3262,8194,11456,0.28474162,2.511955855
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000060.spe,432,12,12,7.15,1,0.018546,-0.012284,0.010863,0.119708,8173,1.45,0,24,385,0,0,0,455,1703,10228,134,5613,179,347,15745,68,0,69,149,6,19,6,22,67,434,84,148,135,0,228,136,0,52,362,149,0,0,0,0,49,277,83,77,45,82,9,784,132,18,0,11,0,206,60,0,327,84,541,133,74,37,0,0,71,3229,7901,11130,0.290116801,2.446887581
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000061.spe,434,12.2,12.2,7.15,1,0.018546,-0.012284,0.010828,0.119708,8056,1.48,0,0,346,0,0,0,435,1732,9240,38,5481,168,682,15806,89,0,34,0,7,0,0,0,77,481,64,128,119,0,68,154,51,89,611,64,85,152,0,32,115,324,165,72,38,38,39,424,141,0,17,0,39,30,0,42,260,153,315,168,30,30,0,93,35,2446,8546,10992,0.222525473,3.493867539
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000062.spe,436,12.4,12.4,7.14,1,0.018547,-0.012284,0.010828,0.119708,7905,1.42,0,0,362,0,0,0,448,1814,9057,49,5153,106,76,16264,0,0,122,82,34,0,20,14,27,412,33,172,164,0,428,169,0,63,393,120,0,55,56,125,0,187,20,79,0,18,8,715,72,79,0,27,0,491,42,0,257,85,580,110,39,37,68,0,72,3270,7700,10970,0.298085688,2.354740061
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000063.spe,438,12.6,12.6,7.14,1,0.018546,-0.012284,0.010848,0.119708,7822,1.49,0,13,392,0,0,0,450,1752,8973,143,5107,199,84,15896,63,42,53,112,28,0,0,0,55,454,37,130,149,0,245,148,0,93,373,157,0,47,71,0,28,115,89,79,25,30,37,716,86,0,0,4,0,658,0,8,409,179,505,125,25,21,22,0,49,3451,7801,11252,0.306701031,2.260504202
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000064.spe,440,12.8,12.8,7.14,1,0.018546,-0.012284,0.01084,0.119708,7994,1.51,0,8,337,0,0,0,439,1711,9591,82,5350,89,214,15947,0,40,87,0,0,17,0,0,63,453,63,196,130,0,164,228,11,144,520,39,0,0,112,120,11,113,0,34,55,0,18,616,65,82,22,23,0,356,0,0,177,52,553,127,50,12,32,104,14,2987,8154,11141,0.268108787,2.72982926
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000065.spe,442,13,13,7.14,1,0.018543,-0.012284,0.010939,0.119708,7945,1.42,0,0,356,0,0,0,447,1628,9692,54,5207,219,0,15469,70,0,111,92,76,23,20,0,40,421,0,169,66,0,317,171,0,0,351,199,0,0,17,54,0,224,44,143,38,0,0,764,89,58,0,17,0,600,7,0,290,95,675,120,40,0,22,0,51,3190,7921,11111,0.287102871,2.4830721
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000066.spe,444,13.2,13.2,7.14,1,0.018545,-0.012284,0.010951,0.119708,8179,1.65,0,7,324,0,0,0,429,1747,9575,45,5873,45,423,16652,0,4,30,89,0,0,0,16,13,453,99,147,80,0,141,33,0,112,381,98,0,0,0,105,0,210,57,86,27,19,59,640,159,27,0,0,0,150,8,6,222,20,667,119,91,21,0,0,19,3118,8031,11149,0.279666338,2.575689545
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000067.spe,446,13.4,13.4,7.13,1,0.018543,-0.012284,0.010951,0.119708,7881,1.33,0,9,338,0,4,0,480,1667,9131,36,5262,279,48,16366,15,23,12,62,53,11,0,0,88,327,86,155,115,0,305,122,0,0,116,244,0,0,0,33,69,209,150,55,23,37,0,966,154,0,0,12,0,576,57,82,279,121,490,124,36,0,0,0,71,4322,7193,11515,0.375336518,1.664275798
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000068.spe,448,13.6,13.6,7.14,1,0.018541,-0.012284,0.010935,0.119708,7867,1.48,0,18,371,0,0,0,474,1712,9386,102,5396,136,512,15728,80,20,25,46,0,8,0,0,28,371,44,197,132,0,235,82,10,61,567,22,5,218,146,30,58,96,54,64,36,38,56,520,0,0,0,0,0,0,0,0,202,85,433,70,52,166,48,0,16,2396,8173,10569,0.226700729,3.411101836
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000069.spe,450,13.8,13.8,7.13,1,0.01854,-0.012284,0.01091,0.119708,7866,1.76,0,0,356,0,0,0,437,1749,9271,6,5359,256,0,16334,37,46,71,154,28,6,21,34,29,437,85,180,172,0,259,86,0,0,220,164,0,63,52,82,50,183,104,91,20,18,14,972,108,0,0,0,0,536,0,0,353,74,580,139,65,26,39,0,89,3552,7523,11075,0.320722348,2.117961712
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000070.spe,452,14,14,7.14,1,0.018547,-0.012284,0.01091,0.119708,7793,1.27,0,0,377,0,0,0,428,1807,8871,19,5421,108,47,15271,93,0,84,116,0,0,0,76,0,432,60,153,181,0,82,113,61,91,393,125,0,86,75,78,43,261,25,125,75,0,42,768,46,83,0,0,114,298,0,0,234,127,474,120,55,71,8,0,50,2271,8648,10919,0.207986079,3.808014091
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000071.spe,454,14.2,14.2,7.14,1,0.018545,-0.012284,0.010804,0.119708,7687,1.57,0,8,334,0,0,0,424,1759,8998,18,5385,16,158,15136,0,0,74,0,0,16,6,0,130,386,10,172,179,0,59,40,68,155,261,139,41,0,25,133,0,194,0,94,19,0,7,724,109,98,47,0,0,221,18,44,79,47,623,127,57,82,26,74,18,3302,7697,10999,0.30020911,2.331011508
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000072.spe,456,14.4,14.4,7.15,1,0.018545,-0.012284,0.010775,0.119708,7849,1.63,0,18,378,0,0,0,444,1715,9376,109,5713,48,489,14932,0,0,100,0,6,0,0,0,72,436,39,201,123,0,0,142,146,130,436,61,0,176,0,128,0,316,0,106,9,6,0,445,165,137,0,0,259,167,16,0,171,111,553,90,47,31,11,39,0,2394,8261,10655,0.224683247,3.450710109
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000073.spe,458,14.6,14.6,7.15,1,0.018542,-0.012284,0.01074,0.119708,7861,1.39,0,7,432,0,0,0,425,1890,9343,71,5540,58,501,14827,115,16,93,51,0,19,0,0,67,428,60,207,124,0,88,105,92,140,456,131,0,157,84,40,10,196,30,112,0,21,0,520,56,87,0,0,0,164,6,28,274,143,452,140,68,107,9,18,48,2871,8202,11073,0.259279328,2.856844305
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000074.spe,460,14.8,14.8,7.16,1,0.018541,-0.012284,0.01076,0.119708,7825,1.51,0,10,459,0,0,0,426,1689,9929,87,5517,337,0,14957,81,0,36,96,0,0,0,0,47,462,0,120,103,0,198,152,0,0,287,182,0,0,17,11,45,246,47,78,39,0,21,1043,89,23,0,0,0,702,0,37,304,136,469,117,50,84,0,0,54,3303,7915,11218,0.294437511,2.396306388
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000075.spe,462,15,15,7.17,1,0.018543,-0.012284,0.010792,0.119708,7854,1.57,0,11,411,0,0,0,406,1707,10152,0,5592,180,443,15102,191,0,98,54,0,0,0,0,12,463,91,190,129,0,225,114,16,116,438,153,180,185,206,16,7,250,110,178,0,0,34,652,30,68,0,0,0,26,0,0,262,135,606,155,97,39,60,41,0,2631,8175,10806,0.243475847,3.10718358
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000076.spe,464,15.2,15.2,7.18,1,0.018547,-0.012284,0.010925,0.119708,7763,1.45,0,0,383,0,0,0,406,1839,9146,0,5486,164,590,15043,157,35,22,122,22,10,0,0,75,570,12,147,38,0,31,166,71,70,473,125,82,84,127,30,59,259,157,147,18,0,36,597,85,0,0,0,0,0,15,0,290,139,513,197,93,55,43,12,58,2576,8638,11214,0.229712859,3.35326087
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000077.spe,466,15.4,15.4,7.2,1,0.018547,-0.012284,0.010925,0.119708,8086,1.45,0,15,365,0,0,0,382,1918,9427,98,5598,404,290,15755,98,39,55,0,0,0,0,0,0,561,78,166,122,0,182,115,0,0,357,167,0,37,22,8,86,224,73,56,18,54,32,758,66,0,20,0,0,118,0,0,340,107,395,110,106,39,0,40,47,3359,8805,12164,0.276142716,2.621315868
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000078.spe,468,15.6,15.6,7.21,1,0.018546,-0.012284,0.010925,0.119708,7897,1.49,0,13,406,0,0,0,445,1817,9712,34,5674,201,280,15375,10,35,104,41,0,0,0,11,16,469,42,147,99,0,35,81,81,0,244,202,11,87,17,116,66,173,23,80,0,0,0,790,148,47,0,0,0,373,0,0,176,101,406,132,49,83,10,0,47,3475,7931,11406,0.304664212,2.282302158
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000079.spe,470,15.8,15.8,7.22,1,0.018553,-0.012284,0.010925,0.119708,7769,2.42,0,0,360,0,0,0,368,1636,9911,0,4546,222,0,14814,0,0,50,49,43,0,0,12,58,493,25,69,102,0,854,136,0,33,171,163,0,190,0,116,61,232,54,51,39,10,9,1070,48,0,0,13,17,891,32,0,154,74,385,85,41,10,12,0,19,4775,6835,11610,0.411283376,1.431413613
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000080.spe,472,16,16,7.24,1,0.018555,-0.012284,0.010925,0.119708,7010,1.86,0,5,320,0,0,0,397,1436,9433,130,4823,206,8,12228,0,0,30,7,0,0,0,11,46,459,15,169,91,0,137,72,0,0,252,99,0,0,0,42,27,201,5,13,32,18,39,609,49,0,0,0,389,364,0,0,173,69,358,20,22,15,0,0,0,2588,7855,10443,0.247821507,3.035162287
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000081.spe,474,16.2,16.2,7.27,1,0.018548,-0.012284,0.010896,0.119708,7230,1.3,0,0,305,0,0,0,386,1424,10183,82,4811,232,0,13201,27,8,57,0,0,19,6,6,0,572,64,85,31,0,300,124,0,0,217,129,5,0,0,17,0,152,44,68,58,9,54,957,78,42,11,0,70,534,0,37,187,43,518,86,53,54,22,72,0,3318,7203,10521,0.315369261,2.170886076
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000082.spe,476,16.4,16.4,7.3,1,0.018549,-0.012284,0.01092,0.119708,7514,1.6,9,10,371,0,0,0,362,1463,11156,103,5539,111,302,13522,0,0,58,0,0,9,0,7,82,515,6,131,99,0,0,118,182,64,360,89,0,0,0,102,37,296,29,45,0,38,13,574,118,27,14,0,10,234,0,18,134,0,522,76,86,122,0,20,0,2343,7889,10232,0.22898749,3.36705079
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000083.spe,478,16.6,16.6,7.34,1,0.01855,-0.012284,0.01092,0.119708,7757,1.76,0,10,420,0,0,0,350,1548,11520,216,5835,118,508,13856,0,0,14,13,5,0,12,14,63,525,54,162,102,0,74,136,61,91,386,86,0,0,0,84,0,247,50,17,13,0,0,382,92,0,0,0,113,76,21,53,132,0,530,109,56,51,0,33,37,2336,7748,10084,0.231654106,3.316780822
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000084.spe,480,16.8,16.8,7.37,1,0.018542,-0.012284,0.01092,0.119708,7807,1.46,0,0,417,0,0,0,411,1380,12000,117,5666,290,309,14246,0,0,31,34,0,28,47,0,19,486,25,99,47,0,286,98,0,8,417,65,0,66,0,64,15,223,79,51,51,15,43,485,142,11,14,0,0,474,0,8,268,47,472,89,63,67,18,0,63,2940,7189,10129,0.290255701,2.445238095
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000085.spe,482,17,17,7.39,1,0.018545,-0.012284,0.01092,0.119708,8216,1.49,0,0,418,0,0,0,405,1409,12413,202,6136,325,296,15456,90,35,87,0,0,0,31,0,7,616,38,184,135,0,293,99,0,0,339,143,0,74,38,23,57,172,83,69,34,18,34,576,57,9,0,36,0,398,0,0,300,116,442,134,129,41,10,79,18,3220,7417,10637,0.302716931,2.303416149
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000086.spe,484,17.2,17.2,7.41,1,0.018544,-0.012284,0.010885,0.119708,8176,1.55,0,16,378,0,0,0,376,1379,12856,111,5770,253,563,15266,21,33,40,83,0,0,0,20,0,594,13,103,165,0,190,204,0,0,277,193,37,0,47,90,36,167,43,58,0,0,0,575,111,29,0,0,0,40,13,0,159,9,644,143,89,32,40,0,32,3264,7777,11041,0.295625396,2.382659314
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000087.spe,486,17.4,17.4,7.41,1,0.018543,-0.012284,0.010904,0.119708,8054,1.53,0,16,332,0,4,0,386,1382,12116,199,5307,116,0,14907,0,8,47,0,7,16,0,19,19,648,41,152,59,0,352,140,0,27,214,149,0,0,0,40,56,121,9,4,0,30,64,924,102,5,52,0,0,382,27,0,173,22,565,84,77,38,0,39,43,3356,8091,11447,0.293177252,2.41090584
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000088.spe,488,17.6,17.6,7.4,1,0.018542,-0.012284,0.010904,0.119708,8269,1.26,0,0,444,0,0,0,413,1368,13047,115,5646,189,788,15047,31,104,79,84,76,0,8,59,61,619,47,135,92,0,107,78,22,95,524,103,42,46,180,63,21,11,28,50,50,30,0,407,84,31,0,42,0,114,0,0,188,30,546,163,36,0,57,0,51,2641,8550,11191,0.235993209,3.237410072
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000089.spe,490,17.8,17.8,7.42,1,0.018538,-0.012284,0.010919,0.119708,7762,1.79,8,14,344,0,0,0,425,1342,12006,100,5221,201,220,13947,40,0,90,128,11,0,0,17,37,579,81,158,83,0,224,116,0,85,489,163,0,114,0,62,0,239,51,146,20,31,47,690,102,64,0,0,0,317,32,0,243,96,513,107,74,21,13,0,62,3014,7438,10452,0.288365863,2.467816855
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000090.spe,492,18,18,7.43,1,0.018538,-0.012284,0.010919,0.119708,7762,1.48,0,0,380,0,0,0,384,1370,11833,90,5191,202,619,14210,64,10,31,18,0,22,0,5,0,555,40,182,110,0,393,105,0,0,261,106,0,107,0,0,46,125,87,65,10,4,28,573,60,0,17,34,0,21,11,0,277,92,426,123,96,19,27,21,47,3634,7227,10861,0.334591658,1.988717666
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000091.spe,494,18.2,18.2,7.45,1,0.018537,-0.012284,0.010938,0.119708,7994,1.59,6,9,395,0,0,0,370,1538,12023,110,5374,402,145,14942,26,56,6,62,26,13,15,0,65,594,25,148,149,0,305,89,0,0,310,62,0,36,0,0,15,123,87,18,6,26,0,695,59,0,0,32,0,327,44,92,286,75,441,93,107,14,18,5,18,3326,7835,11161,0.298001971,2.355682502
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000092.spe,496,18.4,18.4,7.47,1,0.018536,-0.012284,0.010953,0.119708,7898,1.66,0,14,340,0,0,0,381,1399,11549,9,5655,79,177,14885,77,9,84,0,5,0,0,0,47,574,17,191,154,0,66,57,89,195,403,107,0,189,16,102,96,241,56,44,0,30,8,678,90,26,29,0,0,436,0,39,220,102,370,115,79,51,0,34,12,3136,7358,10494,0.298837431,2.34630102
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000093.spe,498,18.6,18.6,7.48,1,0.018535,-0.012284,0.010968,0.119708,8150,1.83,0,0,426,0,0,0,431,1609,11535,71,5827,262,1400,15801,119,114,117,40,0,5,0,44,62,603,64,215,89,0,319,129,0,46,565,156,139,63,251,76,83,71,81,73,0,27,4,98,55,11,23,0,0,0,0,0,233,52,488,158,82,85,87,38,43,2660,8282,10942,0.243099982,3.113533835
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000094.spe,500,18.8,18.8,7.49,1,0.018543,-0.012284,0.010914,0.119708,8148,1.44,0,0,369,0,0,0,418,1482,12025,110,6157,262,748,15192,110,7,82,52,34,0,0,0,36,590,108,113,106,0,70,125,39,0,338,194,122,0,46,10,51,243,101,86,33,55,47,519,136,36,0,0,0,0,0,28,266,64,659,171,83,52,0,9,24,2944,8373,11317,0.260139613,2.844089674
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000095.spe,502,19,19,7.5,1,0.018541,-0.012284,0.010895,0.119708,8077,1.85,5,14,381,0,0,0,317,1412,12205,116,5987,252,0,14774,34,0,34,0,0,0,0,13,12,536,27,119,124,0,277,85,0,0,292,74,0,12,41,24,54,152,73,26,0,8,0,751,34,0,23,0,0,594,0,0,230,97,380,62,99,96,0,62,23,3039,7805,10844,0.280247141,2.568279039
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000096.spe,504,19.2,19.2,7.5,1,0.018547,-0.012284,0.010861,0.119708,7995,1.43,8,12,336,0,0,0,366,1429,11331,155,5749,194,0,14656,54,0,63,34,0,0,7,0,14,544,89,184,107,0,207,202,0,70,236,222,0,0,67,43,0,184,54,152,26,0,30,863,95,60,0,0,5,677,6,17,191,114,640,110,75,48,25,0,42,3357,7832,11189,0.300026812,2.333035448
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000097.spe,506,19.4,19.4,7.51,1,0.018546,-0.012284,0.010881,0.119708,8160,1.57,9,0,245,0,0,7,386,1375,11269,142,5615,87,1028,14688,168,49,84,76,0,0,0,0,16,715,44,233,100,0,144,98,5,222,703,91,124,53,234,28,65,211,57,115,0,8,67,299,35,40,0,0,0,0,0,19,248,141,501,135,70,53,35,0,27,2244,9641,11885,0.188809424,4.296345811
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000098.spe,508,19.6,19.6,7.53,1,0.018549,-0.012284,0.010918,0.119708,8324,1.83,0,0,294,0,0,0,313,1467,11651,167,5572,48,492,15061,0,0,107,107,0,29,0,0,51,627,67,139,143,0,357,102,0,276,604,0,0,164,36,107,0,168,0,119,37,32,42,305,52,108,0,28,0,437,12,48,222,78,542,115,35,70,44,0,108,2798,8795,11593,0.24135254,3.143316655
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000099.spe,510,19.8,19.8,7.55,1,0.018546,-0.012284,0.010821,0.119708,8432,2.01,0,0,367,0,0,0,336,1588,12243,172,5432,87,1174,15318,0,0,39,17,0,0,0,0,7,629,99,167,136,0,430,187,0,197,683,0,0,0,0,75,0,268,37,55,24,0,58,0,159,38,16,0,0,0,0,61,180,0,576,88,66,54,0,22,4,2526,8937,11463,0.220361162,3.538004751
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000100.spe,512,20,20,7.58,1,0.018541,-0.012284,0.01063,0.119708,8290,1.53,0,16,393,0,0,0,352,1648,11989,162,5483,155,298,14854,0,0,8,18,0,0,0,0,49,553,26,135,156,0,268,179,0,68,301,145,0,123,0,11,61,204,106,21,52,18,15,659,121,0,0,0,0,351,6,85,290,93,343,81,87,45,0,52,0,3719,7858,11577,0.32124039,2.112933584
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000101.spe,514,20.2,20.2,7.6,1,0.018544,-0.012284,0.010595,0.119708,7803,2.24,0,0,347,0,0,0,312,1364,11342,70,4793,190,105,13902,0,0,32,148,0,0,0,0,74,648,101,243,190,0,301,130,0,33,133,295,0,0,0,176,0,320,78,114,0,12,13,876,226,20,0,0,152,584,0,74,118,73,627,122,75,147,0,0,0,3813,7319,11132,0.342526051,1.919485969
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000102.spe,516,20.4,20.4,7.63,1,0.018542,-0.012284,0.010595,0.119708,7732,1.86,5,10,353,0,0,0,326,1340,11253,141,4579,239,493,13717,0,17,50,0,0,0,0,0,17,571,82,161,154,0,478,166,0,0,355,115,0,48,0,56,0,109,0,25,4,11,25,457,71,89,5,0,0,101,0,33,138,31,559,42,31,17,45,49,19,3164,7832,10996,0.287740997,2.475347661
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000103.spe,518,20.6,20.6,7.68,1,0.018538,-0.012284,0.010528,0.119708,7865,2.4,13,14,335,0,0,0,372,1460,10692,144,5355,149,0,14202,0,0,54,35,30,0,0,0,78,559,51,130,60,0,195,72,0,79,317,97,0,32,0,98,0,238,0,45,57,0,13,928,108,105,0,0,0,887,0,11,251,50,557,25,0,0,0,0,26,3576,7684,11260,0.317584369,2.148769575
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000104.spe,520,20.8,20.8,7.72,1,0.018535,-0.012284,0.010237,0.119708,7678,2.12,9,7,336,0,0,0,363,1488,11037,111,4589,194,209,13385,0,0,55,48,0,0,14,0,0,551,21,137,120,0,452,118,0,30,308,66,0,234,0,139,0,215,0,27,14,0,24,529,14,41,0,11,0,415,0,59,129,0,347,33,52,8,0,0,0,3609,7281,10890,0.331404959,2.017456359
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000105.spe,522,21,21,7.76,1,0.018534,-0.012284,0.010237,0.119708,7398,1.71,9,0,351,0,0,0,378,1384,10939,108,4617,182,198,12822,60,0,86,79,25,0,44,0,70,542,54,116,92,0,453,113,0,7,272,113,0,314,15,45,20,157,0,44,47,57,40,733,0,82,0,0,0,358,10,0,219,93,282,66,55,7,15,14,0,3672,6961,10633,0.345339979,1.895697168
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000106.spe,524,21.2,21.2,7.8,1,0.018528,-0.012284,0.010154,0.119708,7576,3.03,0,0,333,0,0,0,427,1456,10890,139,4812,260,134,13879,0,29,74,0,0,0,0,0,0,474,37,142,65,0,610,46,0,13,355,41,0,311,0,187,0,10,0,10,0,18,5,649,55,78,7,0,0,473,39,0,78,0,442,56,56,54,70,19,0,3989,7078,11067,0.360440951,1.774379544
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000107.spe,526,21.4,21.4,7.82,1,0.018527,-0.012284,0.010154,0.119708,8415,2.07,0,14,391,0,0,0,439,1776,11769,105,5120,262,0,16223,73,106,81,0,0,0,16,0,112,616,111,177,116,0,455,112,0,0,235,216,0,380,177,60,149,105,43,0,23,61,20,989,0,29,65,0,0,920,0,58,375,145,253,118,83,63,26,86,33,4448,8011,12459,0.357010996,1.801034173
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000108.spe,528,21.6,21.6,7.85,1,0.018527,-0.012284,0.010154,0.119708,8021,2.17,0,5,372,0,0,0,426,1656,10783,98,4788,248,309,15566,70,92,106,123,0,0,19,9,59,606,12,124,95,0,561,80,0,0,375,109,0,423,148,15,54,30,0,17,11,22,20,758,0,55,0,0,0,540,0,71,350,213,173,88,64,58,53,0,55,4430,7315,11745,0.377181779,1.651241535
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000109.spe,530,21.8,21.8,7.85,1,0.018536,-0.012284,0.010154,0.119708,8259,1.67,9,21,296,0,0,0,436,1494,10890,43,4772,96,0,16024,125,114,122,32,7,0,17,12,0,690,45,108,64,0,482,83,0,132,372,174,0,424,280,36,61,113,51,88,10,0,12,1146,0,67,0,0,0,681,15,0,326,181,398,137,65,38,84,52,32,4872,7446,12318,0.395518753,1.528325123
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000110.spe,532,22,22,7.82,1,0.01854,-0.012284,0.010136,0.119708,8644,1.48,6,23,418,0,0,0,433,1801,11443,24,5560,104,47,16787,0,0,80,72,0,0,0,44,12,606,0,190,112,0,199,155,0,68,429,164,0,346,0,130,37,288,92,98,0,0,9,800,124,31,0,0,88,448,28,0,203,113,363,121,79,80,0,0,50,3659,8214,11873,0.308178219,2.244875649
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000111.spe,534,22.2,22.2,7.8,1,0.018538,-0.012284,0.010166,0.119708,8438,1.93,0,5,449,0,0,0,442,1652,10830,84,5065,190,0,16143,175,106,81,116,0,0,0,0,41,637,0,212,93,0,433,137,0,74,298,272,41,260,245,12,50,134,99,119,0,17,24,1012,0,15,0,0,0,550,0,0,366,184,471,144,143,121,30,0,0,3989,7891,11880,0.335774411,1.978190023
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000112.spe,536,22.4,22.4,7.76,1,0.018544,-0.012284,0.010252,0.119708,8334,1.7,0,0,349,0,0,0,391,1601,11252,9,5327,266,462,15243,53,0,84,57,42,0,0,34,96,561,19,179,96,0,127,185,0,0,357,242,0,114,6,65,62,214,74,64,8,14,0,702,98,24,7,0,343,176,0,0,284,62,496,138,76,0,9,36,14,3669,8337,12006,0.305597201,2.272281276
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000113.spe,538,22.6,22.6,7.74,1,0.018543,-0.012284,0.010271,0.119708,8005,1.89,0,0,401,0,0,0,442,1562,10999,57,4775,266,749,14784,91,0,31,25,66,0,0,0,32,484,49,196,78,0,626,137,0,0,515,143,77,227,129,49,58,198,96,78,19,0,19,491,42,0,0,0,0,0,0,30,205,88,377,152,49,0,36,5,50,3659,7767,11426,0.320234553,2.122711123
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000114.spe,540,22.8,22.8,7.73,1,0.018548,-0.012284,0.01025,0.119708,7547,1.31,0,0,340,0,0,0,449,1468,9984,95,5033,103,36,13019,0,0,42,0,0,0,0,0,64,545,73,160,97,0,39,202,77,41,375,141,0,68,64,118,48,177,54,55,37,29,19,850,57,0,6,0,400,393,16,0,86,85,326,128,44,61,27,87,50,3071,7905,10976,0.279792274,2.574080104
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000115.spe,542,23,23,7.73,1,0.018549,-0.012284,0.010309,0.119708,7986,1.28,0,12,385,0,0,0,482,1589,10913,91,4946,78,0,13216,50,0,79,0,54,0,16,7,22,513,70,161,144,0,91,103,73,79,123,249,0,0,0,39,47,257,29,95,18,19,49,975,147,81,16,0,372,227,0,0,250,103,539,142,65,5,0,93,23,3420,9881,13301,0.257123525,2.889181287
