id,ages,ageSds,position,thickness,calCurves,LabID,altitude
PC_Pingfo-II_river section_5,7780,30,1.85,1,marine20666,Beta - 431964,2.65
PC_Pingfo-II_river section_6,8170,85,2.05,1,marine20666,ETH-67270,2.45
PC_Pingfo-II_river section_7,8115,80,2.1,1,marine20666,ETH-67272,2.4
PC_Pingfo-II_river section_8,7920,20,2.56,1,marine20666,ETH-71994,1.94
PC_Pingfo-II_river section_9,7705,80,2.7,1,marine20666,ETH-67268,1.8
PC_Pingfo-II_river section_10,8005,85,2.95,1,marine20666,ETH-67273,1.55
PC_Pingfo-II_river section_11,7950,70,3.05,1,marine20666,ETH-67275,1.45
PC_Pingfo-II_river section_12,8020,90,3.05,1,marine20666,ETH-67274,1.45
PC_Pingfo-II_river section_13,8145,70,3.1,1,marine20666,ETH-67276,1.4
PC_Pingfo-II_river section_14,8015,20,3.11,1,marine20666,ETH-72000,1.39
PC_Pingfo-II_river section_15,8300,75,3.3,1,marine20666,ETH-67277,1.2
PC_Pingfo-II_river section_16,8005,20,3.41,1,marine20666,ETH-71996,1.09
PC_Pingfo-II_river section_17,7995,20,3.46,1,marine20666,ETH-71997,1.04
PC_Pingfo-II_river section_18,8100,40,3.5,1,marine20666,Beta - 441404,1
PC_Pingfo-II_river section_19,8090,75,3.5,1,marine20666,ETH-67278,1
PC_Pingfo-II_river section_20,7995,65,4,1,marine20666,ETH-72001,0.5
PC_Pingfo-II_river section_21,8195,25,4.47,1,marine20666,ETH-71995,0.03
PC_Pingfo-II_river section_22,7831,39,2.79,1,marine20666,SUERC-14413,1.71
PC_Pingfo-II_river section_23,7883,39,2.79,1,marine20666,SUERC-14414,1.71
PC_Pingfo-II_river section_24,7853,38,2.79,1,marine20666,SUERC-14416,1.71
PC_Pingfo-II_river section_25,7842,37,2.79,1,marine20666,SUERC-14417,1.71
PC_Inland Moraine_1,1880,30,2.2,1,shcal20,Beta-441400,97.8
PC_Inland Moraine_2,1850,30,2.2,1,shcal20,Beta-441401,97.8
