Continent,Country,Region,Location,SiteName,Feature,FeatureID,Type,Interpretation,Latitude,Longitude,Altitude_masl,MapID,Section_depth_m,Core_Depth_cm_as_published,Core_Depth_cm_min,Core_Depth_cm_max,Core_Depth_cm_mid,Material_dated__and_stratigraphic_position,Reference,LabID,ages,ageSds,Dating_method,delta13C_ppm,calCurves,DR,DRerr,Oxcal_v4.4_2020_cal_BP,from,to,%,from,to,%,μ,σ,m,calCurves13,DR13,DRerr13,Oxcal_v4.4_SHCal13_calBP_Marine13_DR791±121,from,to,%,from,to,%,μ,σ,m,Notes
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_09B_2015,Advance,Shell in till; max. glacial readvance age,-62.1807,-58.8613,27,ART09,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69692,5895,70,14C,3.4,marine20666,666,76,R_Date ETH-69692,5550,5280,68.3,5660,5080,95.4,5390,140,5400,marine13791,791,121,R_Date ETH-69692,5596,5295,68.3,5754,5046,95.4,5440,166,5450,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_10A_2015,Advance,Shell in till; max. glacial readvance age,-62.1803,-58.8597,28,ART10,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69693,6235,70,14C,0.9,marine20666,666,76,R_Date ETH-69693,5890,5620,68.3,6020,5480,95.4,5760,130,5760,marine13791,791,121,R_Date ETH-69693,5959,5649,68.3,6170,5551,95.4,5825,156,5820,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_10B_2015,Advance,Shell in till; max. glacial readvance age,-62.1803,-58.8597,28,ART10,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69694,5925,70,14C,-1.2,marine20666,666,76,R_Date ETH-69694,5560,5300,68.3,5700,5130,95.4,5420,130,5430,marine13791,791,121,R_Date ETH-69694,5619,5313,68.3,5838,5131,95.4,5476,164,5483,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_10C_2015,Advance,Shell in till; max. glacial readvance age,-62.1803,-58.8597,28,ART10,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69695,6520,75,14C,-2.8,marine20666,666,76,R_Date ETH-69695,6200,5930,68.3,6330,5780,95.4,6070,130,6070,marine13791,791,121,R_Date ETH-69695,6280,5975,68.3,6444,5819,95.4,6125,154,6129,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN1_Inner,Advance,Reworked shells  from previous max. glacial readvance age: shell in fine silty/sand thrust-up marine sediments,-62.1732,-58.9164,42,46,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69684,44300,4430,14C,-1.4,marine20666,666,76,R_Date ETH-69684,45510,45040,68.3,45730,44830,95.4,45280,230,45280,marine13791,791,121,R_Date ETH-69684,49429,44570,68.3,NA,42527,95.4,46277,2202,46366,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN2_Inner,Advance,Reworked shells  from previous max. glacial readvance age: shell in fine silty/sand thrust-up marine sediments,-62.1732,-58.9164,42,46,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69685,43700,4370,14C,2.8,marine20666,666,76,R_Date ETH-69685,44970,44580,68.3,45210,44430,95.4,44800,200,44790,marine13791,791,121,R_Date ETH-69685,49030,43897,68.3,NA,42139,95.4,46021,2309,46080,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN3_Inner,Advance,Reworked shells  from previous max. glacial readvance age: shell in fine silty/sand thrust-up marine sediments,-62.1732,-58.9164,42,46,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69686,48500,4850,14C,2.8,marine20666,666,76,R_Date ETH-69686,50090,49170,68.3,50800,48710,95.4,49720,560,49690,marine13791,791,121,R_Date ETH-69686,NA,46941,68.3,NA,49233,95.4,NA,NA,NA,Not included in density analysis - outside of Marine20666 range of 936-51121
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN4_Inner,Advance,Reworked shells  from previous max. glacial readvance age: shell in fine silty/sand thrust-up marine sediments,-62.1732,-58.9164,42,46,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69687,51700,5170,14C,NA,marine20666,666,76,R_Date ETH-69687,51900,51490,68.3,52120,51300,95.4,51700,200,51700,marine13791,791,121,R_Date ETH-69687,NA,48922,68.3,NA,49857,95.4,NA,NA,NA,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Inland_Moraine,Moraine,Inland_section1,Advance,Maximum readvance age - moss reworked into moraine  ,-62.2473,-58.6466,97.8,NA,2.2,NA,NA,NA,NA,Moss in moraine sediments,Heredia Barion et al. submitted b,Beta-441400,1880,30,14C,-20.9,shcal20,NA,NA,R_Date Beta-441400,1821,1728,68.3,1866,1702,95.4,1773,42,1776,shcal13,NA,NA,R_Date Beta-441400,1821,1732,68.3,1865,1705,95.4,1775,39,1777,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Inland_Moraine,Moraine,Inland_section2,Advance,Maximum readvance age - moss reworked into moraine  ,-62.2473,-58.6466,97.8,NA,2.2,NA,NA,NA,NA,Moss in moraine sediments,Heredia Barion et al. submitted b,Beta-441401,1850,30,14C,-22.1,shcal20,NA,NA,R_Date Beta-441401,1812,1701,68.3,1828,1616,95.4,1737,53,1735,shcal13,NA,NA,R_Date Beta-441401,1808,1705,68.3,1827,1619,95.4,1743,51,1740,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,PC_S&J_section,S&J_section1.1,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6728,0.5,41,4,NA,NA,NA,NA,Seaweed in raised marine sediments overlain by till (Bed C),Sugden and John 1973 ,Birm-23,7683,86,14C,NA,marine20666,666,76,R_Date Birm-23,7455,7202,68.3,7572,7055,95.4,7321,128,7326,marine13791,791,121,R_Date Birm-23,7536,7268,68.3,7672,7104,95.4,7391,139,7397,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,PC_S&J_section,S&J_section1.2,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6728,1,41,3.5,NA,NA,NA,NA,Laternula shells in raised marine sediments overlain by till (Beds A & B),Sugden and John 1973 ,Birm-48a,9670,230,14C,NA,marine20666,666,76,R_Date Birm-48a,9895,9241,68.3,10215,8954,95.4,9569,323,9559,marine13791,791,121,R_Date Birm-48a,9941,9258,68.3,10252,8950,95.4,9604,335,9596,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.1,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,3,41,1.5,NA,NA,NA,NA,Bone (penguin),Heredia Barion et al. submitted b,Beta-441402,7860,40,14C,-21.6,marine20666,666,76,R_Date Beta-441402,7591,7397,68.3,7679,7281,95.4,7487,99,7489,marine13791,791,121,R_Date Beta-441402,7659,7434,68.3,7800,7317,95.4,7557,117,7554,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.2,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,2.95,41,1.55,NA,NA,NA,NA,Bone (penguin),Heredia Barion et al. submitted b,Beta-441403,7890,40,14C,-22.2,marine20666,666,76,R_Date Beta-441403,7610,7419,68.3,7713,7310,95.4,7515,99,7515,marine13791,791,121,R_Date Beta-441403,7686,7455,68.3,7837,7355,95.4,7585,118,7582,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.3,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,2.9,41,1.6,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-67269,8010,85,14C,-1.6,marine20666,666,76,R_Date ETH-67269,7755,7501,68.3,7905,7400,95.4,7633,125,7631,marine13791,791,121,R_Date ETH-67269,7835,7559,68.3,7961,7426,95.4,7699,138,7695,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.4,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,2.8,41,1.7,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-67267,7805,85,14C,0,marine20666,666,76,R_Date ETH-67267,7561,7321,68.3,7674,7181,95.4,7437,122,7439,marine13791,791,121,R_Date ETH-67267,7648,7384,68.3,7792,7238,95.4,7507,136,7507,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.5,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,2.65,41,1.85,NA,NA,NA,NA,Bone (penguin),Heredia Barion et al. submitted b,Beta - 431964,7780,30,14C,-23.1,marine20666,666,76,R_Date Beta - 431964,7512,7316,68.3,7606,7221,95.4,7414,97,7416,marine13791,791,121,R_Date Beta - 431964,7600,7380,68.3,7702,7249,95.4,7482,112,7485,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.6,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,2.45,41,2.05,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-67270,8170,85,14C,-1.3,marine20666,666,76,R_Date ETH-67270,7916,7661,68.3,8029,7521,95.4,7783,127,7782,marine13791,791,121,R_Date ETH-67270,7972,7681,68.3,8145,7568,95.4,7843,146,7840,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.7,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,2.4,41,2.1,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-67272,8115,80,14C,-13.4,marine20666,666,76,R_Date ETH-67272,7851,7603,68.3,7972,7488,95.4,7732,123,7731,marine13791,791,121,R_Date ETH-67272,7927,7653,68.3,8079,7512,95.4,7791,139,7789,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.8,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1.94,41,2.56,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-71994,7920,20,14C,2,marine20666,666,76,R_Date ETH-71994,7634,7446,68.3,7735,7347,95.4,7542,94,7542,marine13791,791,121,R_Date ETH-71994,7718,7486,68.3,7855,7399,95.4,7612,115,7609,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.9,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1.8,41,2.7,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-67268,7705,80,14C,-13.6,marine20666,666,76,R_Date ETH-67268,7474,7233,68.3,7583,7088,95.4,7343,123,7347,marine13791,791,121,R_Date ETH-67268,7553,7293,68.3,7681,7142,95.4,7413,134,7417,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.10,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1.55,41,2.95,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-67273,8005,85,14C,-4.4,marine20666,666,76,R_Date ETH-67273,7750,7497,68.3,7897,7395,95.4,7628,125,7626,marine13791,791,121,R_Date ETH-67273,7833,7555,68.3,7957,7424,95.4,7694,138,7691,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.11,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1.45,41,3.05,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-67275,7950,70,14C,-12.1,marine20666,666,76,R_Date ETH-67275,7680,7451,68.3,7813,7342,95.4,7574,115,7572,marine13791,791,121,R_Date ETH-67275,7770,7505,68.3,7917,7406,95.4,7643,130,7639,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.12,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1.45,41,3.05,NA,NA,NA,NA,Seaweed,Heredia Barion et al. submitted b,ETH-67274,8020,90,14C,-2.3,marine20666,666,76,R_Date ETH-67274,7768,7509,68.3,7915,7405,95.4,7643,128,7641,marine13791,791,121,R_Date ETH-67274,7845,7562,68.3,7976,7426,95.4,7708,141,7705,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.13,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1.4,41,3.1,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-67276,8145,70,14C,-10.5,marine20666,666,76,R_Date ETH-67276,7877,7638,68.3,7992,7529,95.4,7759,117,7758,marine13791,791,121,R_Date ETH-67276,7943,7674,68.3,8106,7559,95.4,7817,136,7816,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.14,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1.39,41,3.11,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-72000,8015,20,14C,1.3,marine20666,666,76,R_Date ETH-72000,7733,7535,68.3,7830,7436,95.4,7633,98,7632,marine13791,791,121,R_Date ETH-72000,7812,7577,68.3,7929,7474,95.4,7700,116,7697,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.15,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1.2,41,3.3,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-67277,8300,75,14C,-1,marine20666,666,76,R_Date ETH-67277,8031,7773,68.3,8171,7661,95.4,7912,129,7911,marine13791,791,121,R_Date ETH-67277,8133,7832,68.3,8274,7680,95.4,7973,148,7973,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.16,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1.09,41,3.41,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-71996,8005,20,14C,2.9,marine20666,666,76,R_Date ETH-71996,7715,7519,68.3,7819,7430,95.4,7624,98,7622,marine13791,791,121,R_Date ETH-71996,7802,7569,68.3,7923,7468,95.4,7691,116,7688,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.17,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1.04,41,3.46,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-71997,7995,20,14C,0.8,marine20666,666,76,R_Date ETH-71997,7703,7509,68.3,7811,7423,95.4,7614,97,7613,marine13791,791,121,R_Date ETH-71997,7797,7561,68.3,7917,7461,95.4,7682,116,7678,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.18,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1,41,3.5,NA,NA,NA,NA,Bone (indeterminate),Heredia Barion et al. submitted b,Beta - 441404,8100,40,14C,-23.8,marine20666,666,76,R_Date Beta - 441404,7819,7608,68.3,7925,7513,95.4,7716,104,7715,marine13791,791,121,R_Date Beta - 441404,7904,7659,68.3,8015,7534,95.4,7775,122,7774,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.19,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,1,41,3.5,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-67278,8090,75,14C,-9,marine20666,666,76,R_Date ETH-67278,7825,7584,68.3,7945,7471,95.4,7708,120,7707,marine13791,791,121,R_Date ETH-67278,7910,7639,68.3,8035,7491,95.4,7768,135,7766,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.20,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,0.5,41,4,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-72001,7995,65,14C,2.1,marine20666,666,76,R_Date ETH-72001,7727,7497,68.3,7855,7400,95.4,7617,114,7615,marine13791,791,121,R_Date ETH-72001,7815,7555,68.3,7931,7434,95.4,7684,128,7680,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,Pingfo2.21,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.2389,-58.6729,0.03,41,4.47,NA,NA,NA,NA,Laternula sp. bivalve shell,Heredia Barion et al. submitted b,ETH-71995,8195,25,14C,8,marine20666,666,76,R_Date ETH-71995,7912,7708,68.3,7997,7604,95.4,7803,100,7804,marine13791,791,121,R_Date ETH-71995,7980,7730,68.3,8124,7619,95.4,7862,125,7862,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,MJB_section1.1,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.239,-58.6711,1.71,41,2.79,NA,NA,NA,NA,Seaweed trash layer,Heredia Barion et al. submitted b,SUERC-14413,7831,39,14C,-25.3,marine20666,666,76,R_Date SUERC-14413,7565,7368,68.3,7655,7262,95.4,7460,99,7463,marine13791,791,121,R_Date SUERC-14413,7638,7419,68.3,7771,7294,95.4,7530,115,7528,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,MJB_section1.2,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.239,-58.6711,1.71,41,2.79,NA,NA,NA,NA,Seaweed trash layer,Heredia Barion et al. submitted b,SUERC-14414,7883,39,14C,-25.6,marine20666,666,76,R_Date SUERC-14414,7606,7415,68.3,7704,7304,95.4,7508,98,7509,marine13791,791,121,R_Date SUERC-14414,7680,7450,68.3,7828,7346,95.4,7578,117,7575,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,MJB_section1.3,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.239,-58.6711,1.71,41,2.79,NA,NA,NA,NA,Shell fragment,Heredia Barion et al. submitted b,SUERC-14416,7853,38,14C,1.4,marine20666,666,76,R_Date SUERC-14416,7584,7390,68.3,7671,7280,95.4,7481,98,7483,marine13791,791,121,R_Date SUERC-14416,7653,7431,68.3,7792,7312,95.4,7550,116,7548,NA
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Potter_Peninsula_North,River_section,MJB_section1.4,Advance,Maximum age constraint for glacial readvance on the outer Potter Peninsula - overlain by till unit,-62.239,-58.6711,1.71,41,2.79,NA,NA,NA,NA,Shell fragment,Heredia Barion et al. submitted b,SUERC-14417,7842,37,14C,0.2,marine20666,666,76,R_Date SUERC-14417,7574,7379,68.3,7662,7272,95.4,7470,98,7473,marine13791,791,121,R_Date SUERC-14417,7645,7425,68.3,7781,7305,95.4,7540,115,7538,NA
Antarctica,South Shetland Islands,Elephant Island,Elephant Island,Walker_Point,Moss_bank,WaP1,Retreat,Minimum age for deglaciation,-61.148,-54.7008,200,54,NA,NA,NA,NA,NA,Moss peat bank (147.5-149.5 cm),Bjorck et al 1991b ,Lu-2952,5350,60,14C,NA,shcal20,NA,NA,R_Date_Lu-2952,6190,5999,68.3,6276,5936,95.4,6099,87,6096,shcal13,NA,NA,R_Date_Lu-2952,6177,6006,68.3,6181,5998,95.4,6087,55,6082,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,Lake48,Freshwater_lake,L48_FW1,Retreat,Minimum age for deglaciation,-62.599,-61.1372,120,3,NA,NA,NA,NA,NA,Freshwater moss (129-136 cm),Björck et al 1996 ,Ua-3923,4570,60,14C,NA,shcal20,NA,NA,R_Date Ua-3923,5313,5052,68.3,5445,4967,95.4,5177,115,5169,shcal13,NA,NA,R_Date Ua-3923,5301,5070,68.3,5307,5053,95.4,5168,77,5150,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,Lake9,Freshwater_lake,L9_FW1,Retreat,Minimum age for deglaciation,-62.6549,-61.0034,100,3,NA,NA,NA,NA,NA,Bulk freshwater sediment (70-76 cm),Björck et al 1996 ,Lu-3466,2830,250,14C,NA,shcal20,NA,NA,R_Date_Lu-3466,3337,2547,68.3,3569,2332,95.4,2937,314,2940,shcal13,NA,NA,R_Date_Lu-3466,2925,2853,68.3,2954,2800,95.4,2888,35,2886,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,Lake29,Freshwater_lake,L29_FW1,Retreat,Minimum age for deglaciation,-62.6396,-61.0624,100,3,NA,NA,NA,NA,NA,Freshwater moss (64-72 cm),Björck et al 1996 ,Lu-3463,3210,220,14C,NA,shcal20,NA,NA,R_Date_Lu-3463,3686,3077,68.3,3968,2847,95.4,3391,281,3386,shcal13,NA,NA,R_Date_Lu-3463,3442,3366,68.3,3447,3360,95.4,3397,27,3392,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ChesterLake,Freshwater_lake,CL_FW1,Retreat,Minimum age for deglaciation,-62.6358,-61.0984,95,13,NA,NA,NA,NA,NA,Aquatic moss (146.4 cm),Oliva et al 2016a ,ULA-4253,4575,20,14C,NA,shcal20,NA,NA,R_Date_ULA-4253,5311,5059,68.3,5316,5051,95.4,5180,86,5159,shcal13,NA,NA,R_Date_ULA-4253,5303,5073,68.3,5310,5053,95.4,5171,79,5151,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,Chester_Lake,Freshwater_lake,CL_FW2,Retreat,Minimum age for deglaciation,-62.6358,-61.0984,95,13,NA,NA,NA,NA,NA,Polymineral sand grains from freshwater sediment (112 cm),Oliva et al 2016a ,CN-1,7473,2480,TL,NA,normal,NA,NA,TL_2,NA,NA,NA,NA,NA,NA,7473,2480,NA,normal,NA,NA,TL_2,NA,NA,NA,NA,NA,NA,7473,2480,NA,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,Chester_Lake,Freshwater_lake,CL_FW2,Retreat,Minimum age for deglaciation,-62.6358,-61.0984,95,13,NA,NA,NA,NA,NA,Polymineral sand grains from freshwater sediment (147.7 cm),Oliva et al 2016a ,CH-1,5843,1710,TL,NA,normal,NA,NA,TL_3,NA,NA,NA,NA,NA,NA,5843,1710,NA,normal,NA,NA,TL_3,NA,NA,NA,NA,NA,NA,5843,1710,NA,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,Lake2,Freshwater_lake,L2_FW1,Retreat,Minimum age for deglaciation,-62.6358,-61.0984,95,3,NA,NA,NA,NA,NA,Freshwater moss (44-50 cm),Björck et al 1996 ,Lu-3144,2830,130,14C,NA,shcal20,NA,NA,R_Date_Lu-3144,3063,2764,68.3,3339,2544,95.4,2946,163,2935,shcal13,NA,NA,R_Date_Lu-3144,2925,2853,68.3,2954,2800,95.4,2888,35,2886,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,EscondidoLake,Freshwater_lake,EL_FW1,Retreat,Minimum age for deglaciation,-62.6431,-61.0594,92,13,NA,NA,NA,NA,NA,Aquatic moss (143.1 cm),Oliva et al 2016a ,ULA-4243,4600,20,14C,NA,shcal20,NA,NA,R_Date_ULA-4243,5319,5073,68.3,5439,5052,95.4,5220,102,5241,shcal13,NA,NA,R_Date_ULA-4243,5313,5087,68.3,5319,5065,95.4,5207,91,5173,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,Lake49,Freshwater_lake,L49_FW1,Retreat,Minimum age for deglaciation,-62.6452,-61.0794,80,3,NA,NA,NA,NA,NA,Freshwater moss (93-100 cm),Björck et al 1996 ,Lu-3473,3730,400,14C,NA,shcal20,NA,NA,R_Date_Lu-3473,4575,3489,68.3,5282,3079,95.4,4116,529,4094,shcal13,NA,NA,R_Date_Lu-3473,4081,3981,68.3,4090,3929,95.4,4029,42,4034,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,LimnopolarLake,Freshwater_lake,LNP_FW1,Retreat,Minimum age for deglaciation,-62.6375,-61.1083,80,23,NA,NA,NA,NA,NA,Aquatic moss (205.2-205.4 cm),Toro et al 2013 ,Poz-39090,6700,50,14C,NA,shcal20,NA,NA,R_Date_Poz-39090,7581,7482,68.3,7617,7428,95.4,7531,51,7531,shcal13,NA,NA,R_Date_Poz-39090,7572,7511,68.3,7578,7491,95.4,7536,24,7534,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,MidgeLake,Freshwater_lake,ML_FW1,Retreat,Minimum age for deglaciation,-62.6361,-61.0875,70,1,NA,NA,NA,NA,NA,Freshwater moss (151 cm),Björck et al 1991a ,Ua-1220,3735,250,14C,NA,shcal20,NA,NA,R_Date_Ua-1220,4412,3719,68.3,4815,3453,95.4,4083,340,4071,shcal13,NA,NA,R_Date_Ua-1220,4082,3984,68.3,4139,3932,95.4,4032,41,4035,NA
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,Lake30,Freshwater_lake,L30_FW1,Retreat,Minimum age for deglaciation,-62.637,-61.0922,65,3,NA,NA,NA,NA,NA,Freshwater moss (117-124 cm),Björck et al 1996 ,Ua-3925,4480,60,14C,NA,shcal20,NA,NA,R_Date_Ua-3925,5280,4889,68.3,5289,4873,95.4,5088,124,5083,shcal13,NA,NA,R_Date_Ua-3925,5212,4972,68.3,5276,4888,95.4,5059,99,5022,NA
