filename,position_mm,section_depth_mm,strat_depth_cm,sample_surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ac,Th,U,S1,D1,D2,D3,D4,D6,S2,Cra_&_Cra,Cra_&_Fea,Fex1,Fex2,Fex3,W_La_el,W_Lb1_el,W_Lb2_el,W_La_inel,W_Lb1_inel,W_Lb2_inel,Cr_inc,Cr_coh,inc&coh,inc_coh,coh_inc
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000053.spe,446,106,10.6,6.82,1,0.018545,-0.012284,0.010434,0.119708,8522,1.78,11,32,469,0,6,98,343,1573,14832,216,4766,252,706,14962,0,0,64,66,0,0,0,0,40,636,42,142,107,0,302,139,0,0,448,64,0,44,0,92,0,161,0,48,0,29,39,384,95,58,0,0,0,111,0,0,202,21,493,63,13,32,0,0,58,2558,8454,11012,0.232292045,3.304925723
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000054.spe,448,108,10.8,6.81,1,0.018542,-0.012284,0.010473,0.119708,8612,1.62,0,11,541,0,0,40,364,1541,15066,141,5173,263,227,15243,23,33,24,63,0,0,0,0,13,672,103,123,59,0,88,26,21,87,363,73,0,168,0,45,91,185,42,0,0,44,36,718,49,0,31,0,0,216,36,30,235,56,300,84,72,4,0,0,16,2882,8334,11216,0.256954351,2.891741846
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000055.spe,450,110,11,6.81,1,0.018543,-0.012284,0.010477,0.119708,8705,1.64,0,19,521,0,22,57,345,1585,15223,187,4578,135,359,16014,0,0,48,0,16,0,0,0,29,628,50,49,152,0,513,113,0,32,332,120,0,0,0,89,16,153,6,34,0,22,9,593,47,5,41,9,0,302,31,32,146,46,523,93,4,18,0,27,56,3426,8165,11591,0.295574152,2.383245768
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000056.spe,452,112,11.2,6.8,1,0.018546,-0.012284,0.010351,0.119708,8761,1.55,0,31,537,0,0,26,383,1524,15917,99,4921,213,432,15758,0,0,94,84,0,0,0,0,65,595,36,158,60,0,56,72,0,71,385,106,0,64,48,199,0,158,0,83,0,41,38,709,113,126,0,0,0,232,0,20,116,57,520,95,67,67,32,0,5,2705,8159,10864,0.248987482,3.016266174
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000057.spe,454,114,11.4,6.83,1,0.018543,-0.012284,0.010351,0.119708,8695,2.02,0,6,505,0,0,40,347,1584,16248,110,4782,208,974,15481,0,0,34,139,0,0,0,0,107,648,51,95,186,0,395,134,0,0,480,135,0,80,0,23,0,253,78,71,41,46,0,330,174,50,0,0,0,0,0,0,248,124,450,122,22,127,0,0,38,2614,7915,10529,0.248266692,3.027926549
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000058.spe,456,116,11.6,6.83,1,0.018541,-0.012284,0.010351,0.119708,8522,1.5,0,11,474,0,0,24,358,1522,15296,174,4669,105,285,15220,9,33,96,112,9,0,0,28,47,635,33,156,104,0,276,59,0,88,125,149,0,71,0,61,14,97,0,41,25,21,9,799,73,32,0,0,0,331,0,0,184,28,432,54,38,43,0,0,7,3593,7265,10858,0.330908086,2.021987197
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000059.spe,458,118,11.8,6.83,1,0.018537,-0.012284,0.010322,0.119708,8724,2.42,0,0,508,0,0,77,345,1474,16498,73,4845,83,0,14788,0,43,42,0,0,0,0,0,0,574,69,185,80,0,27,11,48,121,271,43,0,256,72,180,102,61,0,0,0,0,40,901,13,26,47,0,0,672,0,0,126,34,217,13,23,66,42,0,0,3241,7646,10887,0.297694498,2.359148411
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000060.spe,460,120,12,6.82,1,0.018544,-0.012284,0.010256,0.119708,8758,1.98,0,13,545,0,0,66,371,1603,16441,138,4441,204,141,14989,0,0,73,21,0,0,0,0,10,723,77,189,96,0,410,89,0,59,414,91,0,132,0,91,0,193,0,86,29,0,78,707,75,103,0,0,0,564,0,33,219,72,505,62,47,72,0,0,0,3181,7553,10734,0.296348053,2.374410563
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000061.spe,462,122,12.2,6.82,1,0.018548,-0.012284,0.01021,0.119708,8612,1.49,0,10,456,0,0,47,349,1562,15141,174,4983,199,66,15331,28,0,50,116,5,0,0,0,59,611,111,159,196,0,0,66,54,0,215,189,0,0,0,34,0,267,66,93,7,16,22,814,104,18,0,8,0,668,34,26,274,89,524,63,69,12,0,0,16,3491,7481,10972,0.318173533,2.142938986
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000062.spe,464,124,12.4,6.81,1,0.01855,-0.012284,0.010163,0.119708,8552,1.6,0,19,471,0,0,30,438,1471,15003,195,4645,191,296,14982,0,51,67,0,0,0,0,0,60,652,29,103,172,0,217,129,0,6,300,165,0,0,27,70,51,113,0,0,7,0,11,575,70,19,64,0,0,519,0,31,161,59,424,103,64,94,0,25,27,3178,7970,11148,0.285073556,2.507866583
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000063.spe,466,126,12.6,6.81,1,0.018552,-0.012284,0.010113,0.119708,8361,1.3,0,14,453,0,0,34,393,1441,14890,120,4600,229,20,14001,19,0,85,24,6,17,44,53,0,655,17,206,82,0,0,69,96,0,276,187,0,0,0,96,39,294,53,72,0,7,35,850,136,29,0,0,214,470,35,0,176,61,452,97,51,33,0,17,68,3051,8078,11129,0.274148621,2.647656506
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000064.spe,468,128,12.8,6.8,1,0.018555,-0.012284,0.010113,0.119708,8857,2.46,0,43,543,0,0,68,335,1638,16584,153,5080,146,216,14881,0,0,115,79,0,0,0,0,99,614,35,226,119,0,0,22,126,80,179,191,13,0,0,157,0,360,0,43,0,0,0,780,226,117,13,5,702,439,0,19,47,19,620,97,0,14,0,0,46,2916,8014,10930,0.266788655,2.748285322
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000065.spe,470,130,13,6.81,1,0.018544,-0.012284,0.010143,0.119708,8591,1.34,0,10,486,0,0,73,375,1595,15047,178,4940,204,24,15039,0,10,63,98,0,0,16,14,34,661,40,193,66,0,117,98,21,97,253,132,0,122,23,116,5,179,12,59,35,0,38,786,69,42,0,0,0,618,0,0,171,24,510,106,48,28,32,0,40,3235,7831,11066,0.292336888,2.420710974
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000066.spe,472,132,13.2,6.8,1,0.018546,-0.012284,0.010126,0.119708,8528,1.42,0,15,518,0,0,64,372,1514,15027,96,4937,161,711,14929,0,0,18,0,0,0,0,72,24,663,0,79,124,0,17,68,72,31,480,52,0,181,23,94,0,145,0,42,41,0,0,349,36,40,0,0,149,221,0,0,145,47,410,46,81,81,5,55,0,2443,8275,10718,0.227934316,3.387228817
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000067.spe,474,134,13.4,6.8,1,0.018545,-0.012284,0.010108,0.119708,8519,1.47,9,10,543,0,0,23,355,1492,15310,126,4546,124,534,15145,27,68,33,37,57,0,29,0,23,636,60,124,86,0,283,93,0,54,448,93,0,198,120,69,114,170,108,0,13,16,34,577,41,0,74,23,0,231,0,102,233,103,391,135,59,0,23,9,53,2947,7544,10491,0.280907444,2.559891415
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000068.spe,476,136,13.6,6.8,1,0.018547,-0.012284,0.010108,0.119708,8306,1.41,0,16,382,0,0,10,391,1331,14292,111,4570,162,358,14418,21,6,80,82,0,7,0,0,0,669,60,121,102,0,157,76,0,64,303,143,0,75,0,85,0,226,0,93,14,48,0,817,101,94,0,0,153,206,0,0,115,109,542,72,66,104,15,0,27,3185,7892,11077,0.287532725,2.477864992
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000069.spe,478,138,13.8,6.8,1,0.018547,-0.012284,0.010108,0.119708,8546,1.36,0,9,426,0,0,51,372,1397,14372,124,4694,58,263,14614,0,0,62,44,43,7,0,17,4,582,106,127,153,0,14,68,92,181,257,179,0,223,0,118,31,317,93,92,45,0,41,802,153,32,0,31,620,347,0,0,171,35,476,128,59,0,0,0,30,3027,8406,11433,0.264759906,2.777006938
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000070.spe,480,140,14,6.8,1,0.018549,-0.012284,0.010137,0.119708,8324,1.75,0,18,445,0,0,0,389,1413,13708,95,4537,135,95,14309,84,0,58,64,19,17,26,37,8,618,75,137,138,0,41,77,0,163,421,153,34,125,0,81,57,364,110,120,18,44,26,867,136,33,0,39,337,359,0,0,239,125,412,177,111,0,0,0,47,3060,8135,11195,0.273336311,2.658496732
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000071.spe,482,142,14.2,6.8,1,0.018551,-0.012284,0.010175,0.119708,8236,1.61,7,19,453,0,0,4,454,1480,14003,110,4496,142,487,14566,22,0,75,125,0,0,0,0,34,625,67,168,152,0,86,90,55,99,478,112,0,121,0,112,0,266,32,100,0,0,0,431,82,38,0,0,0,215,0,0,169,81,408,107,69,7,0,0,0,2518,7890,10408,0.241929285,3.133439237
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000072.spe,484,144,14.4,6.8,1,0.018551,-0.012284,0.010156,0.119708,7845,1.64,0,7,358,0,0,0,397,1285,13064,102,4182,58,0,13264,0,0,43,114,0,0,0,0,6,589,66,143,147,0,0,61,91,202,369,78,0,78,0,114,0,262,81,97,25,0,13,756,73,0,0,0,511,419,0,25,95,70,458,93,51,38,11,0,29,2669,7499,10168,0.262490165,2.809666542
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000073.spe,486,146,14.6,6.8,1,0.018553,-0.012284,0.010156,0.119708,7399,1.37,0,0,363,0,5,26,411,1268,12118,108,4022,105,198,12250,0,0,70,81,19,17,13,0,101,593,50,96,126,0,18,102,80,111,283,84,24,30,0,132,0,282,56,93,59,14,25,660,124,40,0,19,412,284,0,7,89,26,515,106,52,11,0,0,45,2513,7329,9842,0.255334282,2.91643454
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000074.spe,488,148,14.8,6.8,1,0.018554,-0.012284,0.010132,0.119708,8602,1.57,0,13,499,0,0,0,330,1548,14625,66,5356,159,192,14565,56,0,60,0,0,0,0,28,30,771,84,85,128,0,0,85,193,98,416,114,21,0,0,31,0,267,28,87,50,52,22,686,79,56,0,43,622,385,0,0,184,80,615,80,40,79,0,69,15,2300,8431,10731,0.214332308,3.665652174
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000075.spe,490,150,15,6.8,1,0.018556,-0.012284,0.010132,0.119708,8593,2.58,0,8,494,0,0,20,344,1533,13949,159,5188,145,651,15027,0,0,58,0,0,17,0,11,32,713,45,126,150,0,35,98,21,86,473,115,0,0,0,242,0,331,0,19,15,32,6,294,169,50,0,0,691,79,0,0,10,0,525,48,47,105,0,73,0,2209,8778,10987,0.201055793,3.973743775
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000076.spe,492,152,15.2,6.81,1,0.018544,-0.012284,0.010132,0.119708,8603,1.54,0,8,458,0,0,0,335,1579,14737,127,5117,147,213,14748,0,6,92,14,0,20,30,24,45,749,71,85,143,0,219,97,0,54,357,120,0,65,0,167,45,205,0,18,56,21,21,727,93,71,47,6,0,371,34,0,206,38,296,99,90,38,0,0,23,2820,8043,10863,0.259596796,2.85212766
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000077.spe,494,154,15.4,6.81,1,0.018545,-0.012284,0.010102,0.119708,8552,1.56,0,29,497,0,0,16,396,1562,13938,103,4896,105,569,14838,87,18,79,48,0,0,0,0,49,669,67,237,150,0,365,36,0,87,295,202,78,81,0,43,44,269,81,65,31,40,39,686,112,47,0,14,0,58,0,52,202,121,464,164,114,70,9,23,0,3266,8098,11364,0.287398803,2.479485609
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000078.spe,496,156,15.6,6.8,1,0.018549,-0.012284,0.010069,0.119708,8436,1.39,5,0,506,0,0,0,354,1642,13792,137,5082,164,64,14739,0,25,48,0,29,0,0,0,67,619,62,131,125,0,39,106,0,52,422,10,0,146,0,79,33,113,0,0,51,19,0,693,64,19,13,13,22,318,32,17,129,65,323,75,21,0,0,0,51,2441,8282,10723,0.227641518,3.392871774
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000079.spe,498,158,15.8,6.8,1,0.01855,-0.012284,0.010036,0.119708,8325,1.36,12,6,482,0,0,10,414,1502,13602,97,5092,92,210,13893,73,0,70,23,33,0,0,0,19,657,21,124,161,0,0,122,115,138,382,177,0,37,42,58,0,236,59,117,5,0,12,606,62,48,0,18,178,426,0,25,217,86,559,112,25,0,16,0,39,2531,8554,11085,0.228326567,3.379691821
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000080.spe,500,160,16,6.8,1,0.018552,-0.012284,0.010051,0.119708,8407,1.62,0,0,433,0,0,9,385,1518,13674,196,4843,144,0,14511,0,0,77,134,31,0,0,0,95,686,16,226,146,0,0,143,67,79,244,202,0,0,19,84,0,226,43,95,0,0,0,911,130,59,0,0,174,539,0,46,196,105,522,86,89,31,40,0,38,3459,8216,11675,0.29627409,2.375252963
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000081.spe,502,162,16.2,6.8,1,0.018553,-0.012284,0.010074,0.119708,8308,1.84,0,17,395,0,0,0,353,1450,12481,98,5273,28,100,14542,0,0,46,86,0,0,0,0,77,615,70,144,119,0,0,105,200,150,243,58,0,45,0,90,0,262,64,81,32,31,24,903,154,0,0,0,551,394,0,8,105,21,470,99,24,148,0,0,20,3150,8089,11239,0.280274046,2.567936508
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000082.spe,504,164,16.4,6.79,1,0.018548,-0.012284,0.010052,0.119708,7938,1.46,0,4,435,0,0,0,403,1484,12239,56,4294,199,731,13984,52,4,109,68,0,4,0,0,91,626,52,181,115,0,233,108,0,94,569,137,149,64,26,97,25,247,80,107,0,35,5,497,144,56,0,0,117,156,0,0,148,32,598,135,124,74,59,0,25,2767,7836,10603,0.260963878,2.831947958
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000083.spe,506,166,16.6,6.78,1,0.01855,-0.012284,0.010068,0.119708,8292,1.68,0,9,505,0,0,0,368,1540,14391,230,4736,147,367,14150,0,0,52,42,0,0,24,0,49,640,34,125,105,0,153,80,0,82,402,76,0,0,0,105,30,228,0,14,13,22,6,507,102,6,0,0,307,244,0,0,83,24,412,75,39,29,0,0,0,2701,7859,10560,0.255776515,2.909663088
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000084.spe,508,168,16.8,6.78,1,0.018547,-0.012284,0.010032,0.119708,8266,1.56,0,22,477,0,0,0,389,1529,13435,98,4857,61,95,14726,0,0,59,0,0,0,0,16,80,732,49,166,112,0,39,137,60,155,378,128,0,152,68,171,25,189,17,44,0,24,11,648,37,13,10,0,48,576,0,0,162,42,426,102,33,99,21,41,0,2653,7829,10482,0.253100553,2.950998869
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000085.spe,510,170,17,6.77,1,0.018548,-0.012284,0.010046,0.119708,8222,1.65,0,12,476,0,0,8,386,1497,13670,138,4804,154,169,14531,0,0,64,92,16,0,21,0,43,675,77,147,129,0,190,41,0,141,341,98,0,68,0,99,15,278,33,50,5,62,6,645,126,30,0,0,248,568,0,0,172,60,426,61,52,41,0,0,0,3057,7263,10320,0.29622093,2.375858685
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000086.spe,512,172,17.2,6.77,1,0.018546,-0.012284,0.010096,0.119708,8346,1.53,5,24,588,0,0,0,407,1694,14914,83,5021,123,42,14676,0,9,85,0,0,0,0,10,35,604,33,122,95,0,195,65,0,95,344,106,0,47,53,119,0,125,0,62,0,0,26,718,86,79,11,0,96,388,0,0,131,60,597,52,56,63,57,42,29,2881,7557,10438,0.27601073,2.623047553
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000087.spe,514,174,17.4,6.76,1,0.01855,-0.012284,0.010193,0.119708,7410,1.34,0,11,411,0,0,0,452,1423,13008,247,4088,78,447,12646,30,32,60,43,26,0,14,4,39,565,35,146,97,0,215,119,0,69,275,96,19,44,44,68,0,133,37,73,0,23,31,490,67,24,0,14,19,0,5,0,112,62,420,114,120,12,0,0,13,2166,7571,9737,0.222450447,3.495383195
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000088.spe,516,176,17.6,6.76,1,0.018547,-0.012284,0.010217,0.119708,7943,1.68,0,14,473,0,0,0,379,1433,13270,112,4305,262,0,14349,0,0,19,23,15,0,0,0,11,669,0,111,63,0,381,86,0,0,309,87,0,26,0,97,4,158,0,11,7,20,34,796,38,8,0,0,164,857,35,6,161,74,435,41,16,0,0,0,7,3441,6991,10432,0.32985046,2.031676838
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000089.spe,518,178,17.8,6.76,1,0.018543,-0.012284,0.010217,0.119708,8949,1.55,0,0,553,0,0,0,361,1544,16070,133,5364,169,443,16026,0,0,58,42,0,0,0,4,65,648,31,144,122,0,0,83,57,89,351,86,0,134,7,143,22,156,32,36,9,5,32,691,109,13,0,0,0,272,22,0,224,68,497,85,22,77,22,8,58,3138,8112,11250,0.278933333,2.585086042
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000090.spe,520,180,18,6.76,1,0.018543,-0.012284,0.010258,0.119708,7934,1.54,0,21,530,0,0,0,425,1493,13291,136,4577,168,417,14129,92,24,27,61,0,0,0,0,88,625,60,109,87,0,173,61,0,34,451,72,0,0,41,0,21,126,46,39,7,52,34,435,28,39,0,0,0,129,0,100,345,94,395,85,78,55,0,4,0,2672,7768,10440,0.255938697,2.907185629
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000091.spe,522,182,18.2,6.76,1,0.018542,-0.012284,0.010258,0.119708,9014,1.37,7,13,658,0,0,0,360,1732,15758,114,5041,251,543,16355,0,60,65,0,0,16,0,0,30,681,56,167,141,0,359,111,0,20,329,150,0,51,62,86,31,144,11,14,0,23,17,666,61,31,31,0,0,206,0,20,238,76,504,109,67,55,0,75,0,2993,8391,11384,0.26291286,2.803541597
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000092.spe,524,184,18.4,6.75,1,0.018541,-0.012284,0.01028,0.119708,9243,1.74,0,30,580,0,0,0,357,1763,16763,174,4801,272,846,16916,51,11,50,58,0,0,25,0,73,903,97,237,131,0,480,71,0,0,497,101,0,21,102,37,10,69,5,41,0,32,0,432,10,24,0,0,0,0,0,0,247,107,454,80,49,90,32,0,0,2965,8083,11048,0.268374366,2.72613828
