Continent,Country,Region,Location,Site_name,Feature,Latitude_(oS),Longitude_(oW),Elevation_(m_amsl),Dating_method,Material_dated,Strat._Depth_(cm),Interpretation,Reference_and_map_ID,Map_ID,Sample_ID,Measured_age_(14C_yr_BP_±_1σ),1s,,Oxcal_v4.4_SHCal20,from,to,%,from,to,%,μ,σ,m,Oxcal_v4.4_SHCal13,from,to,%,from,to,%,μ,σ,m
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Chester Lake,Freshwater lake,-62.6358,-61.0984,95,14C,Aquatic moss ,146.4,Minimum age for deglaciation,Oliva et al 2016a ,13,ULA-4253,4575,20,shcal20, R_Date ULA-4253,5311,5059,68.3,5316,5051,95.4,5180,86,5159, R_Date ULA-4253,5305,5068,68.3,5311,5053,95.4,5173,80,5155
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Chester Cone Lake (Lake 2),Freshwater lake,-62.6358,-61.0984,95,14C,Freshwater moss ,44-50,Minimum age for deglaciation,Björck et al 1996 ,3,Lu-3144,2830,130,shcal20, R_Date Lu-3144,3063,2764,68.3,3339,2544,95.4,2946,163,2935, R_Date Lu-3144,3060,2763,68.3,3340,2542,95.4,2940,162,2929
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,10.9,Age model construction,Oliva et al 2016a ,13,ULA-4650,1485,20,shcal20, R_Date ULA-4650,1351,1308,68.3,1364,1302,95.4,1333,17,1334, R_Date ULA-4650,1349,1309,68.3,1363,1302,95.4,1332,17,1331
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,11.1,Age model construction,Oliva et al 2016a ,13,ULA-4256,1605,15,shcal20, R_Date ULA-4256,1511,1414,68.3,1523,1380,95.4,1458,36,1457, R_Date ULA-4256,1483,1415,68.3,1524,1405,95.4,1458,34,1456
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,16.2,Age model construction,Oliva et al 2016a ,13,ULA-4651,1830,20,shcal20, R_Date ULA-4651,1735,1630,68.3,1810,1612,95.4,1697,47,1709, R_Date ULA-4651,1740,1629,68.3,1810,1613,95.4,1705,46,1714
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,16.8,Age model construction,Oliva et al 2016a ,13,ULA-4704,1810,20,shcal20, R_Date ULA-4704,1709,1615,68.3,1730,1610,95.4,1662,38,1650, R_Date ULA-4704,1719,1616,68.3,1733,1609,95.4,1667,39,1654
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,22.5,Age model construction,Oliva et al 2016a ,13,ULA-4248,2010,15,shcal20, R_Date ULA-4248,1986,1891,68.3,1995,1877,95.4,1931,37,1920, R_Date ULA-4248,1986,1894,68.3,1997,1880,95.4,1931,34,1922
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,120,14C,Aquatic moss ,26.8,Age model construction,Oliva et al 2016a ,13,ULA-4702,2195,20,shcal20, R_Date ULA-4702,2291,2098,68.3,2304,2059,95.4,2169,79,2129, R_Date ULA-4702,2297,2095,68.3,2305,2062,95.4,2176,72,2150
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,33,Age model construction,Oliva et al 2016a ,13,ULA-4654,2375,20,shcal20, R_Date ULA-4654,2401,2181,68.3,2463,2156,95.4,2323,78,2344, R_Date ULA-4654,2358,2332,68.3,2434,2311,95.4,2351,31,2347
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,37.8,Age model construction,Oliva et al 2016a ,13,ULA-4655,2595,20,shcal20, R_Date ULA-4655,2748,2542,68.3,2754,2499,95.4,2657,82,2707, R_Date ULA-4655,2748,2542,68.3,2752,2500,95.4,2660,83,2710
