Continent,Country,Region,Location,Site_name,Feature,Latitude,Longitude,Elevation_m.a.s.l.(min.)_or_depth_in_section_m,Dating_method,Material_dated__and_stratigraphic_position,Interpretation,Retreat_Advance,Reference,Map_ID,Sample_ID,Measured_age_(14C_yr_BP_or_normal_dist_not_for_calibration_for_non_C14_age),±_1s,calCurves,DR,DR_err,δ13C_(‰),Oxcal_v4.4_SHCal20_(a_cal_BP)_(Marine_data_DR_=_666±76)_Whole_range_dataset_,from,to,%,from,to,%,μ,σ,m,Oxcal_v4.4_SHCal13_(a_cal_BP)_(Marine_data_DR_=_791±121),from,to,%,from,to,%,μ,σ,m,Notes
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_SJ_section,-62.2389,-58.6728,4,14C,Seaweed in raised marine sediments overlain by till (Bed C),Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Sugden and John 1973 ,41,Birm-23,7683,86,marine20666,666,76,,R_Date Birm-23,7455,7202,68.3,7572,7055,95.4,7321,128,7326,R_Date Birm-23,7536,7268,68.3,7672,7104,95.4,7391,139,7397,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_SJ_section,-62.2389,-58.6728,3.5,14C,Laternula shells in raised marine sediments overlain by till (Beds A & B),Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Sugden and John 1973 ,41,Birm-48a,9670,230,marine20666,666,76,,R_Date Birm-48a,9895,9241,68.3,10215,8954,95.4,9569,323,9559,R_Date Birm-48a,9941,9258,68.3,10252,8950,95.4,9604,335,9596,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,1.5,14C,Bone (penguin),Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,Beta-441402,7860,40,marine20666,666,76,−21.6,R_Date Beta-441402,7591,7397,68.3,7679,7281,95.4,7487,99,7489,R_Date Beta-441402,7659,7434,68.3,7800,7317,95.4,7557,117,7554,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,1.55,14C,Bone (penguin),Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,Beta-441403,7890,40,marine20666,666,76,−22.2,R_Date Beta-441403,7610,7419,68.3,7713,7310,95.4,7515,99,7515,R_Date Beta-441403,7686,7455,68.3,7837,7355,95.4,7585,118,7582,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,1.6,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67269,8010,85,marine20666,666,76,−1.6,R_Date ETH-67269,7755,7501,68.3,7905,7400,95.4,7633,125,7631,R_Date ETH-67269,7835,7559,68.3,7961,7426,95.4,7699,138,7695,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,1.7,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67267,7805,85,marine20666,666,76,0,R_Date ETH-67267,7561,7321,68.3,7674,7181,95.4,7437,122,7439,R_Date ETH-67267,7648,7384,68.3,7792,7238,95.4,7507,136,7507,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,1.85,14C,Bone (penguin),Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,Beta - 431964,7780,30,marine20666,666,76,−23.1,R_Date Beta - 431964,7512,7316,68.3,7606,7221,95.4,7414,97,7416,R_Date Beta - 431964,7600,7380,68.3,7702,7249,95.4,7482,112,7485,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,2.05,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67270,8170,85,marine20666,666,76,−1.3,R_Date ETH-67270,7916,7661,68.3,8029,7521,95.4,7783,127,7782,R_Date ETH-67270,7972,7681,68.3,8145,7568,95.4,7843,146,7840,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,2.1,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67272,8115,80,marine20666,666,76,−13.4,R_Date ETH-67272,7851,7603,68.3,7972,7488,95.4,7732,123,7731,R_Date ETH-67272,7927,7653,68.3,8079,7512,95.4,7791,139,7789,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,2.56,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-71994,7920,20,marine20666,666,76,2,R_Date ETH-71994,7634,7446,68.3,7735,7347,95.4,7542,94,7542,R_Date ETH-71994,7718,7486,68.3,7855,7399,95.4,7612,115,7609,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,2.7,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67268,7705,80,marine20666,666,76,−13.6,R_Date ETH-67268,7474,7233,68.3,7583,7088,95.4,7343,123,7347,R_Date ETH-67268,7553,7293,68.3,7681,7142,95.4,7413,134,7417,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,2.95,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67273,8005,85,marine20666,666,76,−4.4,R_Date ETH-67273,7750,7497,68.3,7897,7395,95.4,7628,125,7626,R_Date ETH-67273,7833,7555,68.3,7957,7424,95.4,7694,138,7691,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,3.05,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67275,7950,70,marine20666,666,76,−12.1,R_Date ETH-67275,7680,7451,68.3,7813,7342,95.4,7574,115,7572,R_Date ETH-67275,7770,7505,68.3,7917,7406,95.4,7643,130,7639,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,3.05,14C,Seaweed,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67274,8020,90,marine20666,666,76,−2.3,R_Date ETH-67274,7768,7509,68.3,7915,7405,95.4,7643,128,7641,R_Date ETH-67274,7845,7562,68.3,7976,7426,95.4,7708,141,7705,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,3.1,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67276,8145,70,marine20666,666,76,−10.5,R_Date ETH-67276,7877,7638,68.3,7992,7529,95.4,7759,117,7758,R_Date ETH-67276,7943,7674,68.3,8106,7559,95.4,7817,136,7816,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,3.11,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-72000,8015,20,marine20666,666,76,1.3,R_Date ETH-72000,7733,7535,68.3,7830,7436,95.4,7633,98,7632,R_Date ETH-72000,7812,7577,68.3,7929,7474,95.4,7700,116,7697,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,3.3,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67277,8300,75,marine20666,666,76,−1,R_Date ETH-67277,8031,7773,68.3,8171,7661,95.4,7912,129,7911,R_Date ETH-67277,8133,7832,68.3,8274,7680,95.4,7973,148,7973,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,3.41,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-71996,8005,20,marine20666,666,76,2.9,R_Date ETH-71996,7715,7519,68.3,7819,7430,95.4,7624,98,7622,R_Date ETH-71996,7802,7569,68.3,7923,7468,95.4,7691,116,7688,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,3.46,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-71997,7995,20,marine20666,666,76,0.8,R_Date ETH-71997,7703,7509,68.3,7811,7423,95.4,7614,97,7613,R_Date ETH-71997,7797,7561,68.3,7917,7461,95.4,7682,116,7678,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,3.5,14C,Bone (indeterminate),Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,Beta - 441404,8100,40,marine20666,666,76,−23.8,R_Date Beta - 441404,7819,7608,68.3,7925,7513,95.4,7716,104,7715,R_Date Beta - 441404,7904,7659,68.3,8015,7534,95.4,7775,122,7774,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,3.5,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-67278,8090,75,marine20666,666,76,−9,R_Date ETH-67278,7825,7584,68.3,7945,7471,95.4,7708,120,7707,R_Date ETH-67278,7910,7639,68.3,8035,7491,95.4,7768,135,7766,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,4,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-72001,7995,65,marine20666,666,76,2.1,R_Date ETH-72001,7727,7497,68.3,7855,7400,95.4,7617,114,7615,R_Date ETH-72001,7815,7555,68.3,7931,7434,95.4,7684,128,7680,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC_Pingfo-II_river section,-62.2389,-58.6729,4.47,14C,Laternula sp. bivalve shell,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,ETH-71995,8195,25,marine20666,666,76,8,R_Date ETH-71995,7912,7708,68.3,7997,7604,95.4,7803,100,7804,R_Date ETH-71995,7980,7730,68.3,8124,7619,95.4,7862,125,7862,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC__River section,-62.239,-58.6711,2.79,14C,Seaweed trash layer,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,SUERC-14413,7831,39,marine20666,666,76,−25.3,R_Date SUERC-14413,7565,7368,68.3,7655,7262,95.4,7460,99,7463,R_Date SUERC-14413,7638,7419,68.3,7771,7294,95.4,7530,115,7528,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC__River section,-62.239,-58.6711,2.79,14C,Seaweed trash layer,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,SUERC-14414,7883,39,marine20666,666,76,−25.6,R_Date SUERC-14414,7606,7415,68.3,7704,7304,95.4,7508,98,7509,R_Date SUERC-14414,7680,7450,68.3,7828,7346,95.4,7578,117,7575,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC__River section,-62.239,-58.6711,2.79,14C,Shell fragment,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,SUERC-14416,7853,38,marine20666,666,76,1.4,R_Date SUERC-14416,7584,7390,68.3,7671,7280,95.4,7481,98,7483,R_Date SUERC-14416,7653,7431,68.3,7792,7312,95.4,7550,116,7548,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"Potter Cove, North Potter Peninsula",PC__River section,-62.239,-58.6711,2.79,14C,Shell fragment,Maximum age constraint on glacial readvance on the outer Potter Peninsula - overlain by till unit,Retreat,Heredia Barion et al. submitted b,41,SUERC-14417,7842,37,marine20666,666,76,0.2,R_Date SUERC-14417,7574,7379,68.3,7662,7272,95.4,7470,98,7473,R_Date SUERC-14417,7645,7425,68.3,7781,7305,95.4,7540,115,7538,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Inland Moraine,PC_Inland Moraine,-62.2473,-58.6466,2.2,14C,Moss in moraine sediments,Maximum readvance age - moss reworked into moraine  ,Advance,Heredia Barion et al. submitted b, ,Beta-441400,1880,30,shcal20,,,−20.9,R_Date Beta-441400,1821,1728,68.3,1866,1702,95.4,1773,42,1776,R_Date Beta-441400,1821,1732,68.3,1865,1705,95.4,1775,39,1777,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,Inland Moraine,PC_Inland Moraine,-62.2473,-58.6466,2.2,14C,Moss in moraine sediments,Maximum readvance age - moss reworked into moraine  ,Advance,Heredia Barion et al. submitted b, ,Beta-441401,1850,30,shcal20,,,−22.1,R_Date Beta-441401,1812,1701,68.3,1828,1616,95.4,1737,53,1735,R_Date Beta-441401,1808,1705,68.3,1827,1619,95.4,1743,51,1740,
