filename,position_mm,Section_depth_cm,Strat_depth_cm,sample_surface,validity,kcps,MSE,TSN_SUM,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ac,Th,U,Cr_inc,Cr_coh,inc+coh,SUM,SUM,REE_SUM,SUM+RRE_SUM,LnK_Ti,LnCa_Ti,LnSr_Ti
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000027.spe,366,5.4,5.4,6.66,1,5872,1.53,3.183475603,0,0,0.350900424,0,0.062897246,0,1.555879237,2.095471398,19.00489936,0.188691737,8.947960805,0.691869703,1.241393008,25.98980403,0.34096928,0,0.132415254,0.344279661,0.125794492,0,0,0,0.208554025,1.582362288,0.066207627,0.400556144,0.503177966,0,0.466763771,0.364141949,0,0.046345339,1.641949153,0.324417373,0.248278602,0.241657839,0.125794492,0,0.162208686,0.523040254,0.248278602,0.334348517,0,0.026483051,0,11.78495763,19.62725106,31.41220869,100,90.41975636,4.260460805,94.68021716,-1.451647124,0.753271144,-1.732506814
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000028.spe,368,5.6,5.6,6.65,1,6076,1.19,3.074307057,0,0,0.447598951,0,0,0,1.377965343,2.151672102,19.04533538,0.127885415,9.572223288,0.581878637,0.48276744,25.86162798,0.182236716,0.115096873,0.242982288,0.198222393,0.060745572,0.121491144,0,0.163053904,0.063942707,1.457893727,0.124688279,0.242982288,0.226996611,0,0.562695825,0.274953642,0,0.092716926,1.493062216,0.412430462,0.025577083,0.284545048,0.207813799,0.150265362,0,0.485964576,0.08312552,0.239785153,0,0.211010934,0.099111196,10.88624592,21.6414093,32.52765522,100,91.77696784,3.750239785,95.52720762,-1.492620235,0.687956713,-1.881872755
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000029.spe,370,5.8,5.8,6.66,1,6824,1.52,3.272422968,0,0,0.482597634,0,0,0,0.983554961,2.386760039,21.01397959,0.157368794,10.95811367,0.354079786,0.25179007,26.15469352,0.194088179,0.131140661,0.131140661,0.264904136,0,0,0,0,0.238676004,1.350748813,0.099666903,0.201956619,0.448501062,0,0.792089595,0.199333805,0,0.1783513,1.117318436,0.299000708,0.039342198,0.078684397,0.238676004,0.041965012,0,0.246544444,0.099666903,0.209825058,0.097044089,0,0,10.05848874,20.4999082,30.55839694,100,93.68688856,2.748708264,96.43559682,-1.524143343,0.651107755,-2.093421041
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000030.spe,372,6,6,6.68,1,7684,1.59,3.835876539,0,0,0.578622607,0,0,0,0.849851954,2.581199286,23.54722781,0.155956875,12.11943132,0.542458694,0,27.91628054,0,0,0.110751983,0,0.027122935,0,0.011301223,0,0,1.107519834,0.144655652,0.377460841,0.17855932,0,1.003548584,0.447528423,0,0.042944647,0.540198449,0.479171846,0.020342201,0,0,0.329995706,0.063286848,0.544718939,0.065547092,0.133354429,0.011301223,0,0,9.104265081,16.96539566,26.06966074,100,94.58671428,2.667088579,97.25380286,-1.546555929,0.66419804,-2.392686928
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000031.spe,374,6.2,6.2,6.72,1,7740,1.61,3.871030517,0,0.0182807,0.61697363,0,0,0,0.824916594,2.908916411,23.05196289,0.169096476,11.71107353,0.324482428,0.559846442,27.571866,0,0,0.173666651,0.153100864,0,0,0,0,0.217083314,1.181390247,0.070837713,0.171381564,0.281065765,0,0.756363969,0.169096476,0,0.383894703,1.446460399,0.0182807,0,0.361043828,0,0.345048215,0,0.393035053,0,0.082263151,0.127964901,0.050271925,0.02742105,7.821854577,18.01105982,25.8329144,100,93.5012111,3.199122526,96.70033362,-1.392754205,0.677216074,-2.293842929
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000032.spe,376,6.4,6.4,6.75,1,7260,1.71,3.78877551,0,0,0.602306393,0,0,0,0.937737189,2.840143966,22.33430453,0.134661998,11.98491786,0.347672796,0,27.93379526,0.315843596,0,0.205665598,0.271772397,0.036726,0,0,0.0195872,0.166491198,1.160541586,0.124868399,0.335430796,0.237494797,0,0.374605196,0.269323997,0,0.190975198,0.710035991,0.328085596,0.0146904,0.457850795,0.413779595,0,0.210562397,0.335430796,0.051416399,0.171387998,0.051416399,0.036726,0,8.948901893,17.44484979,26.39375168,100,94.02835247,3.153539162,97.18189163,-1.439794271,0.622474802,-2.334762233
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000033.spe,378,6.6,6.6,6.76,1,7102,1.43,3.829449448,0,0,0.666715155,0,0,0,0.88976168,2.928697845,22.69013504,0.266686062,11.38749485,0.419424443,0.834000048,28.17659466,0,0.0387907,0.160011637,0.05818605,0,0.041215119,0,0,0.050912794,1.156447742,0.106674425,0.465488399,0.244866293,0,0.596407011,0.244866293,0,0.050912794,0.775813999,0.426697699,0,0.121220937,0.237593037,0.1939535,0.048488375,0.259412806,0,0.092127912,0,0.147889543,0.109098844,9.440686595,16.67272771,26.11341431,100,93.98986593,2.451087352,96.44095328,-1.357957908,0.68941444,-2.287162795
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000034.spe,380,6.8,6.8,6.76,1,7384,1.55,3.868050606,0,0,0.628814926,0,0.027640217,0,0.900610388,2.890705977,21.78279397,0.078313947,12.09259473,0.423816653,0,29.64413221,0.027640217,0.06679719,0.096740758,0.089830704,0.064493839,0.041460325,0.096740758,0,0,0.93746401,0.131291028,0.331682598,0.209604975,0,0.278705517,0.198088218,0.064493839,0.204998272,0.693308764,0.382356328,0,0.313255787,0.11747092,0.274098814,0.193481516,0.377749626,0.131291028,0.165841299,0.055280433,0,0.13359438,8.414142577,17.43867327,25.85281585,100,94.46734999,3.116434412,97.58378441,-1.431092504,0.588527131,-2.55717017
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000035.spe,382,7,7,6.79,1,6673,1.74,3.786190246,0.01530378,0.01530378,0.515227261,0,0,0,0.818752232,2.616946386,22.07315207,0.07396827,10.91924705,0.777942152,0,28.34004999,0.09182268,0.1275315,0.11987961,0.374942611,0.09182268,0.0255063,0,0,0.16579095,1.104422792,0.05356323,0.436157731,0.18619599,0,0.953935622,0.372391981,0,0,0.599398051,0.612151201,0,0.402999541,0.14538591,0.278018671,0.16834158,0.454012141,0.311176861,0.247411111,0,0.09947457,0,9.27154007,17.14023364,26.41177371,100,92.72305259,3.591287048,96.31433964,-1.42851888,0.703835015,-2.291204178
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000036.spe,384,7.2,7.2,6.82,1,8037,1.41,4.05294569,0,0,0.576393125,0,0,0,0.776237457,2.793613396,22.55085512,0.029450744,11.66880535,0.473315523,0.750993963,29.57485748,0.039968866,0,0.111492101,0.222984202,0.056797863,0,0.008414498,0,0.086248606,1.142268128,0.168289964,0.281885689,0.176704462,0,0.67105623,0.307129184,0,0.103077603,0.894040432,0.252434945,0.014725372,0.250331321,0,0.100973978,0.145150094,0.475419147,0.153564592,0.136735595,0.111492101,0.100973978,0.119906599,6.548583209,18.12482908,24.67341229,100,93.55028714,2.833582262,96.38386941,-1.42958319,0.658853915,-2.3239032
