Depth_cm,Age_BP_Sh13,Age_BP_Sh20_min,Age_BP_Sh20_max,Age_BP_Sh20_median,Age_BP_Sh20_mean,RABD620,R850_R900,LOESS_100_age,LOESS_100_R850_R900,Predicted,Residuals,age_plot,R850_R900_mean,R850_R900_sd,Depth_0.1cm,Age_BP_Sh20_min_0.1cm,Age_BP_Sh20_max_0.1cm,Age_BP_Sh20_median_0.1cm,Age_BP_Sh20_mean_0.1cm,R850_R900_0.1cm,Depth_0.1cm,Age_BP_Sh20_min_0.5cm,Age_BP_Sh20_max_0.5cm,Age_BP_Sh20_median_0.5cm,Age_BP_Sh20_mean_0.5cm,R850_R900_0.5cm,,depth,min,max,median,mean
0.2401,-60.2,-65.43,-58.33,-61.93,-61.83,1.02484678,0.997345793,3400,1.034132909,0.992047138,0.005298655,,,,3.5,-58.92,-29.32,-46.1,-45.69,1.020951857,17.5,50.01,278.56,98.84,118.43,1.023368488,,0.2401,-65.43,-58.33,-61.93,-61.83
0.24696,-60.1,-65.42,-58.23,-61.91,-61.79,1.024575377,1.004456428,3500,1.029778628,0.992062805,0.012393623,,,,3.6,-58.74,-28.79,-45.46,-45.16,1.011145462,18,52.15,353.9,113.93,140.18,1.0320438,,0.24696,-65.42,-58.23,-61.91,-61.79
0.25382,-60,-65.4,-58.14,-61.88,-61.75,1.025519141,0.997307611,3600,1.028029519,0.992078133,0.005229478,,,,3.7,-58.54,-27.94,-44.88,-44.64,1.003379739,18.5,1193.42,1434.94,1262.08,1277.47,1.013804091,,0.25382,-65.4,-58.14,-61.88,-61.75
0.26068,-59.9,-65.39,-58.05,-61.83,-61.72,1.024893107,0.996207663,3700,1.026148583,0.992093585,0.004114078,,,,3.8,-58.36,-27.26,-44.19,-44.11,1.010371327,19,2317.73,2524.22,2414.58,2414.77,1.014199106,,0.26068,-65.39,-58.05,-61.83,-61.72
0.26754,-59.8,-65.37,-57.96,-61.8,-61.68,1.02682542,0.993095375,3800,1.024650774,0.992108797,0.000986578,,,,3.9,-58.25,-26.09,-43.49,-43.59,1.009598636,19.5,3436.43,3652.76,3559.09,3552.06,1.027655308,,0.26754,-65.37,-57.96,-61.8,-61.68
0.2744,-59.7,-65.33,-57.87,-61.77,-61.64,1.027143367,0.996747611,3900,1.022832553,0.992124109,0.004623502,,,,4,-58.13,-25.04,-42.89,-43.06,0.993964453,20,4545.83,4830.25,4689.58,4689.36,1.026325741,,0.2744,-65.33,-57.87,-61.77,-61.64
0.28126,-59.6,-65.28,-57.78,-61.74,-61.6,1.023699039,1.00517915,4000,1.020889978,0.992139271,0.013039879,,,,4.1,-57.64,-24.85,-42.32,-42.5,0.996380772,20.5,4590.37,4922.44,4742.29,4744.94,1.034025931,,0.28126,-65.28,-57.78,-61.74,-61.6
0.28812,-59.6,-65.27,-57.7,-61.7,-61.56,1.02320743,1.006167155,4100,1.018563982,0.992139271,0.014027884,,,,4.2,-56.96,-24.62,-41.93,-41.94,1.006715052,21,4613.43,5028.99,4789.13,4800.52,1.007812585,,0.28812,-65.27,-57.7,-61.7,-61.56
0.29498,-59.5,-65.25,-57.62,-61.67,-61.52,1.018946101,1.006419905,4200,1.015827481,0.992154386,0.014265519,,,,4.3,-56.54,-24.33,-41.25,-41.38,0.9921766,21.5,4633.11,5152.84,4830.95,4856.1,1.000944114,,0.29498,-65.25,-57.62,-61.67,-61.52
0.30184,-59.4,-65.24,-57.52,-61.63,-61.48,1.023820495,1.00804145,4300,1.011946056,0.9921693,0.01587215,,,,4.4,-56.03,-23.91,-40.61,-40.81,0.977753682,22,4641.54,5296.57,4870.66,4911.68,0.978565487,,0.30184,-65.24,-57.52,-61.63,-61.48
